ProtID,Predicted Compartment,Score
design_1,nuclear_speckle,7.892672e-15
design_1,p-body,4.2808708e-05
design_1,pml-body,2.1527238e-09
design_1,post_synaptic_density,2.845222e-14
design_1,stress_granule,4.588337e-18
design_1,chromosome,0.00017441018
design_1,nucleolus,0.99939835
design_1,nuclear_pore_complex,9.858992e-05
design_1,cajal_body,1.0858349e-08
design_1,rna_granule,1.1763005e-37
design_1,cell_junction,0.0002859136
design_1,transcriptional,1.4218743e-15
design_2,nuclear_speckle,4.719035e-14
design_2,p-body,0.2296074
design_2,pml-body,8.660241e-06
design_2,post_synaptic_density,4.0039122e-12
design_2,stress_granule,1.6131976e-08
design_2,chromosome,0.7686913
design_2,nucleolus,0.00024105531
design_2,nuclear_pore_complex,0.0014513759
design_2,cajal_body,1.3734525e-12
design_2,rna_granule,3.08073e-22
design_2,cell_junction,1.6325657e-07
design_2,transcriptional,8.741896e-12
design_3,nuclear_speckle,1.38250185e-08
design_3,p-body,9.667825e-05
design_3,pml-body,3.1948595e-08
design_3,post_synaptic_density,3.773387e-11
design_3,stress_granule,0.0005392336
design_3,chromosome,0.5405179
design_3,nucleolus,0.45787007
design_3,nuclear_pore_complex,0.0009760513
design_3,cajal_body,4.4278636e-08
design_3,rna_granule,1.1197982e-11
design_3,cell_junction,1.624951e-08
design_3,transcriptional,4.0491133e-10
design_4,nuclear_speckle,4.8796245e-08
design_4,p-body,3.0503372e-08
design_4,pml-body,0.0030609388
design_4,post_synaptic_density,3.845993e-05
design_4,stress_granule,1.8719575e-11
design_4,chromosome,0.0072582983
design_4,nucleolus,1.2868708e-11
design_4,nuclear_pore_complex,0.00011626016
design_4,cajal_body,1.1485484e-08
design_4,rna_granule,4.4707415e-25
design_4,cell_junction,0.989526
design_4,transcriptional,2.1004936e-09
design_5,nuclear_speckle,9.589635e-06
design_5,p-body,0.0029271294
design_5,pml-body,4.7567843e-05
design_5,post_synaptic_density,3.716005e-05
design_5,stress_granule,2.8115188e-08
design_5,chromosome,0.67532617
design_5,nucleolus,0.005820193
design_5,nuclear_pore_complex,0.002958793
design_5,cajal_body,0.00015286988
design_5,rna_granule,4.2106986e-12
design_5,cell_junction,0.3127205
design_5,transcriptional,5.3802967e-09
design_6,nuclear_speckle,9.562121e-07
design_6,p-body,0.4676983
design_6,pml-body,0.095265076
design_6,post_synaptic_density,2.416149e-07
design_6,stress_granule,0.43687442
design_6,chromosome,1.1132837e-07
design_6,nucleolus,9.924427e-07
design_6,nuclear_pore_complex,7.874233e-09
design_6,cajal_body,2.3317568e-06
design_6,rna_granule,3.8650836e-07
design_6,cell_junction,4.5110297e-05
design_6,transcriptional,0.000112066475
design_7,nuclear_speckle,2.6009243e-08
design_7,p-body,0.048017886
design_7,pml-body,2.8010492e-08
design_7,post_synaptic_density,4.0643907e-17
design_7,stress_granule,0.032146372
design_7,chromosome,0.7908329
design_7,nucleolus,7.3876893e-10
design_7,nuclear_pore_complex,0.12900272
design_7,cajal_body,4.8866444e-10
design_7,rna_granule,3.754447e-17
design_7,cell_junction,5.337432e-08
design_7,transcriptional,4.399749e-08
design_8,nuclear_speckle,1.3910358e-10
design_8,p-body,6.298817e-05
design_8,pml-body,1.789269e-10
design_8,post_synaptic_density,5.3375256e-28
design_8,stress_granule,1.2091983e-10
design_8,chromosome,0.5667582
design_8,nucleolus,0.4331767
design_8,nuclear_pore_complex,2.0848952e-06
design_8,cajal_body,3.0630342e-15
design_8,rna_granule,1.4975729e-29
design_8,cell_junction,1.8423494e-09
design_8,transcriptional,1.0142473e-12
design_9,nuclear_speckle,5.5232115e-14
design_9,p-body,0.18244158
design_9,pml-body,2.9915125e-06
design_9,post_synaptic_density,9.073105e-05
design_9,stress_granule,0.10995272
design_9,chromosome,0.0007402767
design_9,nucleolus,3.7091645e-06
design_9,nuclear_pore_complex,0.70676774
design_9,cajal_body,1.884619e-07
design_9,rna_granule,1.4199938e-18
design_9,cell_junction,3.1884646e-08
design_9,transcriptional,2.2761113e-09
design_10,nuclear_speckle,0.0043992996
design_10,p-body,0.00090326124
design_10,pml-body,0.008282599
design_10,post_synaptic_density,4.3201048e-10
design_10,stress_granule,0.00033028732
design_10,chromosome,0.96311134
design_10,nucleolus,9.4478004e-05
design_10,nuclear_pore_complex,0.004779112
design_10,cajal_body,0.00030592145
design_10,rna_granule,9.186888e-10
design_10,cell_junction,0.016723257
design_10,transcriptional,0.0010704527
design_11,nuclear_speckle,1.3875345e-09
design_11,p-body,0.0020925128
design_11,pml-body,1.1777694e-05
design_11,post_synaptic_density,3.9753703e-09
design_11,stress_granule,5.4295607e-10
design_11,chromosome,0.14761965
design_11,nucleolus,0.8501285
design_11,nuclear_pore_complex,9.845162e-05
design_11,cajal_body,4.8804224e-05
design_11,rna_granule,1.6997717e-15
design_11,cell_junction,2.623392e-07
design_11,transcriptional,7.460298e-11
design_12,nuclear_speckle,3.6420037e-16
design_12,p-body,0.0051371097
design_12,pml-body,1.6856958e-07
design_12,post_synaptic_density,2.0588369e-09
design_12,stress_granule,7.606707e-06
design_12,chromosome,4.7103364e-05
design_12,nucleolus,8.446778e-13
design_12,nuclear_pore_complex,0.9948045
design_12,cajal_body,2.2244606e-07
design_12,rna_granule,9.297927e-28
design_12,cell_junction,3.2178168e-06
design_12,transcriptional,1.0906301e-09
design_13,nuclear_speckle,4.4292338e-07
design_13,p-body,8.2921254e-08
design_13,pml-body,0.00013242959
design_13,post_synaptic_density,1.9812495e-14
design_13,stress_granule,1.0926709e-07
design_13,chromosome,0.97835
design_13,nucleolus,0.0023414202
design_13,nuclear_pore_complex,3.328494e-08
design_13,cajal_body,3.1480731e-09
design_13,rna_granule,8.625825e-18
design_13,cell_junction,0.019174926
design_13,transcriptional,7.160451e-07
design_14,nuclear_speckle,4.957181e-13
design_14,p-body,0.0016246476
design_14,pml-body,5.048701e-06
design_14,post_synaptic_density,3.85969e-14
design_14,stress_granule,8.0336656e-07
design_14,chromosome,0.9856901
design_14,nucleolus,0.012630575
design_14,nuclear_pore_complex,4.8790353e-05
design_14,cajal_body,6.014165e-11
design_14,rna_granule,1.2154604e-21
