ProtID,Predicted Compartment,Score
Sequence_1,nuclear_speckle,5.00715e-10
Sequence_1,p-body,0.6495683
Sequence_1,pml-body,0.00030586735
Sequence_1,post_synaptic_density,1.7414927e-11
Sequence_1,stress_granule,0.0029138678
Sequence_1,chromosome,0.041015875
Sequence_1,nucleolus,0.0029556316
Sequence_1,nuclear_pore_complex,0.3032053
Sequence_1,cajal_body,3.832403e-08
Sequence_1,rna_granule,4.180878e-14
Sequence_1,cell_junction,3.513214e-05
Sequence_1,transcriptional,3.7525542e-08
Sequence_2,nuclear_speckle,1.14120054e-10
Sequence_2,p-body,0.60669357
Sequence_2,pml-body,8.28974e-08
Sequence_2,post_synaptic_density,4.265547e-20
Sequence_2,stress_granule,0.001744645
Sequence_2,chromosome,0.39124602
Sequence_2,nucleolus,0.0003106857
Sequence_2,nuclear_pore_complex,4.9092746e-06
Sequence_2,cajal_body,1.2896231e-09
Sequence_2,rna_granule,2.1463133e-16
Sequence_2,cell_junction,1.1569675e-10
Sequence_2,transcriptional,4.3494136e-08
Sequence_3,nuclear_speckle,0.00011239075
Sequence_3,p-body,3.0481797e-08
Sequence_3,pml-body,0.113111354
Sequence_3,post_synaptic_density,2.3996923e-11
Sequence_3,stress_granule,3.4212368e-07
Sequence_3,chromosome,0.0010886173
Sequence_3,nucleolus,8.637878e-12
Sequence_3,nuclear_pore_complex,0.88541585
Sequence_3,cajal_body,1.7543392e-05
Sequence_3,rna_granule,5.171717e-22
Sequence_3,cell_junction,0.00015966414
Sequence_3,transcriptional,9.414015e-05
Sequence_4,nuclear_speckle,6.933518e-15
Sequence_4,p-body,0.110760994
Sequence_4,pml-body,6.944091e-08
Sequence_4,post_synaptic_density,1.2933729e-05
Sequence_4,stress_granule,0.00026156465
Sequence_4,chromosome,2.1587278e-17
Sequence_4,nucleolus,1.3485233e-14
Sequence_4,nuclear_pore_complex,7.831858e-05
Sequence_4,cajal_body,7.659712e-12
Sequence_4,rna_granule,1.5456108e-34
Sequence_4,cell_junction,0.88886654
Sequence_4,transcriptional,1.965618e-05
Sequence_5,nuclear_speckle,1.44149e-07
Sequence_5,p-body,0.67238927
Sequence_5,pml-body,8.138012e-05
Sequence_5,post_synaptic_density,2.3599236e-08
Sequence_5,stress_granule,5.0120354e-05
Sequence_5,chromosome,0.18014872
Sequence_5,nucleolus,1.18464094e-07
Sequence_5,nuclear_pore_complex,0.04458238
Sequence_5,cajal_body,1.2196553e-05
Sequence_5,rna_granule,9.032324e-15
Sequence_5,cell_junction,0.10265321
Sequence_5,transcriptional,8.23341e-05
Sequence_6,nuclear_speckle,4.7297584e-09
Sequence_6,p-body,0.00043052697
Sequence_6,pml-body,2.090635e-09
Sequence_6,post_synaptic_density,4.389313e-24
Sequence_6,stress_granule,4.17519e-06
Sequence_6,chromosome,0.540829
Sequence_6,nucleolus,2.134758e-09
Sequence_6,nuclear_pore_complex,0.0059621176
Sequence_6,cajal_body,1.624806e-10
Sequence_6,rna_granule,1.5983483e-27
Sequence_6,cell_junction,0.45277324
Sequence_6,transcriptional,9.622091e-07
Sequence_7,nuclear_speckle,0.0092380885
Sequence_7,p-body,0.034465857
Sequence_7,pml-body,1.1078391e-06
Sequence_7,post_synaptic_density,0.011704334
Sequence_7,stress_granule,0.0019016624
Sequence_7,chromosome,0.73411644
Sequence_7,nucleolus,6.5071754e-06
Sequence_7,nuclear_pore_complex,0.176745
Sequence_7,cajal_body,0.00014922567
Sequence_7,rna_granule,5.0695028e-15
Sequence_7,cell_junction,0.031671017
Sequence_7,transcriptional,7.807836e-07
Sequence_8,nuclear_speckle,2.3353881e-07
Sequence_8,p-body,0.56973946
Sequence_8,pml-body,1.539292e-06
Sequence_8,post_synaptic_density,4.6525034e-11
Sequence_8,stress_granule,2.6606313e-07
Sequence_8,chromosome,5.619869e-09
Sequence_8,nucleolus,4.8008712e-17
Sequence_8,nuclear_pore_complex,0.4302583
Sequence_8,cajal_body,6.666711e-09
Sequence_8,rna_granule,9.121263e-33
Sequence_8,cell_junction,1.0437659e-08
Sequence_8,transcriptional,2.0426673e-07
Sequence_9,nuclear_speckle,0.5209827
Sequence_9,p-body,0.0025444957
Sequence_9,pml-body,0.41798973
Sequence_9,post_synaptic_density,2.33914e-13
Sequence_9,stress_granule,0.015212274
Sequence_9,chromosome,0.0015449243
Sequence_9,nucleolus,2.2033268e-10
Sequence_9,nuclear_pore_complex,4.630735e-05
Sequence_9,cajal_body,2.5248933e-06
Sequence_9,rna_granule,7.78026e-14
Sequence_9,cell_junction,1.0296727e-07
Sequence_9,transcriptional,0.04167692
Sequence_10,nuclear_speckle,0.00018755338
Sequence_10,p-body,0.2919843
Sequence_10,pml-body,0.00088250736
Sequence_10,post_synaptic_density,7.102686e-05
Sequence_10,stress_granule,0.021923563
Sequence_10,chromosome,0.6626042
Sequence_10,nucleolus,8.631043e-05
Sequence_10,nuclear_pore_complex,0.022257403
Sequence_10,cajal_body,2.144375e-06
Sequence_10,rna_granule,2.5041186e-11
Sequence_10,cell_junction,3.6449777e-08
Sequence_10,transcriptional,9.202209e-07
Sequence_11,nuclear_speckle,5.2463304e-07
Sequence_11,p-body,0.00033974586
Sequence_11,pml-body,0.00017162922
Sequence_11,post_synaptic_density,3.1865228e-13
Sequence_11,stress_granule,0.00015719437
Sequence_11,chromosome,0.00016467407
Sequence_11,nucleolus,1.2387312e-08
Sequence_11,nuclear_pore_complex,2.0769726e-06
Sequence_11,cajal_body,5.456411e-09
Sequence_11,rna_granule,1.2116493e-21
Sequence_11,cell_junction,0.9991613
Sequence_11,transcriptional,2.8136546e-06
Sequence_12,nuclear_speckle,2.6574253e-11
Sequence_12,p-body,3.9740464e-12
