ProteinID,nuclear_speckle,p-body,pml-body,post_synaptic_density,stress_granule,chromosome,nucleolus,nuclear_pore_complex,cajal_body,rna_granule,cell_junction,transcriptional
Sequence_1,1.1933945e-07,0.3952061,3.3418997e-05,0.0068912427,0.00020244924,1.8285652e-10,1.8193503e-05,0.01606323,2.875807e-06,2.9473295e-20,0.00124204,1.6087098e-07
Sequence_2,3.348103e-07,0.27695033,0.002876464,0.0003785089,5.3003223e-06,1.7657793e-07,0.0010755331,0.008103425,3.6020074e-06,5.1287175e-18,0.0080029145,1.2115348e-07
Sequence_3,3.6948475e-09,0.2443742,0.00020954595,0.001472376,5.232457e-05,7.023561e-11,1.0341417e-10,0.44780847,3.4420842e-07,1.8007823e-25,0.0011825119,9.087284e-06
Sequence_4,4.6413304e-09,0.78588766,0.00026359115,0.059457295,7.660719e-06,2.6757105e-11,1.1565267e-09,0.060671862,1.4649154e-08,4.6856304e-26,1.09167595e-05,5.578391e-08
Sequence_5,6.7697664e-07,0.6111153,0.00038965084,2.106822e-06,1.96039e-07,1.415962e-06,9.265135e-05,0.026757445,8.199395e-06,2.459e-20,5.1230572e-06,4.067444e-08
Sequence_6,4.4884005e-06,0.07037702,0.6532861,1.0775448e-05,6.5556555e-06,5.4366217e-07,5.778722e-07,0.18871167,7.938015e-06,6.225951e-18,0.0021466194,5.9823084e-05
Sequence_7,1.0520458e-05,0.58727765,0.00041571763,0.0011855244,5.0662926e-05,2.1360384e-08,1.4909084e-07,0.010944593,6.6635016e-07,1.2642116e-20,0.0035646409,6.384748e-07
Sequence_8,1.4591383e-06,0.18627915,0.0023448095,3.123147e-06,6.94834e-06,1.924186e-05,6.091217e-05,0.03552041,1.992126e-07,5.4521004e-19,0.00033717998,7.309301e-07
Sequence_9,3.3240774e-06,0.6220867,0.26736847,0.00033842452,0.00038078535,6.103163e-08,2.5003355e-06,0.040478338,9.7057e-06,1.39071e-16,0.001967462,0.00013776757
Sequence_10,4.9943374e-08,0.48773292,0.18691373,0.015678102,0.000358307,1.1247696e-08,1.0413505e-06,0.012623279,3.8358928e-07,4.4509633e-18,0.000770357,1.8631834e-05
Sequence_11,6.740487e-07,0.1427338,0.0043942323,0.0021410058,8.1611e-07,2.0660076e-08,2.0737573e-08,0.04244217,9.385425e-07,8.4001203e-23,0.0009585841,9.032747e-07
Sequence_12,3.055131e-09,9.581554e-06,7.467783e-05,1.3534105e-05,2.1286489e-07,1.9589951e-08,6.744541e-11,0.9400021,2.4988003e-06,4.592759e-26,0.14291202,5.465759e-08
Sequence_13,4.1022396e-08,0.087501384,0.6729922,0.00020733457,0.00011144152,1.11751195e-08,4.6282235e-06,0.101276614,4.8092227e-07,1.3471807e-18,0.0005161131,6.1762586e-07
Sequence_14,1.1042424e-07,0.084825605,0.024337424,0.00036445295,0.043312576,7.829265e-08,0.00050560164,0.02556107,9.885681e-07,5.6259494e-16,1.152153e-05,1.6694785e-06
Sequence_15,1.293819e-06,0.49545664,0.0071049538,0.00070405897,1.3257875e-05,2.0796712e-08,0.000586983,0.00042232987,2.0345494e-06,9.608719e-18,0.0023154798,1.3211416e-06
Sequence_16,0.00018722458,0.5981151,3.1423482e-05,0.00021230738,2.0484483e-06,1.3615593e-10,2.5295591e-08,0.0022406804,1.3799938e-06,4.322591e-24,0.00013051568,1.516066e-06
Sequence_17,3.1898202e-07,0.11456481,5.4812117e-05,0.001736558,5.2995647e-06,2.3985098e-05,0.00070747745,0.014522621,8.217557e-06,6.568494e-18,8.834636e-06,3.0207257e-08
Sequence_18,2.5593288e-06,0.79229593,0.00012854075,0.0021729886,4.503579e-05,1.4213396e-07,1.6583579e-07,0.012783012,9.573351e-08,4.7903225e-21,0.0012187898,2.4421774e-07
Sequence_19,0.006110615,0.6019176,0.09141364,0.004539147,0.004116686,2.9446335e-06,0.00033791145,0.008841331,1.2859086e-05,1.1149931e-12,9.396848e-05,1.2055629e-05
Sequence_20,1.108323e-07,0.050746676,0.023094364,0.0023909654,0.00027869816,8.975214e-09,3.778144e-05,0.10470771,0.00018174462,9.724622e-17,6.8365014e-05,4.775407e-07
Sequence_21,1.3619117e-05,0.019024713,0.0053082407,0.0040347613,0.0003296052,6.435265e-07,0.00013365914,0.0245928,0.000319672,1.9642702e-16,1.0756279e-05,1.64552e-06
Sequence_22,1.8541026e-08,0.3628506,5.020861e-05,0.00012335363,2.174065e-10,2.194745e-08,0.0030557462,2.3939758e-05,3.0451557e-07,1.7921486e-24,7.2595726e-06,3.351118e-10
Sequence_23,2.2550891e-07,0.3088623,0.0031098274,8.203369e-05,0.00023068942,3.173613e-08,0.00011127874,0.012843128,5.306106e-07,5.8068116e-18,0.0010338948,1.8385995e-07
Sequence_24,3.4182644e-06,0.009908177,0.037173215,0.0030855322,2.3969338e-07,2.4926086e-08,0.00020495395,0.011647888,1.3900699e-05,6.588836e-21,0.001734918,4.5479056e-09
Sequence_25,0.0038447238,0.9779605,0.00080523,3.0275285e-05,1.4785412e-05,2.7079471e-08,7.680178e-05,0.00021681284,1.1108029e-06,3.1698523e-18,7.940761e-05,8.242666e-07
Sequence_26,1.5636003e-06,0.50474626,0.00024906764,0.0017532544,6.1289924e-05,8.841464e-08,3.093859e-07,0.10830283,7.32915e-06,3.0135773e-20,2.4675856e-07,5.355084e-06
Sequence_27,3.2846774e-06,0.43995053,0.016159134,0.014085674,6.159258e-06,1.531595e-11,3.0399606e-06,0.00042514087,1.0857999e-06,6.876412e-22,0.0007393636,2.8173807e-07
Sequence_28,1.8796335e-06,0.62067395,0.034203134,0.0025761593,0.0345184,0.00021702067,0.00029154317,0.024634,1.0835976e-06,7.2759533e-12,0.00022267991,0.00014422383
Sequence_29,6.393888e-08,0.02054157,0.0036575936,0.0030974403,2.0664569e-08,1.8402991e-07,0.00012381063,0.00407169,3.098364e-06,2.827226e-21,0.0009589942,1.884957e-08
Sequence_30,0.00051285373,0.16946109,0.00038278184,0.0007292211,2.695071e-07,1.6772281e-09,6.6986227e-06,2.0353418e-05,2.7044427e-07,8.611563e-24,0.0049937805,7.2984434e-08
Sequence_31,3.964743e-06,0.60786736,0.0766925,0.00042260173,0.0015068601,1.701337e-05,1.7433723e-06,0.046000525,2.703525e-07,8.4646125e-16,0.0062112035,6.519575e-05
Sequence_32,1.279243e-07,0.39525616,0.06860457,0.03832934,1.29372565e-05,1.3144306e-06,2.721656e-05,0.028621681,5.179657e-07,9.84142e-19,1.4369603e-05,3.7451443e-07
Sequence_33,3.457e-07,0.2543538,0.04158768,0.00018475037,0.00045352193,1.3162938e-08,1.098544e-09,0.33543935,3.660664e-06,8.90011e-19,0.027531415,6.15616e-05
