ProtID,Predicted Compartment,Score
design_1,nuclear_speckle,6.763214e-10
design_1,p-body,8.7257984e-05
design_1,pml-body,0.5112652
design_1,post_synaptic_density,3.319385e-05
design_1,stress_granule,1.0620675e-07
design_1,chromosome,0.0008246454
design_1,nucleolus,4.731211e-06
design_1,nuclear_pore_complex,0.043596514
design_1,cajal_body,2.6311224e-07
design_1,rna_granule,4.0127148e-18
design_1,cell_junction,0.44418803
design_1,transcriptional,1.6674775e-07
design_2,nuclear_speckle,4.6732075e-07
design_2,p-body,0.37614384
design_2,pml-body,7.26637e-08
design_2,post_synaptic_density,4.7660925e-10
design_2,stress_granule,0.61298424
design_2,chromosome,0.0005382514
design_2,nucleolus,1.0376758e-06
design_2,nuclear_pore_complex,0.010329144
design_2,cajal_body,1.4563759e-06
design_2,rna_granule,1.3195886e-11
design_2,cell_junction,1.0148154e-06
design_2,transcriptional,4.790211e-07
design_3,nuclear_speckle,2.6655534e-11
design_3,p-body,0.58401406
design_3,pml-body,1.710191e-09
design_3,post_synaptic_density,6.3459975e-22
design_3,stress_granule,0.0003050663
design_3,chromosome,0.41095093
design_3,nucleolus,0.0019137216
design_3,nuclear_pore_complex,0.0028158822
design_3,cajal_body,3.6730492e-07
design_3,rna_granule,7.938341e-16
design_3,cell_junction,1.0680699e-11
design_3,transcriptional,3.8231533e-08
design_4,nuclear_speckle,0.000117841475
design_4,p-body,0.3613234
design_4,pml-body,7.088666e-08
design_4,post_synaptic_density,0.00048481819
design_4,stress_granule,0.6372637
design_4,chromosome,0.00016941593
design_4,nucleolus,1.3465463e-07
design_4,nuclear_pore_complex,0.0005769247
design_4,cajal_body,1.0801174e-05
design_4,rna_granule,1.2326852e-09
design_4,cell_junction,4.0239893e-06
design_4,transcriptional,4.888908e-05
design_5,nuclear_speckle,1.011078e-11
design_5,p-body,0.21879274
design_5,pml-body,1.3468153e-08
design_5,post_synaptic_density,5.0157475e-13
design_5,stress_granule,0.58181995
design_5,chromosome,0.015659897
design_5,nucleolus,1.4434145e-09
design_5,nuclear_pore_complex,0.18372741
design_5,cajal_body,1.9671504e-08
design_5,rna_granule,2.5783826e-16
design_5,cell_junction,4.9602447e-09
design_5,transcriptional,2.7394602e-08
design_6,nuclear_speckle,9.967047e-06
design_6,p-body,0.49200565
design_6,pml-body,2.6563823e-06
design_6,post_synaptic_density,4.6143737e-06
design_6,stress_granule,0.48964828
design_6,chromosome,0.01142941
design_6,nucleolus,0.0004883629
design_6,nuclear_pore_complex,0.0064083813
design_6,cajal_body,2.6310063e-06
design_6,rna_granule,5.6671915e-08
design_6,cell_junction,1.13567274e-10
design_6,transcriptional,5.462571e-09
design_7,nuclear_speckle,2.0132527e-06
design_7,p-body,0.7491896
design_7,pml-body,7.0368543e-07
design_7,post_synaptic_density,0.0025531228
design_7,stress_granule,0.2463573
design_7,chromosome,5.9389723e-08
design_7,nucleolus,0.0015347796
design_7,nuclear_pore_complex,5.3892327e-05
design_7,cajal_body,3.3347205e-05
design_7,rna_granule,5.446462e-10
design_7,cell_junction,0.00027481324
design_7,transcriptional,1.9519526e-07
design_8,nuclear_speckle,2.3133916e-06
design_8,p-body,0.13874789
design_8,pml-body,3.970319e-07
design_8,post_synaptic_density,3.032175e-08
design_8,stress_granule,0.43444365
design_8,chromosome,0.00077311846
design_8,nucleolus,2.2558568e-09
design_8,nuclear_pore_complex,0.42603153
design_8,cajal_body,5.083357e-07
design_8,rna_granule,3.470007e-15
design_8,cell_junction,5.630955e-07
design_8,transcriptional,4.1570773e-09
