ProtID,Predicted Compartment,Score
Sequence_1,nuclear_speckle,8.033424e-07
Sequence_1,p-body,0.8420779
Sequence_1,pml-body,0.003239573
Sequence_1,post_synaptic_density,1.6896909e-13
Sequence_1,stress_granule,0.001323447
Sequence_1,chromosome,0.15182221
Sequence_1,nucleolus,0.00014281743
Sequence_1,nuclear_pore_complex,0.0011332256
Sequence_1,cajal_body,0.00021715986
Sequence_1,rna_granule,2.0594657e-09
Sequence_1,cell_junction,7.387457e-11
Sequence_1,transcriptional,4.2817635e-05
Sequence_2,nuclear_speckle,1.0619244e-10
Sequence_2,p-body,0.89180124
Sequence_2,pml-body,1.7215419e-09
Sequence_2,post_synaptic_density,9.448387e-12
Sequence_2,stress_granule,0.0033475447
Sequence_2,chromosome,0.098595954
Sequence_2,nucleolus,0.0040768064
Sequence_2,nuclear_pore_complex,0.0021777782
Sequence_2,cajal_body,6.9498554e-07
Sequence_2,rna_granule,2.5164588e-14
Sequence_2,cell_junction,1.3577718e-09
Sequence_2,transcriptional,1.8358069e-10
Sequence_3,nuclear_speckle,1.3434187e-07
Sequence_3,p-body,0.86997235
Sequence_3,pml-body,6.9162036e-07
Sequence_3,post_synaptic_density,1.4898039e-07
Sequence_3,stress_granule,0.039019454
Sequence_3,chromosome,1.7615272e-06
Sequence_3,nucleolus,1.1030342e-18
Sequence_3,nuclear_pore_complex,0.09098537
Sequence_3,cajal_body,2.5459673e-12
Sequence_3,rna_granule,2.2945833e-26
Sequence_3,cell_junction,1.9965913e-05
Sequence_3,transcriptional,1.1417877e-07
Sequence_4,nuclear_speckle,1.656333e-05
Sequence_4,p-body,0.018985167
Sequence_4,pml-body,3.658754e-08
Sequence_4,post_synaptic_density,7.2069524e-11
Sequence_4,stress_granule,0.37435943
Sequence_4,chromosome,0.6066242
Sequence_4,nucleolus,3.4901948e-08
Sequence_4,nuclear_pore_complex,1.4616815e-05
Sequence_4,cajal_body,5.4399014e-09
Sequence_4,rna_granule,3.9323173e-14
Sequence_4,cell_junction,1.3635724e-15
Sequence_4,transcriptional,5.349112e-09
Sequence_5,nuclear_speckle,1.613847e-07
Sequence_5,p-body,1.9699051e-07
Sequence_5,pml-body,3.1184597e-06
Sequence_5,post_synaptic_density,2.2588003e-15
Sequence_5,stress_granule,1.5633077e-06
Sequence_5,chromosome,0.005796508
Sequence_5,nucleolus,3.0230604e-10
Sequence_5,nuclear_pore_complex,0.31889525
Sequence_5,cajal_body,4.3690073e-07
Sequence_5,rna_granule,2.855246e-25
Sequence_5,cell_junction,0.6753026
Sequence_5,transcriptional,9.003116e-08
Sequence_6,nuclear_speckle,3.9084266e-08
Sequence_6,p-body,5.592736e-08
Sequence_6,pml-body,1.44521515e-08
Sequence_6,post_synaptic_density,0.008407262
Sequence_6,stress_granule,0.9807953
Sequence_6,chromosome,0.010276063
Sequence_6,nucleolus,9.099995e-11
Sequence_6,nuclear_pore_complex,0.00052056223
Sequence_6,cajal_body,1.3182628e-07
Sequence_6,rna_granule,9.2827406e-17
Sequence_6,cell_junction,4.846696e-07
Sequence_6,transcriptional,3.2394148e-08
Sequence_7,nuclear_speckle,1.4931062e-13
Sequence_7,p-body,2.076761e-05
Sequence_7,pml-body,1.0367183e-11
Sequence_7,post_synaptic_density,7.885572e-05
Sequence_7,stress_granule,0.05599302
Sequence_7,chromosome,0.9439006
