seqid,srpipi,lrpipi,Water,Carbon,ssH,ssE,disL,disS,srELEC,lrELEC,sr_hb,lr_hb,srCATPI,lrCATPI,larkSIM,larkFAR
A0A024R2Q3_HUMAN,0.34685819320580025,0.446984126984127,7.334619745334031,22.035574958201746,0.9571779677628504,0.78756339048539,0.4534178706302186,0.6396511540485678,0.928189854866922,-0.024187679267091915,0.9752846379629456,0.7572922559215584,0.2440891880521666,0.06150610012620951,0.3005266025059016,0.8197436413663512
NBDY_HUMAN,0.3833870967741935,0.47870967741935483,7.38800480939246,19.25409260991581,0.6056599534834549,0.44244006782764406,0.4648065219887473,0.5677777777777778,0.9162016427362217,-0.03349514563106796,0.6070203467882148,0.8124738590232501,0.19318637274549097,0.011651512646718466,0.29222603808929126,0.4117720060278344
RCCD1_HUMAN,0.29293311018733464,0.5428321253101134,7.563304981773998,22.430603236880824,0.9214886787542292,0.7591377564467132,0.2909542022339063,0.6504904491481672,0.7880397180096116,-0.031051616730940375,0.8681359931359931,0.7783541367927705,0.1961224362570912,0.05152142519393219,0.3465783664459161,0.8252789166178592
MEI4_HUMAN,0.24757004002287022,0.389787824408487,7.041936318923117,22.588254873989538,0.9129248747771096,0.5533944668946223,0.4976497346474602,0.5899459107027617,0.696996087770029,-0.025558642348109676,0.8672386157605697,0.7030800591996873,0.3254565549181622,0.059762164785826966,0.27741538542962235,0.8263931211344094
SYNEM_HUMAN,0.292247354529982,0.4915992532669571,7.726137789814387,22.563817097415505,0.9400247533262283,0.8008488148622678,0.4734413563687091,0.6594096501442965,0.9120598485758923,-0.024412162993967746,0.9853420721273367,0.7830100125156445,0.3206158926135956,0.09170122156225485,0.35754383266687173,0.8598038786499146
NKRF_HUMAN,0.2826867816091954,0.4231741086881274,7.442243391584127,21.597242859501403,0.9179201196797677,0.8496669216846112,0.49284099472494347,0.6458892220293514,0.756040853607905,-0.0319740500463392,0.9277114386889566,0.7588483844241922,0.4323866044934294,0.07287686812503331,0.33481676999570315,0.8371635106361677
ZN185_HUMAN,0.28928743469077706,0.46393980629152326,7.813651361011823,23.153944155430512,0.8914836227481601,0.8779514996809189,0.5906591082155851,0.656940441882805,0.9492989020930137,-0.04226790089844813,0.9796166033665191,0.8909668313338038,0.36716557530402244,0.12909260991580918,0.3433380217894009,0.7498673054153
NPHP1_HUMAN,0.31555388219544844,0.5440926476838079,7.271971190945726,21.625133120340788,0.9254434351775392,0.8036299726231115,0.3982642237222758,0.6667277055484343,0.8770395997942868,-0.03548441260424246,0.9325726141078838,0.8175732869999109,0.33804043310365717,0.11585515047712258,0.33246086733384655,0.8087343618082738
MSH4_HUMAN,0.28046713128649464,0.45389903936711246,7.524105685677738,21.36837713808928,0.9368439110325215,0.8854843135461447,0.5227177990829512,0.6559211150090073,0.8486988529361411,-0.02509127115831397,0.9248257863158178,0.8868718175780386,0.4141644232760406,0.051677489177489176,0.3203404834865509,0.874762014479221
RRP8_HUMAN,0.28978209119208936,0.41127108912640226,7.766977850997621,21.605847639484978,0.9223944207671445,0.7540619655308513,0.5040590405904058,0.6579545454545455,0.8440512133296737,-0.02771618625277162,0.9416018378321934,0.7790263305152675,0.22288915566226492,0.05974568695807634,0.30433330151761,0.8459170704583366
U3IP2_HUMAN,0.2635828461632803,0.44139919347480977,7.509811616954474,22.449534789644012,0.9522541373406886,0.7931632104225184,0.37587714837791114,0.6166863351962771,0.7433071930773391,-0.03770427677329624,0.9417297927245484,0.7524208592292622,0.06285938316779927,0.039920331130449724,0.2962896090999368,0.8333416411616338
PGRP1_HUMAN,0.3314849044978435,0.6487900588620014,7.213915040183697,21.802120141342755,0.909539076363311,0.8683748512572421,0.32921603893355905,0.5917460126753371,0.8207323764692293,-0.044166086391838076,0.7258920488246495,0.7881816327665807,0.346582087565985,0.036829947754017586,0.316450745538988,0.8051922126024638
RPP40_HUMAN,0.2523268881652883,0.43734455010972934,6.9866065308584435,22.831390507910076,0.8766372162977183,0.7085866997172625,0.31386401990789736,0.6435408175867605,0.7565050172517489,-0.0375,0.8951911220715166,0.7215635916133519,0.15053926991150443,0.08739176710870754,0.2776384450467214,0.7701310829510365
PIAS1_HUMAN,0.3457259308217669,0.46952902705227845,7.347588910907968,21.46808026184716,0.9305198033475115,0.8389312503874528,0.5164505466564964,0.6219966671716407,0.8311088295687885,-0.030111697628977224,0.8764393268379097,0.8043056683875364,0.3320068220579875,0.03852349342028345,0.3082343114272627,0.8381261942485669
RL1D1_HUMAN,0.2570119470731812,0.34748276496941677,7.177939712601138,22.002012252381164,0.914405836300242,0.7155999150562752,0.4237672119571613,0.644435403104657,0.8138727896932334,-0.0258751902587519,0.8214418926839665,0.7543643574648874,0.47778643803585347,0.050197847571349374,0.2914452411795306,0.8038562329706184
NOL4_HUMAN,0.3178778910446125,0.4060067960100844,7.482054074530044,22.62219387755102,0.9205203608632807,0.7928453559641678,0.39488117001828155,0.6370716276267229,1.0058114507102884,-0.0357242497972425,0.9393558788242351,0.7474329143377425,0.4218812756044662,0.11419973073572504,0.3141939262703892,0.8176966292134832
RPP14_HUMAN,0.2621082621082621,0.3763175906913073,6.674352366743523,21.346771037181995,0.9234658830712869,0.5891891366094705,0.197318492284341,0.6133748349368043,0.5957380327459068,-0.061251203079884506,0.7613334871380782,0.6960936729787734,0.21506884242733298,0.021991330953595106,0.25392225963923043,0.8488401217679473
LC7L3_HUMAN,0.24420612560210853,0.3714940329321718,7.148992401717872,21.17277021014443,0.9251439369856239,0.7431570272422542,0.2604031707554924,0.616098294884654,0.6641046286192539,0.010634441087613293,0.810135249207451,0.6738793070818456,0.11460714398575837,0.07062106928350032,0.28523239904087133,0.8369890228973932
RPP29_HUMAN,0.26802156385668624,0.2952986406010503,7.3172753172753175,22.820202808112324,0.911740203988202,0.7621790163392175,0.3092206366630077,0.6651678175686526,0.6763623392836876,-0.03476132989657085,0.753122186466514,0.6721745811355078,0.12114828435748205,0.031380571374410575,0.2875423523717328,0.8053189404332947
IF2A_HUMAN,0.26133931301600244,0.45208828367757264,7.641968757255149,20.661292538817385,0.923814535461615,0.9274308525805531,0.2446255585344057,0.6302392178415435,0.7881952231442028,-0.0354249611854949,0.9234835837506956,0.7627361070211602,0.07941192938673322,0.06995429971026614,0.31356187531929947,0.8462631011852287
PERE_HUMAN,0.36439169139465877,0.4590742207184508,7.483759430008382,23.208995664739884,0.9464692028262345,0.7039098475755651,0.47136273864384465,0.645246946362188,0.7513018495241516,-0.03608030324301558,0.9548827479907519,0.7788438366068201,0.3816830785960249,0.06824257036532314,0.3205061488318589,0.8096284424223624
GRAA_HUMAN,0.32265758091993185,0.569989432898908,7.574619919329817,21.232713563533544,0.8779770052012045,0.7934715664134675,0.3891785059578369,0.6431391058096627,0.8835215812827754,-0.02919024549118593,0.9594130594277329,0.8147664856007041,0.31213051823416504,0.03477347925680835,0.3187843856431753,0.7653122550928664
EPCAM_HUMAN,0.3135710770056826,0.5229453035509737,7.135022740551501,22.319099108077133,0.8848802232450259,0.898911910003476,0.3357364982121851,0.6461618622898564,0.9493414387031408,-0.0314843993244582,0.9552932761087267,0.7521362423013257,0.2911511446792253,0.050412985936154606,0.2836662145095655,0.7955962743872137
UBF1_HUMAN,0.25321602838976787,0.45827577194489044,7.137962609690958,22.7539169604387,0.9381498624807137,0.6314620629361846,0.5969980175587652,0.6429013963684888,1.0179948586118253,-0.028564570331253,0.8649205414949971,0.735991348805082,0.3602678816490092,0.09818822345244087,0.2882573075756043,0.8385813542603813
MMP8_HUMAN,0.3521996174578334,0.44087984698313337,7.594179592260207,22.05238161754435,0.9097877722253069,0.7118456662745325,0.500709219858156,0.6315215997948981,0.7152469385008747,-0.03827660978599039,0.9881397892797513,0.8355496178462686,0.26550075426350644,0.056412930959549266,0.3701167097630862,0.8033557209122536
CMA1_HUMAN,0.3031588402614901,0.4407308579440098,7.65893308080808,21.83491137925062,0.8933037208311783,0.8533051004986544,0.38256117252515215,0.6381517137035274,0.7723967598749547,-0.050677666470241606,0.8004005778828474,0.8328424153166422,0.08101056068063216,0.07941335058772782,0.2952550872793905,0.721150493898896
RPB9_HUMAN,0.2381099444101297,0.3877144988808754,7.118370124622517,21.732649442755825,0.8143415406008008,0.6534253492678,0.3920680512593902,0.587229877268278,0.6556971656838501,-0.05205994337596407,0.904218682737839,0.6806634814748039,0.12752023546725533,0.052259452812788196,0.3200765340986743,0.7394913935950762
NOP2_HUMAN,0.35283027760757885,0.4897822535286713,7.599118942731278,21.90581516095535,0.9321119519171585,0.8365501814918496,0.5812261863526151,0.6498653677427162,0.9906583629893239,-0.03131364562118126,1.0148998399646818,0.7777714964101984,0.15120802059935354,0.06730829914799621,0.31688804554079697,0.8283259110581447
GRAK_HUMAN,0.33295653067516184,0.5812116706931797,7.105514250309789,21.357308584686773,0.8576926447135521,0.8191039541877989,0.33731211317418214,0.6179618949305447,0.7559204132780932,-0.04786740620705848,1.014609358458607,0.8627766599597585,0.05256883781829552,0.02479417003367888,0.3287805861452007,0.7398658771919311
