ProtID,experiment,cajal_body,cell_junction,chromosome,nuclear_pore_complex,nuclear_speckle,nucleolus,p-body,pml-body,post_synaptic_density,rna_granule,stress_granule,transcriptional
design_1,original features,1.7747157e-10,6.7622045e-15,0.91585207,2.0397728e-10,1.1590541e-06,0.03739706,0.013240273,5.140411e-07,1.98742e-18,7.847812e-11,0.03350746,1.5406174e-06
design_10,original features,1.7552739e-13,9.494723e-05,4.6250784e-06,0.9807197,1.2884925e-19,8.855322e-15,0.010105437,5.351688e-11,0.0090752365,9.865959e-35,6.379379e-08,4.1590798e-13
design_100,original features,1.2832596e-08,4.9003925e-09,0.5270992,0.47289953,1.1928543e-06,8.510596e-12,3.16921e-09,6.0688535e-08,6.59307e-16,2.068219e-29,2.8625788e-10,1.1277075e-11
design_11,original features,4.5750608e-07,3.0998557e-09,0.54668266,0.33560008,3.3592775e-07,0.0025737123,0.115061656,7.4346324e-05,3.4340233e-09,4.5669702e-14,6.787651e-06,9.004064e-09
design_12,original features,9.573647e-10,3.6769096e-10,0.47726762,0.51173747,2.3706588e-12,9.296463e-09,0.010213275,6.2165073e-09,5.1349786e-11,4.6668829999999996e-21,0.0007816415,2.9073796e-12
design_13,original features,9.829486e-06,0.21333817,0.53975964,0.054097474,7.1162665e-10,0.015214489,0.0032438035,0.0056694504,0.16823842,5.6379463e-12,0.00042823915,4.650707e-07
design_14,original features,2.7299886e-05,0.00011616119,0.48836076,0.51143336,1.0543608e-06,3.4911976e-05,7.5603526e-07,3.6005648e-07,8.78533e-10,7.750675e-18,2.5313751e-05,5.7288863e-09
design_15,original features,6.961738e-08,2.8006147e-14,0.9648492,0.00895089,1.1973444e-09,0.0023704749,0.0021936486,4.4557464e-07,6.7347385e-09,2.2182875e-11,0.021635238,1.1893393e-09
design_16,original features,7.5700004e-06,3.566222e-11,0.85625094,0.0031856906,1.8764713e-13,2.1184448e-07,5.220697e-07,3.6417274e-09,9.87359e-14,6.4650393999999994e-18,0.14055516,1.0009867e-10
design_17,original features,3.052495e-11,1.27465055e-05,0.5459248,0.4486526,1.982497e-14,5.1032924e-07,0.005409044,4.238093e-10,1.0433085e-18,1.2799525e-25,2.8678562e-07,2.9898424e-11
design_18,original features,8.3722357e-10,1.1421826e-06,0.073572434,0.7477406,1.4009082e-11,2.6079795e-13,0.17868233,4.354408e-10,1.7095587e-17,6.764748000000001e-29,3.4020466e-06,1.11273414e-10
design_19,original features,5.900041e-11,1.5099724e-12,0.5059248,0.4938912,2.6241365e-11,2.835284e-08,0.00017551467,2.5623134e-10,6.9056795e-11,2.9290726000000004e-22,8.438341e-06,1.8022015e-13
design_2,original features,6.0186557e-07,1.0040808e-06,0.21124974,0.78849137,8.888685e-09,1.0728715e-08,0.00025438995,2.884921e-06,7.404613e-12,2.7887202e-23,3.823291e-08,1.1234444e-08
design_20,original features,1.2459275e-10,4.425204e-07,0.96574974,0.023790833,2.1074087e-15,0.0017488364,0.008655506,2.2706855e-08,2.1398511000000002e-16,1.6912075000000002e-22,5.4610042e-05,1.2264959e-11
design_21,original features,1.2572023e-08,1.8765274e-11,0.89696676,0.10290371,1.0165184e-08,5.588817e-05,6.891959e-05,2.193368e-07,6.093546e-14,2.6558384e-19,4.4287294e-06,6.944569e-10
design_22,original features,5.5193855e-06,4.555074e-09,0.49742222,0.0019550188,2.6841266e-05,0.49441922,0.0040331,4.2030744e-05,1.8690052e-10,3.1082031e-10,0.002096011,2.0138486e-08
design_23,original features,2.4760427e-08,7.816856e-10,0.995118,0.0006804587,1.5731786e-11,0.004066423,1.8064713e-05,8.535884e-08,0.00011527188,1.6491242e-14,1.7981121e-06,4.218997e-12
design_24,original features,8.4142965e-10,1.5727053e-09,0.5000888,0.4999008,3.853338e-10,2.2044544e-09,1.0397548e-05,1.807267e-10,3.1921154e-15,1.0496271e-25,1.4046153e-10,1.7760083e-12
design_25,original features,1.5952443e-12,6.656172e-05,0.04324357,2.2499573e-06,1.0490077e-09,0.00019621462,0.9559422,1.2496994e-07,7.124072e-15,1.2442740000000001e-17,0.00054913806,2.6660687e-09
design_26,original features,1.7164439e-07,3.0884695e-10,0.62526554,0.37464926,5.6091442e-12,7.581799e-05,7.215203e-06,1.8701795e-06,5.454132e-20,5.480764999999999e-20,1.9909274e-07,5.243813e-10
design_27,original features,1.1286874e-09,0.00014165086,0.7221776,0.27730444,1.6958648e-08,1.5495633e-06,4.9708706e-06,0.00036972118,2.1371303e-13,1.8375752000000002e-22,2.6462105e-10,3.3468273e-10
design_28,original features,5.800805e-09,0.97734725,1.1598907e-05,0.0013739178,7.403107e-11,6.8236496e-08,8.974223e-12,1.3920364e-07,0.021267012,5.3280788000000004e-30,7.842992e-14,7.869439e-14
