ProteinID,nuclear_speckle,p-body,pml-body,post_synaptic_density,stress_granule,chromosome,nucleolus,nuclear_pore_complex,cajal_body,rna_granule,cell_junction,transcriptional
Sequence_1,9.157107e-05,0.013782319,3.4562756e-05,2.3413623e-11,0.0027755098,0.1028115,0.00035987486,0.090343736,0.015229701,2.5564677e-09,3.0089802e-06,3.3192253e-05
Sequence_2,4.605645e-06,0.86025006,0.000104676954,2.9647026e-07,0.00017226576,0.0002963035,0.00011820875,0.0869738,0.0013289725,7.482145e-12,0.00011899362,4.3572663e-06
Sequence_3,6.0884475e-05,0.47818533,7.8134804e-07,1.6053565e-13,0.18499506,0.050103944,1.0149603e-06,0.0015166128,1.1027191e-05,1.3696992e-10,0.00022770348,6.2686704e-05
Sequence_4,4.7339534e-05,0.022577291,3.7101763e-05,1.7826038e-08,0.00120685,0.093696564,0.00014907938,0.15657637,0.023899928,2.2410727e-09,9.267841e-07,1.6289945e-05
Sequence_5,1.531934e-06,0.4990646,0.00011014637,9.982314e-06,0.0020026278,2.9657394e-06,5.492796e-07,0.08412056,4.126883e-05,4.6802372e-14,0.10123211,6.417318e-05
Sequence_6,0.00015893827,0.00033225343,4.4787753e-06,4.6403284e-06,0.00028746843,0.02709895,1.5661966e-08,0.12758753,0.0017996157,3.601978e-14,0.0042150295,1.3852358e-05
Sequence_7,0.000106113395,0.0043495,5.8176316e-05,1.4296978e-09,0.0008653483,0.97592205,4.988146e-05,0.06317088,3.8568563e-05,2.97404e-09,0.0009452267,1.592866e-05
Sequence_8,6.889509e-07,0.036330327,1.441381e-05,2.2995232e-09,0.00021629315,0.07423842,3.4706165e-05,0.16153751,0.00018358017,2.544869e-13,0.0003810895,2.7783126e-06
Sequence_9,0.00082227116,0.00089972105,0.00014022744,1.863518e-07,0.0036310705,0.4627063,2.2105147e-05,0.5157556,0.011471288,6.72747e-10,3.4190857e-06,1.3129763e-05
Sequence_10,1.053153e-05,0.027248587,4.930529e-06,3.0423954e-13,0.00023582621,0.047251955,0.00020680288,0.0015447587,0.00065014797,6.272467e-12,1.2549812e-05,6.0396264e-06
Sequence_11,1.0344851e-06,0.075481854,1.0691573e-05,2.7447546e-05,0.005540456,0.09889868,0.0033882852,0.0018046062,6.788668e-05,3.243338e-08,0.0011523602,5.0467547e-06
Sequence_12,0.0029766255,0.0022542193,0.0011967033,2.7984289e-08,0.011613082,0.005919736,1.3601184e-06,0.057643507,0.0054335305,7.568771e-11,0.007296354,0.0004155128
Sequence_13,7.5129506e-06,0.021396406,1.5818454e-05,1.4679438e-09,1.9401466e-05,0.0006916397,2.2603804e-06,0.0002561019,1.1297295e-05,1.0001646e-14,0.998871,7.992343e-06
Sequence_14,8.3502884e-05,0.012355387,2.4973328e-05,8.2915954e-05,0.004864949,0.00014002675,0.00014411674,0.0011187776,0.007055185,3.241506e-09,0.85310006,0.0002387524
Sequence_15,2.1457815e-08,0.03600469,3.505749e-06,2.0642313e-08,0.00012515968,0.69088286,3.980955e-06,0.02395219,9.589561e-06,4.275526e-12,0.0016614018,1.5655536e-06
Sequence_16,2.5773734e-06,0.008680748,0.0002051248,1.09301325e-10,0.00012531625,0.060125183,0.00021172885,0.42147705,0.02298992,5.4188844e-11,0.00022022931,6.288055e-06
Sequence_17,2.053781e-06,0.00977765,0.0004602122,6.6432745e-05,0.046152674,0.001011963,1.0928742e-09,0.45670155,0.0002416453,6.2954798e-12,0.10044602,0.0013146126
Sequence_18,3.3573593e-07,0.0032496206,0.0001798432,0.0050512506,0.011111855,0.0055926694,0.000119920376,0.012399425,0.00043262256,5.9002456e-11,1.3758551e-05,2.6304482e-05
Sequence_19,7.2045696e-06,0.0028408126,6.0333212e-05,8.385551e-07,0.004287746,0.00055812416,2.8639298e-11,0.7908747,0.000120872224,2.42569e-15,0.028447095,0.00011131895
Sequence_20,5.693968e-06,0.021524642,0.00026818327,3.4499024e-07,0.010817688,0.48410833,0.00016613935,0.19245484,0.0011228465,1.5551876e-09,1.9045294e-05,3.818557e-05
Sequence_21,2.1653348e-05,0.053477958,9.5009535e-05,2.2080126e-12,0.009316533,0.22810285,0.023544222,0.018331546,0.00037263343,6.6865525e-08,2.1022855e-05,6.214815e-06
Sequence_22,7.891551e-05,0.0025448604,1.8306782e-06,4.030354e-11,0.018109847,0.23418581,1.1562312e-05,0.22104695,0.0008163992,2.3897967e-11,6.971277e-05,5.4467487e-06
Sequence_23,5.1671723e-05,6.902869e-05,1.8973676e-06,2.9346253e-08,1.5319925e-05,0.8662535,8.18157e-06,0.056452338,0.00045814557,1.1931595e-12,0.003334659,6.0017265e-07
Sequence_24,1.7381712e-06,0.0151255345,7.0055744e-06,1.0323557e-11,0.00074325193,0.4919144,0.004056485,0.32406062,0.00045471778,2.5940022e-10,1.4933772e-07,1.0279845e-06
Sequence_25,4.58528e-05,0.039372403,7.548771e-07,1.4815326e-06,0.013464393,0.0049162456,6.635114e-06,0.076389596,0.0005100365,1.5188501e-11,3.523621e-06,3.6258052e-06
Sequence_26,3.487778e-09,0.01196921,2.0379691e-06,4.072448e-07,0.057764627,0.6249652,0.00032890643,0.0015011679,5.555119e-05,1.1738732e-08,0.0003760004,3.86416e-06
Sequence_27,1.4470653e-05,0.7070051,1.3359946e-05,2.7971533e-08,0.62134266,0.012551383,0.00016940864,0.008267964,8.42464e-05,8.13134e-08,0.00022088521,1.9402927e-05
Sequence_28,3.4211635e-06,0.25495496,9.810278e-05,3.2398412e-10,0.003756215,0.15439315,0.0016201964,0.021502597,4.35913e-05,2.1629234e-09,0.00011031802,5.1267666e-06
Sequence_29,2.6510595e-06,0.050258238,1.1158653e-05,1.5300024e-06,0.31761608,0.008310809,3.3754826e-05,0.023073347,0.009247898,2.00518e-08,1.681372e-05,6.990922e-05
Sequence_30,3.7079954e-07,0.0020815865,6.9676435e-07,7.4022e-08,0.0006201326,0.86695117,5.7296033e-06,0.0076399976,0.0001381696,3.0837204e-11,0.0003344526,1.6388593e-06
Sequence_31,3.072214e-05,0.013704144,0.00011987488,3.3601907e-08,0.09089644,0.5280281,0.00019239784,0.24210837,0.0016581416,2.2189546e-07,0.00033545532,3.959605e-05
Sequence_32,2.1722035e-05,0.05610454,3.100708e-06,3.952866e-12,0.03154166,0.053313192,4.230309e-05,0.00031053738,2.0352896e-05,3.2688394e-11,0.0029587396,9.323786e-06
Sequence_33,2.4371093e-05,0.033886205,2.0439413e-05,1.88339e-05,0.0044522793,0.07340559,2.8962345e-06,0.08618911,0.0009307111,3.7337533e-10,0.00011227285,8.238231e-05
