ProtID,Predicted Compartment,Score
design_1,nuclear_speckle,0.22536965
design_1,p-body,0.0076324753
design_1,pml-body,2.6040942e-05
design_1,post_synaptic_density,0.51442933
design_1,stress_granule,0.017139113
design_1,chromosome,0.16590905
design_1,nucleolus,0.00061470567
design_1,nuclear_pore_complex,0.01607285
design_1,cajal_body,0.052747834
design_1,rna_granule,2.0603959e-05
design_1,cell_junction,1.872085e-05
design_1,transcriptional,1.958768e-05
design_2,nuclear_speckle,1.5590201e-08
design_2,p-body,0.7853642
design_2,pml-body,2.3956227e-07
design_2,post_synaptic_density,3.68983e-11
design_2,stress_granule,0.00011554077
design_2,chromosome,0.0031176435
design_2,nucleolus,0.008457175
design_2,nuclear_pore_complex,0.20208202
design_2,cajal_body,0.00022015694
design_2,rna_granule,1.69189e-12
design_2,cell_junction,0.0006430598
design_2,transcriptional,4.5386686e-09
design_3,nuclear_speckle,9.30379e-10
design_3,p-body,0.3266826
design_3,pml-body,1.2311329e-09
design_3,post_synaptic_density,3.116947e-08
design_3,stress_granule,0.6733107
design_3,chromosome,3.2324385e-07
design_3,nucleolus,1.3480116e-06
design_3,nuclear_pore_complex,6.4085384e-07
design_3,cajal_body,2.8905495e-06
design_3,rna_granule,1.829748e-10
design_3,cell_junction,1.1492679e-06
design_3,transcriptional,3.4553486e-07
design_4,nuclear_speckle,2.7038528e-11
design_4,p-body,0.38929516
design_4,pml-body,9.59021e-08
design_4,post_synaptic_density,5.670095e-11
design_4,stress_granule,0.010639406
design_4,chromosome,0.0035378935
design_4,nucleolus,1.384504e-10
design_4,nuclear_pore_complex,0.5965241
design_4,cajal_body,3.2267512e-06
design_4,rna_granule,2.1187389e-19
design_4,cell_junction,9.985259e-08
design_4,transcriptional,1.572898e-08
design_5,nuclear_speckle,0.00020287749
design_5,p-body,0.528011
design_5,pml-body,1.7274533e-07
design_5,post_synaptic_density,3.733154e-11
design_5,stress_granule,0.4703488
design_5,chromosome,3.48812e-05
design_5,nucleolus,2.878404e-05
design_5,nuclear_pore_complex,0.00022707974
design_5,cajal_body,4.233646e-07
design_5,rna_granule,1.4196535e-11
design_5,cell_junction,0.0011458679
design_5,transcriptional,1.2947793e-07
design_6,nuclear_speckle,3.5350275e-11
design_6,p-body,0.42182824
design_6,pml-body,5.445624e-10
design_6,post_synaptic_density,8.1779676e-14
design_6,stress_granule,0.38416547
design_6,chromosome,6.009959e-06
design_6,nucleolus,9.957771e-09
design_6,nuclear_pore_complex,0.19399439
design_6,cajal_body,5.6723475e-06
design_6,rna_granule,6.1172616e-18
design_6,cell_junction,1.4988384e-08
design_6,transcriptional,9.981401e-08
design_7,nuclear_speckle,0.0005757377
design_7,p-body,0.39105937
design_7,pml-body,9.180938e-08
design_7,post_synaptic_density,6.5116815e-08
design_7,stress_granule,0.47928897
design_7,chromosome,0.0003490408
design_7,nucleolus,2.5136376e-07
design_7,nuclear_pore_complex,0.12864174
design_7,cajal_body,8.466532e-05
design_7,rna_granule,1.270021e-12
design_7,cell_junction,1.3132358e-08
design_7,transcriptional,7.142121e-08
design_8,nuclear_speckle,0.00057976163
design_8,p-body,0.49576357
design_8,pml-body,1.979635e-06
design_8,post_synaptic_density,1.1558273e-09
design_8,stress_granule,0.009311035
design_8,chromosome,0.3774132
design_8,nucleolus,0.09742008
design_8,nuclear_pore_complex,0.018518586
design_8,cajal_body,0.0009910022
design_8,rna_granule,2.8433496e-07
design_8,cell_junction,3.914754e-07
design_8,transcriptional,7.033222e-08
design_9,nuclear_speckle,5.18719e-07
design_9,p-body,0.045841537
design_9,pml-body,2.4579415e-06
design_9,post_synaptic_density,0.0073408294
design_9,stress_granule,0.059231084
design_9,chromosome,9.635723e-06
design_9,nucleolus,0.3416576
design_9,nuclear_pore_complex,0.54142034
design_9,cajal_body,0.0044949646
design_9,rna_granule,1.5421848e-15
design_9,cell_junction,1.022916e-06
design_9,transcriptional,1.7690195e-09
design_10,nuclear_speckle,5.6622486e-07
design_10,p-body,0.4992599
design_10,pml-body,1.8904785e-08
design_10,post_synaptic_density,5.363729e-08
design_10,stress_granule,0.48921263
design_10,chromosome,0.011321863
design_10,nucleolus,0.00017813662
design_10,nuclear_pore_complex,2.339001e-05
design_10,cajal_body,3.1907074e-08
design_10,rna_granule,5.9110143e-09
design_10,cell_junction,3.3340177e-06
design_10,transcriptional,5.874197e-08
design_11,nuclear_speckle,4.406461e-07
design_11,p-body,0.49437356
design_11,pml-body,1.5068935e-06
design_11,post_synaptic_density,1.3672941e-06
design_11,stress_granule,0.003970325
design_11,chromosome,0.015453521
design_11,nucleolus,0.00083997817
design_11,nuclear_pore_complex,0.48394743
design_11,cajal_body,0.0014118679
design_11,rna_granule,5.1508936e-12
design_11,cell_junction,4.364017e-08
design_11,transcriptional,3.3881438e-08
design_12,nuclear_speckle,1.879914e-08
design_12,p-body,0.9271131
design_12,pml-body,2.8140412e-10
design_12,post_synaptic_density,1.09683885e-16
design_12,stress_granule,0.051902287
design_12,chromosome,5.437598e-05
design_12,nucleolus,0.020777589
design_12,nuclear_pore_complex,0.0001526265
design_12,cajal_body,2.3886717e-08
design_12,rna_granule,4.8788153e-15
design_12,cell_junction,1.9693356e-09
design_12,transcriptional,1.7181602e-09
design_13,nuclear_speckle,1.7110632e-09
design_13,p-body,0.11212638
design_13,pml-body,2.7740379e-08
design_13,post_synaptic_density,2.2788496e-10
design_13,stress_granule,0.88682246
design_13,chromosome,0.000102783684
design_13,nucleolus,6.5318724e-09
design_13,nuclear_pore_complex,0.0009470323
design_13,cajal_body,1.1997963e-06
design_13,rna_granule,1.3386619e-15
design_13,cell_junction,4.844206e-13
design_13,transcriptional,9.262512e-08
design_14,nuclear_speckle,5.8414525e-07
design_14,p-body,0.56626487
design_14,pml-body,9.053338e-08
design_14,post_synaptic_density,8.1542055e-17
design_14,stress_granule,0.3583788
design_14,chromosome,0.031279016
design_14,nucleolus,1.1554022e-06
design_14,nuclear_pore_complex,0.04389924
design_14,cajal_body,0.00012735883
design_14,rna_granule,2.276014e-14
design_14,cell_junction,3.8347254e-05
design_14,transcriptional,1.0562757e-05
design_15,nuclear_speckle,6.2768564e-08
design_15,p-body,0.07613345
design_15,pml-body,5.123357e-07
design_15,post_synaptic_density,2.1503348e-09
design_15,stress_granule,0.8126891
design_15,chromosome,6.2383835e-05
design_15,nucleolus,4.1650672e-11
design_15,nuclear_pore_complex,0.11111398
design_15,cajal_body,2.4875374e-07
design_15,rna_granule,2.132584e-16
design_15,cell_junction,7.335614e-09
