ProtID,Predicted Compartment,Score
design_1,Extracellular,0.019068686
design_1,Plastid,0.015864078
design_1,Cytoplasm,0.32489607
design_1,Mitochondrion,0.029599242
design_1,Nucleus,0.3319044
design_1,Endoplasmic.reticulum,0.04157245
design_1,Golgi.apparatus,0.053075273
design_1,Cell.membrane,0.13709036
design_1,Lysosome/Vacuole,0.028660687
design_1,Peroxisome,0.018268717
design_2,Extracellular,0.010658407
design_2,Plastid,0.00714059
design_2,Cytoplasm,0.31659484
design_2,Mitochondrion,0.0130201075
design_2,Nucleus,0.32669345
design_2,Endoplasmic.reticulum,0.05544544
design_2,Golgi.apparatus,0.07553194
design_2,Cell.membrane,0.17903861
design_2,Lysosome/Vacuole,0.007033889
design_2,Peroxisome,0.00884265
design_3,Extracellular,0.022549583
design_3,Plastid,0.024899328
design_3,Cytoplasm,0.32489732
design_3,Mitochondrion,0.038428135
design_3,Nucleus,0.32790762
design_3,Endoplasmic.reticulum,0.028915461
design_3,Golgi.apparatus,0.033078533
design_3,Cell.membrane,0.13590607
design_3,Lysosome/Vacuole,0.04067733
design_3,Peroxisome,0.022740608
design_4,Extracellular,0.015857097
design_4,Plastid,0.021462036
design_4,Cytoplasm,0.28358433
design_4,Mitochondrion,0.04081638
design_4,Nucleus,0.28859672
design_4,Endoplasmic.reticulum,0.042857476
design_4,Golgi.apparatus,0.06982392
design_4,Cell.membrane,0.15124972
design_4,Lysosome/Vacuole,0.050727334
design_4,Peroxisome,0.03502502
design_5,Extracellular,0.016410949
design_5,Plastid,0.010514582
design_5,Cytoplasm,0.33349055
design_5,Mitochondrion,0.019348994
design_5,Nucleus,0.34459737
design_5,Endoplasmic.reticulum,0.047092374
design_5,Golgi.apparatus,0.0587579
design_5,Cell.membrane,0.15004942
design_5,Lysosome/Vacuole,0.009493817
design_5,Peroxisome,0.010244105
design_6,Extracellular,0.018458644
design_6,Plastid,0.02014037
design_6,Cytoplasm,0.3462419
design_6,Mitochondrion,0.0229243
design_6,Nucleus,0.34919003
design_6,Endoplasmic.reticulum,0.02124582
design_6,Golgi.apparatus,0.022874836
design_6,Cell.membrane,0.16258962
design_6,Lysosome/Vacuole,0.029118722
design_6,Peroxisome,0.007215797
design_7,Extracellular,0.018365948
design_7,Plastid,0.010640282
