ProtID,Predicted Compartment,Score
design_1,Extracellular,0.17515722
design_1,Plastid,0.04833356
design_1,Cytoplasm,0.016820414
design_1,Mitochondrion,0.039673783
design_1,Nucleus,0.01427808
design_1,Endoplasmic.reticulum,0.16976544
design_1,Golgi.apparatus,0.065389425
design_1,Cell.membrane,0.18170671
design_1,Lysosome/Vacuole,0.1390436
design_1,Peroxisome,0.14983171
design_2,Extracellular,0.07815887
design_2,Plastid,0.10831106
design_2,Cytoplasm,0.034691166
design_2,Mitochondrion,0.17410366
design_2,Nucleus,0.034954317
design_2,Endoplasmic.reticulum,0.09766607
design_2,Golgi.apparatus,0.062589794
design_2,Cell.membrane,0.15054642
design_2,Lysosome/Vacuole,0.0679715
design_2,Peroxisome,0.19100706
design_3,Extracellular,0.05323033
design_3,Plastid,0.042747322
design_3,Cytoplasm,0.05901768
design_3,Mitochondrion,0.2435397
design_3,Nucleus,0.049578886
design_3,Endoplasmic.reticulum,0.08819349
design_3,Golgi.apparatus,0.05223732
design_3,Cell.membrane,0.1394036
design_3,Lysosome/Vacuole,0.05216194
design_3,Peroxisome,0.21988976
design_4,Extracellular,0.11926744
design_4,Plastid,0.11237953
design_4,Cytoplasm,0.07041889
design_4,Mitochondrion,0.11882292
design_4,Nucleus,0.040118087
design_4,Endoplasmic.reticulum,0.12631051
design_4,Golgi.apparatus,0.06409897
design_4,Cell.membrane,0.112542205
design_4,Lysosome/Vacuole,0.06828757
design_4,Peroxisome,0.1677539
design_5,Extracellular,0.09689429
design_5,Plastid,0.083564036
design_5,Cytoplasm,0.035514995
design_5,Mitochondrion,0.16294432
design_5,Nucleus,0.0424297
design_5,Endoplasmic.reticulum,0.100328475
design_5,Golgi.apparatus,0.06340704
design_5,Cell.membrane,0.15805489
design_5,Lysosome/Vacuole,0.07049384
design_5,Peroxisome,0.18636839
design_6,Extracellular,0.03004858
design_6,Plastid,0.07198129
design_6,Cytoplasm,0.08921954
design_6,Mitochondrion,0.21806948
design_6,Nucleus,0.08185315
design_6,Endoplasmic.reticulum,0.06320222
design_6,Golgi.apparatus,0.064186424
design_6,Cell.membrane,0.12354468
design_6,Lysosome/Vacuole,0.045316324
design_6,Peroxisome,0.21257834
design_7,Extracellular,0.022291992
design_7,Plastid,0.053232845
design_7,Cytoplasm,0.05549283
design_7,Mitochondrion,0.2374479
design_7,Nucleus,0.029940965
design_7,Endoplasmic.reticulum,0.10186521
design_7,Golgi.apparatus,0.060818087
design_7,Cell.membrane,0.15811557
design_7,Lysosome/Vacuole,0.053965185
design_7,Peroxisome,0.22682935
design_8,Extracellular,0.023826364
design_8,Plastid,0.021641934
design_8,Cytoplasm,0.053825945
design_8,Mitochondrion,0.20764801
design_8,Nucleus,0.07472731
design_8,Endoplasmic.reticulum,0.08865459
design_8,Golgi.apparatus,0.095919736
design_8,Cell.membrane,0.1809435
design_8,Lysosome/Vacuole,0.05312732
design_8,Peroxisome,0.19968535
design_9,Extracellular,0.030743096
design_9,Plastid,0.05123386
design_9,Cytoplasm,0.14369671
design_9,Mitochondrion,0.240555
design_9,Nucleus,0.08055867
design_9,Endoplasmic.reticulum,0.060705557
design_9,Golgi.apparatus,0.053734228
design_9,Cell.membrane,0.08794765
design_9,Lysosome/Vacuole,0.03264072
design_9,Peroxisome,0.21818453
design_10,Extracellular,0.014801085
design_10,Plastid,0.12707241
design_10,Cytoplasm,0.122012936
design_10,Mitochondrion,0.21416771
design_10,Nucleus,0.067941956
design_10,Endoplasmic.reticulum,0.062440306
design_10,Golgi.apparatus,0.05781696
design_10,Cell.membrane,0.09121476
design_10,Lysosome/Vacuole,0.034512702
design_10,Peroxisome,0.20801918
design_11,Extracellular,0.024946637
design_11,Plastid,0.069512986
design_11,Cytoplasm,0.04971478
design_11,Mitochondrion,0.22344115
design_11,Nucleus,0.032710064
design_11,Endoplasmic.reticulum,0.10619281
design_11,Golgi.apparatus,0.059633583
design_11,Cell.membrane,0.16025056
design_11,Lysosome/Vacuole,0.059832882
design_11,Peroxisome,0.2137645
design_12,Extracellular,0.097627655
design_12,Plastid,0.08005577
design_12,Cytoplasm,0.048621334
design_12,Mitochondrion,0.21905507
design_12,Nucleus,0.03718539
design_12,Endoplasmic.reticulum,0.09373253
design_12,Golgi.apparatus,0.044325773
design_12,Cell.membrane,0.12580347
design_12,Lysosome/Vacuole,0.054806143
design_12,Peroxisome,0.19878687
design_13,Extracellular,0.050694298
design_13,Plastid,0.069811635
design_13,Cytoplasm,0.071777016
design_13,Mitochondrion,0.2498515
design_13,Nucleus,0.05433791
design_13,Endoplasmic.reticulum,0.07089735
design_13,Golgi.apparatus,0.061438892
design_13,Cell.membrane,0.11456468
design_13,Lysosome/Vacuole,0.03686384
design_13,Peroxisome,0.2197629
design_14,Extracellular,0.010580035
design_14,Plastid,0.07140821
design_14,Cytoplasm,0.12432908
design_14,Mitochondrion,0.24347465
design_14,Nucleus,0.049912993
design_14,Endoplasmic.reticulum,0.076193124
design_14,Golgi.apparatus,0.06620579
design_14,Cell.membrane,0.094342045
design_14,Lysosome/Vacuole,0.028953945
design_14,Peroxisome,0.23460011
design_15,Extracellular,0.050531577
design_15,Plastid,0.10176582
design_15,Cytoplasm,0.03524081
design_15,Mitochondrion,0.19141002
design_15,Nucleus,0.031624958
design_15,Endoplasmic.reticulum,0.10657131
design_15,Golgi.apparatus,0.05382282
design_15,Cell.membrane,0.15525493
design_15,Lysosome/Vacuole,0.072269745
design_15,Peroxisome,0.20150802
design_16,Extracellular,0.1738795
design_16,Plastid,0.107173994
design_16,Cytoplasm,0.033486843
design_16,Mitochondrion,0.089810885
design_16,Nucleus,0.02930039
design_16,Endoplasmic.reticulum,0.12709078
design_16,Golgi.apparatus,0.0491679
design_16,Cell.membrane,0.14040081
design_16,Lysosome/Vacuole,0.088715
design_16,Peroxisome,0.16097385
design_17,Extracellular,0.03424412
design_17,Plastid,0.053430166
design_17,Cytoplasm,0.05426367
design_17,Mitochondrion,0.22868694
design_17,Nucleus,0.03596228
design_17,Endoplasmic.reticulum,0.09911192
design_17,Golgi.apparatus,0.07355213
design_17,Cell.membrane,0.14717433
design_17,Lysosome/Vacuole,0.058260158
design_17,Peroxisome,0.21531427
design_18,Extracellular,0.09060159
design_18,Plastid,0.07036328
design_18,Cytoplasm,0.02835082
design_18,Mitochondrion,0.19329861
design_18,Nucleus,0.02943624
design_18,Endoplasmic.reticulum,0.10577897
design_18,Golgi.apparatus,0.06199978
design_18,Cell.membrane,0.16029567
design_18,Lysosome/Vacuole,0.06847381
design_18,Peroxisome,0.19140118
design_19,Extracellular,0.046144754
design_19,Plastid,0.046436213
design_19,Cytoplasm,0.038458947
design_19,Mitochondrion,0.21549934
design_19,Nucleus,0.03386333
design_19,Endoplasmic.reticulum,0.113921635
design_19,Golgi.apparatus,0.05898709
design_19,Cell.membrane,0.16786821
design_19,Lysosome/Vacuole,0.07166211
design_19,Peroxisome,0.20715833
design_20,Extracellular,0.07493061
design_20,Plastid,0.15389843
design_20,Cytoplasm,0.057265498
design_20,Mitochondrion,0.18206292
design_20,Nucleus,0.030067492
design_20,Endoplasmic.reticulum,0.0947587
design_20,Golgi.apparatus,0.05069226
design_20,Cell.membrane,0.12300603
design_20,Lysosome/Vacuole,0.048148386
design_20,Peroxisome,0.18516973
design_21,Extracellular,0.009853324
design_21,Plastid,0.055841744
design_21,Cytoplasm,0.14064598
design_21,Mitochondrion,0.21770093
design_21,Nucleus,0.07324753
design_21,Endoplasmic.reticulum,0.07833212
design_21,Golgi.apparatus,0.066346
design_21,Cell.membrane,0.100942254
design_21,Lysosome/Vacuole,0.04042535
design_21,Peroxisome,0.21666478
design_22,Extracellular,0.04220543
design_22,Plastid,0.05207443
design_22,Cytoplasm,0.069875725
design_22,Mitochondrion,0.22973993
design_22,Nucleus,0.07230571
design_22,Endoplasmic.reticulum,0.06578264
design_22,Golgi.apparatus,0.08151249
design_22,Cell.membrane,0.12916519
design_22,Lysosome/Vacuole,0.043583665
design_22,Peroxisome,0.21375474
design_23,Extracellular,0.004224045
design_23,Plastid,0.0054446273
design_23,Cytoplasm,0.077008024
design_23,Mitochondrion,0.111834586
design_23,Nucleus,0.1364275
design_23,Endoplasmic.reticulum,0.10766678
design_23,Golgi.apparatus,0.08710579
design_23,Cell.membrane,0.20703337
design_23,Lysosome/Vacuole,0.0711893
design_23,Peroxisome,0.192066
design_24,Extracellular,0.03437818
design_24,Plastid,0.040960517
design_24,Cytoplasm,0.051042013
design_24,Mitochondrion,0.21237789
design_24,Nucleus,0.054572072
design_24,Endoplasmic.reticulum,0.09880168
design_24,Golgi.apparatus,0.0636807
design_24,Cell.membrane,0.16858426
design_24,Lysosome/Vacuole,0.07031511
design_24,Peroxisome,0.20528755
design_25,Extracellular,0.008732274
design_25,Plastid,0.0517908
design_25,Cytoplasm,0.06794854
design_25,Mitochondrion,0.24484606
design_25,Nucleus,0.039799463
design_25,Endoplasmic.reticulum,0.08508855
design_25,Golgi.apparatus,0.077582635
design_25,Cell.membrane,0.14556286
design_25,Lysosome/Vacuole,0.045135025
design_25,Peroxisome,0.23351376
design_26,Extracellular,0.017359318
design_26,Plastid,0.034989398
design_26,Cytoplasm,0.051547408
design_26,Mitochondrion,0.23125827
design_26,Nucleus,0.03168814
design_26,Endoplasmic.reticulum,0.11473823
design_26,Golgi.apparatus,0.06416522
design_26,Cell.membrane,0.16949837
design_26,Lysosome/Vacuole,0.0604302
design_26,Peroxisome,0.22432548
design_27,Extracellular,0.022614606
design_27,Plastid,0.016804324
design_27,Cytoplasm,0.049414188
design_27,Mitochondrion,0.17545523
design_27,Nucleus,0.0474277
design_27,Endoplasmic.reticulum,0.12052826
design_27,Golgi.apparatus,0.09085705
design_27,Cell.membrane,0.19146132
design_27,Lysosome/Vacuole,0.08519999
design_27,Peroxisome,0.2002373
design_28,Extracellular,0.023354612
design_28,Plastid,0.10896991
design_28,Cytoplasm,0.060889445
design_28,Mitochondrion,0.21351619
design_28,Nucleus,0.031302657
design_28,Endoplasmic.reticulum,0.096654676
design_28,Golgi.apparatus,0.06262367
design_28,Cell.membrane,0.13671799
design_28,Lysosome/Vacuole,0.052197255
design_28,Peroxisome,0.21377358
design_29,Extracellular,0.03476168
design_29,Plastid,0.0734645
design_29,Cytoplasm,0.030096635
