ProtID,Predicted Compartment,Score
design_1,Extracellular,0.0057728337
design_1,Plastid,0.11919928
design_1,Cytoplasm,0.123504326
design_1,Mitochondrion,0.23250936
design_1,Nucleus,0.04346834
design_1,Endoplasmic.reticulum,0.066884495
design_1,Golgi.apparatus,0.056386184
design_1,Cell.membrane,0.10059013
design_1,Lysosome/Vacuole,0.024122695
design_1,Peroxisome,0.22756232
design_2,Extracellular,0.008883104
design_2,Plastid,0.0070086173
design_2,Cytoplasm,0.046138443
design_2,Mitochondrion,0.18448287
design_2,Nucleus,0.03214059
design_2,Endoplasmic.reticulum,0.14208896
design_2,Golgi.apparatus,0.06423161
design_2,Cell.membrane,0.20281366
design_2,Lysosome/Vacuole,0.098305576
design_2,Peroxisome,0.2139065
design_3,Extracellular,0.1061437
design_3,Plastid,0.046461638
design_3,Cytoplasm,0.028900966
design_3,Mitochondrion,0.089075506
design_3,Nucleus,0.0149432765
design_3,Endoplasmic.reticulum,0.16898103
design_3,Golgi.apparatus,0.07980299
design_3,Cell.membrane,0.16812113
design_3,Lysosome/Vacuole,0.122363985
design_3,Peroxisome,0.17520577
design_4,Extracellular,0.16034064
design_4,Plastid,0.04103169
design_4,Cytoplasm,0.019364594
design_4,Mitochondrion,0.06649942
design_4,Nucleus,0.012872967
design_4,Endoplasmic.reticulum,0.16529593
design_4,Golgi.apparatus,0.06585054
design_4,Cell.membrane,0.17602995
design_4,Lysosome/Vacuole,0.12883924
design_4,Peroxisome,0.16387503
design_5,Extracellular,0.17608424
design_5,Plastid,0.067320906
design_5,Cytoplasm,0.023168042
design_5,Mitochondrion,0.074333996
design_5,Nucleus,0.01606333
design_5,Endoplasmic.reticulum,0.15198284
design_5,Golgi.apparatus,0.051038753
design_5,Cell.membrane,0.1612793
design_5,Lysosome/Vacuole,0.118215434
design_5,Peroxisome,0.16051313
design_6,Extracellular,0.01269931
design_6,Plastid,0.005976157
design_6,Cytoplasm,0.043513775
design_6,Mitochondrion,0.1108316
