ProtID,experiment,Cell.membrane,Cytoplasm,Endoplasmic.reticulum,Extracellular,Golgi.apparatus,Lysosome/Vacuole,Mitochondrion,Nucleus,Peroxisome,Plastid
design_1,original features,0.117367685,0.26753712,0.06345089,0.014091122,0.155316,0.027968496,0.061808188,0.26257572,0.016110523,0.013774235
design_10,original features,0.13822432,0.31097922,0.02093132,0.01635848,0.029382098,0.06829828,0.030349014,0.31282058,0.046034135,0.02662244
design_100,original features,0.17425072,0.27929485,0.053352535,0.006226481,0.12845087,0.014904162,0.04090853,0.29045346,0.0059293285,0.006229035
design_11,original features,0.1331514,0.34401697,0.02464943,0.024145555,0.037947804,0.023833407,0.027035465,0.3548395,0.014401527,0.01597891
design_12,original features,0.19416353,0.306763,0.037446216,0.008414515,0.06432235,0.029658679,0.028825762,0.31533343,0.0046274033,0.010445108
design_13,original features,0.18080503,0.31644428,0.018646197,0.018626142,0.023458976,0.057830125,0.022460746,0.32667378,0.0094990125,0.025555676
design_14,original features,0.17094734,0.31056073,0.042080186,0.009534775,0.09449229,0.0074550635,0.016343983,0.33568084,0.0067432197,0.0061616115
design_15,original features,0.15563485,0.3332151,0.02305769,0.018283179,0.02561125,0.0443264,0.025520142,0.33572027,0.014511147,0.024120087
design_16,original features,0.1262905,0.3486772,0.021999734,0.026886087,0.027053025,0.026597757,0.030798016,0.3562358,0.014725176,0.020736799
design_17,original features,0.14249572,0.32407355,0.027120639,0.020717492,0.032553226,0.043343294,0.033134155,0.32925645,0.022746854,0.024558604
design_18,original features,0.16625269,0.343175,0.020473735,0.017538784,0.024398275,0.02723596,0.023598695,0.3487831,0.008513589,0.02003023
design_19,original features,0.16155177,0.34059116,0.022773623,0.018389635,0.020557601,0.04218833,0.022965938,0.3428709,0.008149608,0.019961465
design_2,original features,0.15059209,0.31305707,0.031854324,0.018091721,0.07369517,0.016198566,0.02964973,0.3348637,0.020287748,0.011709811
design_20,original features,0.1433614,0.33578184,0.029921053,0.02258069,0.030465549,0.028600136,0.030781789,0.34121832,0.016960472,0.020328728
design_21,original features,0.14405888,0.35147977,0.024149304,0.022754787,0.036161367,0.012816516,0.020664914,0.36596045,0.010958625,0.010995348
design_22,original features,0.08909817,0.3195019,0.038903862,0.02243401,0.10118817,0.014006885,0.042256627,0.33148083,0.03555226,0.0055772727
design_23,original features,0.14532351,0.33527264,0.023395628,0.021151487,0.03221322,0.03267171,0.028053498,0.34251156,0.015651891,0.023754911
design_24,original features,0.15996358,0.33045012,0.021129403,0.020797094,0.028111972,0.041354537,0.028474018,0.3371411,0.009955116,0.02262305
design_25,original features,0.14230223,0.34252673,0.04577781,0.008333474,0.0816162,0.004796199,0.010186199,0.35912642,0.0019431772,0.0033915578
design_26,original features,0.17788842,0.34485254,0.025494603,0.013644725,0.029302487,0.025580639,0.016664904,0.34734896,0.0041324613,0.015090301
design_27,original features,0.16944578,0.322957,0.020147264,0.018559912,0.020128943,0.063813694,0.022202928,0.32688785,0.008114429,0.02774219
design_28,original features,0.17273521,0.2985002,0.04961294,0.0062318784,0.11685114,0.0123529835,0.028295856,0.3079722,0.0021444191,0.005303105
design_29,original features,0.16776723,0.33005735,0.016941696,0.020107143,0.026040943,0.042803705,0.025282579,0.34024382,0.0076010004,0.02315444
design_3,original features,0.14369468,0.33400905,0.021684198,0.024695696,0.027374664,0.033462454,0.035623536,0.3411032,0.014517476,0.023834944
design_30,original features,0.18829831,0.3118002,0.017055634,0.012586547,0.020136584,0.06769569,0.018485468,0.31227028,0.019721825,0.031949446
design_31,original features,0.13831715,0.3432205,0.030398147,0.019988349,0.0311943,0.034497507,0.028191416,0.34484765,0.011370876,0.017974101
design_32,original features,0.11823678,0.32930756,0.031814575,0.02272141,0.050522503,0.026916929,0.032082424,0.34050217,0.034049414,0.013846134
design_33,original features,0.13678075,0.3021268,0.033620857,0.019907802,0.046801984,0.05188103,0.044894967,0.3067733,0.033295095,0.023917425
design_34,original features,0.13139828,0.33135393,0.031521033,0.020016465,0.04070439,0.035492487,0.03351073,0.33613315,0.020308165,0.019561296
design_35,original features,0.18062249,0.32133564,0.017830547,0.017745098,0.02158785,0.054871283,0.021725615,0.3293921,0.009643448,0.025246011
design_36,original features,0.14894374,0.35379463,0.024661021,0.016736487,0.029904364,0.028883617,0.019676736,0.3552742,0.0058817165,0.016243484
design_37,original features,0.1391555,0.32925162,0.048864264,0.010069141,0.09090426,0.009635722,0.019289253,0.34389043,0.0036061378,0.005333669
design_38,original features,0.16571708,0.27053875,0.059194904,0.006219993,0.12731251,0.029216079,0.024600897,0.295144,0.013723595,0.008332199
design_39,original features,0.17469753,0.3294438,0.01837518,0.018847879,0.022125145,0.044173837,0.023034142,0.33732584,0.0077195107,0.02425707
design_4,original features,0.17031173,0.33195773,0.014966747,0.020120168,0.026048275,0.039388116,0.022618396,0.3455773,0.0067894966,0.02222202
design_40,original features,0.14415348,0.3455532,0.028598586,0.01888235,0.029608253,0.033859614,0.0254069,0.3471144,0.009015432,0.017807802
design_41,original features,0.17739978,0.3231878,0.042488154,0.007229925,0.08184814,0.01214709,0.018480064,0.32995647,0.0013436289,0.005919038
design_42,original features,0.13365448,0.3330313,0.030173566,0.020382715,0.042530775,0.028014181,0.031541865,0.34219122,0.021500679,0.016979208
design_43,original features,0.13640016,0.35239413,0.04334162,0.0099983625,0.068773896,0.0051363106,0.0135715315,0.36484134,0.0014660618,0.0040766075
design_44,original features,0.19799495,0.3154663,0.018910108,0.011406667,0.025278874,0.046636224,0.016323071,0.31556165,0.025009181,0.027412903
design_45,original features,0.14214462,0.33648798,0.025472654,0.020575482,0.03291961,0.03500353,0.03044433,0.3406042,0.015770655,0.02057696
design_46,original features,0.15942793,0.33977133,0.022926033,0.01805267,0.022924894,0.04382687,0.023471206,0.34311086,0.0077879326,0.018700367
design_47,original features,0.14276476,0.3435012,0.03503039,0.016563108,0.045121904,0.027433477,0.02313495,0.34630468,0.007726456,0.012419073
design_48,original features,0.15738735,0.32682663,0.022099309,0.02075404,0.030390304,0.044203136,0.028948627,0.33500537,0.011987695,0.022397568
design_49,original features,0.2188838,0.27499965,0.018399997,0.007640998,0.01789078,0.11011738,0.013611656,0.2714699,0.033922963,0.03306293
design_5,original features,0.1568325,0.33346295,0.028498039,0.016717354,0.029186066,0.04362119,0.027982105,0.33432078,0.010424141,0.01895479
design_50,original features,0.1454417,0.35597214,0.025185222,0.017577158,0.026751574,0.021975044,0.022640118,0.3622594,0.006808506,0.015389153
