ProtID,Predicted Compartment,Score
design_1,nuclear_speckle,9.4330666e-08
design_1,p-body,0.11187423
design_1,pml-body,0.0014582908
design_1,post_synaptic_density,0.05206488
design_1,stress_granule,0.00043465124
design_1,chromosome,0.010691728
design_1,nucleolus,1.4557757e-07
design_1,nuclear_pore_complex,0.8117691
design_1,cajal_body,2.0275463e-07
design_1,rna_granule,2.1412627e-18
design_1,cell_junction,0.011706505
design_1,transcriptional,6.112604e-08
design_2,nuclear_speckle,7.826387e-17
design_2,p-body,6.805412e-05
design_2,pml-body,9.628368e-09
design_2,post_synaptic_density,1.8394865e-12
design_2,stress_granule,0.071609505
design_2,chromosome,0.4033395
design_2,nucleolus,2.15813e-12
design_2,nuclear_pore_complex,0.52496654
design_2,cajal_body,1.11259546e-13
design_2,rna_granule,2.6586904e-27
design_2,cell_junction,1.638665e-05
design_2,transcriptional,8.133645e-12
design_3,nuclear_speckle,1.130036e-07
design_3,p-body,2.040784e-06
design_3,pml-body,5.413234e-06
design_3,post_synaptic_density,3.462461e-11
design_3,stress_granule,5.746185e-07
design_3,chromosome,0.5949397
design_3,nucleolus,0.40416697
design_3,nuclear_pore_complex,0.00084444555
design_3,cajal_body,4.588212e-08
design_3,rna_granule,3.0171907e-15
design_3,cell_junction,4.065136e-05
design_3,transcriptional,1.4592897e-09
design_4,nuclear_speckle,1.7963887e-07
design_4,p-body,0.0001987781
design_4,pml-body,0.0013878391
design_4,post_synaptic_density,0.048213843
design_4,stress_granule,0.0017376443
design_4,chromosome,0.17586187
design_4,nucleolus,2.787379e-07
design_4,nuclear_pore_complex,0.77259415
design_4,cajal_body,8.0463826e-07
design_4,rna_granule,2.657487e-13
design_4,cell_junction,4.5534816e-06
design_4,transcriptional,4.8513773e-08
design_5,nuclear_speckle,3.9518263e-12
design_5,p-body,0.00024292547
design_5,pml-body,6.661004e-09
design_5,post_synaptic_density,1.5673071e-10
design_5,stress_granule,4.3013524e-06
design_5,chromosome,0.5869462
design_5,nucleolus,4.2368006e-07
design_5,nuclear_pore_complex,0.41280615
design_5,cajal_body,3.994536e-09
design_5,rna_granule,2.362695e-22
design_5,cell_junction,2.0858831e-10
design_5,transcriptional,4.5906057e-11
design_6,nuclear_speckle,1.0207129e-05
design_6,p-body,0.04933619
design_6,pml-body,0.0012390821
design_6,post_synaptic_density,1.5466207e-18
design_6,stress_granule,0.00011636315
design_6,chromosome,0.83871317
design_6,nucleolus,0.00033901955
design_6,nuclear_pore_complex,0.11024577
design_6,cajal_body,2.2466045e-08
design_6,rna_granule,1.0765131e-15
design_6,cell_junction,2.9717645e-11
design_6,transcriptional,2.0924334e-07
design_7,nuclear_speckle,2.5421419e-14
design_7,p-body,2.897388e-09
design_7,pml-body,4.7040716e-10
design_7,post_synaptic_density,1.445703e-14
design_7,stress_granule,8.165946e-10
design_7,chromosome,0.97438794
design_7,nucleolus,7.4073985e-05
design_7,nuclear_pore_complex,0.025538003
design_7,cajal_body,5.207165e-12
design_7,rna_granule,3.932691e-26
design_7,cell_junction,6.3389055e-12
design_7,transcriptional,7.812367e-15
design_8,nuclear_speckle,1.3536012e-13
design_8,p-body,0.06788276
design_8,pml-body,7.305802e-08
design_8,post_synaptic_density,6.8507114e-13
design_8,stress_granule,1.9780631e-05
design_8,chromosome,0.39595369
design_8,nucleolus,0.00030788255
design_8,nuclear_pore_complex,0.5358358
design_8,cajal_body,5.925493e-10
design_8,rna_granule,3.6108276e-21
design_8,cell_junction,2.14232e-11
design_8,transcriptional,2.0929196e-12
design_9,nuclear_speckle,4.161417e-07
design_9,p-body,8.559305e-06
design_9,pml-body,4.5205543e-05
design_9,post_synaptic_density,7.597196e-06
design_9,stress_granule,7.816561e-09
design_9,chromosome,0.48732358
design_9,nucleolus,4.2125416e-06
design_9,nuclear_pore_complex,0.4572981
design_9,cajal_body,1.7187591e-07
design_9,rna_granule,1.2339135e-16
design_9,cell_junction,0.05531215
design_9,transcriptional,1.8183264e-09
design_10,nuclear_speckle,1.00856904e-13
design_10,p-body,0.54060525
design_10,pml-body,6.5177974e-11
design_10,post_synaptic_density,5.674329e-26
design_10,stress_granule,0.00011781589
design_10,chromosome,0.05487639
design_10,nucleolus,2.3012877e-16
design_10,nuclear_pore_complex,0.40440056
design_10,cajal_body,3.5669833e-16
design_10,rna_granule,2.476095e-34
design_10,cell_junction,2.2508093e-09
design_10,transcriptional,1.8457117e-12
design_11,nuclear_speckle,5.7695206e-13
design_11,p-body,0.05762388
design_11,pml-body,5.460741e-10
design_11,post_synaptic_density,5.4481725e-14
design_11,stress_granule,2.8450732e-08
design_11,chromosome,0.0016718248
design_11,nucleolus,1.604616e-08
design_11,nuclear_pore_complex,0.93714195
design_11,cajal_body,2.049626e-10
design_11,rna_granule,3.330341e-27
design_11,cell_junction,0.0035623237
design_11,transcriptional,5.0276504e-13
design_12,nuclear_speckle,6.8308528e-09
design_12,p-body,0.0005459943
design_12,pml-body,1.6294021e-07
design_12,post_synaptic_density,2.508491e-13
design_12,stress_granule,3.6561054e-05
design_12,chromosome,0.45352533
design_12,nucleolus,0.008788436
design_12,nuclear_pore_complex,0.53709775
design_12,cajal_body,2.380721e-08
design_12,rna_granule,4.4084008e-18
design_12,cell_junction,5.7832067e-06
design_12,transcriptional,1.9079799e-10
design_13,nuclear_speckle,3.519134e-08
design_13,p-body,7.699539e-12
design_13,pml-body,1.1999668e-06
design_13,post_synaptic_density,0.00064890145
design_13,stress_granule,1.6444954e-05
design_13,chromosome,0.62063015
design_13,nucleolus,2.1328175e-09
design_13,nuclear_pore_complex,0.3787032
design_13,cajal_body,1.0686388e-07
design_13,rna_granule,1.0803725e-21
design_13,cell_junction,2.1353236e-10
design_13,transcriptional,2.0779531e-10
design_14,nuclear_speckle,4.3765425e-08
design_14,p-body,0.0006010938
design_14,pml-body,1.464817e-06
design_14,post_synaptic_density,0.0002357849
design_14,stress_granule,2.8169481e-08
design_14,chromosome,0.83980227
design_14,nucleolus,0.0004061723
design_14,nuclear_pore_complex,0.15894376
design_14,cajal_body,4.8220414e-07
design_14,rna_granule,9.5828965e-18
design_14,cell_junction,8.820644e-06
design_14,transcriptional,5.5478885e-11
design_15,nuclear_speckle,2.087235e-11
design_15,p-body,0.10473512
design_15,pml-body,2.4154851e-05
design_15,post_synaptic_density,2.4417612e-11
design_15,stress_granule,4.694575e-05
design_15,chromosome,0.69039273
design_15,nucleolus,4.2596992e-05
design_15,nuclear_pore_complex,0.20450622
design_15,cajal_body,2.0950021e-07
design_15,rna_granule,1.4409379e-14
design_15,cell_junction,0.0002520151
design_15,transcriptional,2.4509806e-08
design_16,nuclear_speckle,4.822765e-08
design_16,p-body,4.1028446e-08
design_16,pml-body,1.3722208e-10
design_16,post_synaptic_density,1.2056164e-12
design_16,stress_granule,2.2934091e-10
design_16,chromosome,0.6534247
design_16,nucleolus,8.4772456e-10
design_16,nuclear_pore_complex,0.3465751
design_16,cajal_body,1.05492376e-07
design_16,rna_granule,3.8711118e-25
design_16,cell_junction,8.216636e-13
design_16,transcriptional,3.4057447e-13
design_17,nuclear_speckle,1.7377012e-07
design_17,p-body,0.5931648
design_17,pml-body,6.044751e-07
design_17,post_synaptic_density,7.612867e-11
design_17,stress_granule,5.3892578e-05
design_17,chromosome,0.40324032
design_17,nucleolus,0.0031152752
design_17,nuclear_pore_complex,0.00033514673
design_17,cajal_body,1.0486415e-09
design_17,rna_granule,5.7723607e-16
design_17,cell_junction,8.9826826e-05
design_17,transcriptional,1.1010166e-09
design_18,nuclear_speckle,6.9725403e-10
design_18,p-body,0.8211775
design_18,pml-body,1.999024e-09
design_18,post_synaptic_density,6.053013e-06
design_18,stress_granule,0.0056826896
design_18,chromosome,0.00696388
design_18,nucleolus,1.0419064e-08
design_18,nuclear_pore_complex,0.16609584
design_18,cajal_body,3.165956e-11
design_18,rna_granule,5.500063e-20
design_18,cell_junction,7.4088995e-05
design_18,transcriptional,1.9249294e-10
design_19,nuclear_speckle,2.909554e-10
design_19,p-body,1.2512217e-05
design_19,pml-body,0.0026576766
design_19,post_synaptic_density,2.8784163e-18
design_19,stress_granule,2.0544707e-12
design_19,chromosome,0.96937466
design_19,nucleolus,0.026634587
design_19,nuclear_pore_complex,0.0013200544
design_19,cajal_body,3.96971e-11
design_19,rna_granule,1.2102971e-24
design_19,cell_junction,5.054015e-07
design_19,transcriptional,1.3791059e-09
design_20,nuclear_speckle,4.8359437e-17
design_20,p-body,0.0030100201
design_20,pml-body,1.2794911e-08
design_20,post_synaptic_density,3.0513127e-13
design_20,stress_granule,4.1227063e-06
design_20,chromosome,0.5338093
design_20,nucleolus,0.320149
design_20,nuclear_pore_complex,0.008102979
design_20,cajal_body,1.3978593e-09
design_20,rna_granule,1.5790357e-23
design_20,cell_junction,0.1349245
design_20,transcriptional,3.604337e-11
design_21,nuclear_speckle,9.279527e-10
design_21,p-body,1.7065251e-05
design_21,pml-body,9.02396e-10
design_21,post_synaptic_density,2.3962916e-19
design_21,stress_granule,3.161955e-10
design_21,chromosome,0.50706404
design_21,nucleolus,3.166859e-08
design_21,nuclear_pore_complex,0.49280885
design_21,cajal_body,1.4747009e-10
design_21,rna_granule,9.9963883e-29
design_21,cell_junction,0.000110015186
design_21,transcriptional,4.278398e-12
design_22,nuclear_speckle,7.769521e-13
design_22,p-body,0.6504796
design_22,pml-body,3.9098575e-07
design_22,post_synaptic_density,1.6111005e-06
design_22,stress_granule,0.31434673
design_22,chromosome,0.026867874
design_22,nucleolus,1.498254e-09
design_22,nuclear_pore_complex,0.0081743095
design_22,cajal_body,3.166553e-11
design_22,rna_granule,1.014207e-19
design_22,cell_junction,0.00012949815
design_22,transcriptional,4.7030615e-09
design_23,nuclear_speckle,2.5613558e-10
design_23,p-body,0.9889137
design_23,pml-body,9.994927e-08
design_23,post_synaptic_density,0.00024332551
design_23,stress_granule,0.0027836163
design_23,chromosome,0.005783014
design_23,nucleolus,8.120125e-06
design_23,nuclear_pore_complex,0.0012075779
design_23,cajal_body,8.809138e-09
design_23,rna_granule,9.1446165e-18
design_23,cell_junction,0.0010605409
design_23,transcriptional,2.2202329e-09
design_24,nuclear_speckle,3.528111e-09
design_24,p-body,0.74437857
design_24,pml-body,1.1682468e-08
design_24,post_synaptic_density,3.4503267e-14
design_24,stress_granule,0.0013062296
design_24,chromosome,0.07789897
design_24,nucleolus,0.13579667
design_24,nuclear_pore_complex,3.346074e-05
design_24,cajal_body,1.4740239e-09
design_24,rna_granule,1.0023795e-15
design_24,cell_junction,0.040586095
design_24,transcriptional,9.394052e-10
design_25,nuclear_speckle,2.0506405e-15
design_25,p-body,0.0037621441
design_25,pml-body,1.1699738e-08
design_25,post_synaptic_density,7.1987866e-05
design_25,stress_granule,9.257552e-06
design_25,chromosome,0.0003463967
design_25,nucleolus,1.4559216e-13
design_25,nuclear_pore_complex,0.99580824
design_25,cajal_body,2.9407277e-10
design_25,rna_granule,4.0498503e-28
design_25,cell_junction,1.9993033e-06
design_25,transcriptional,2.434733e-10
design_26,nuclear_speckle,1.3450453e-12
design_26,p-body,0.00065865886
design_26,pml-body,2.8626378e-08
design_26,post_synaptic_density,1.1062948e-15
design_26,stress_granule,0.00036488776
design_26,chromosome,0.9294118
design_26,nucleolus,7.30566e-10
design_26,nuclear_pore_complex,0.06956457
design_26,cajal_body,1.6597045e-10
design_26,rna_granule,4.314831e-23
design_26,cell_junction,4.6328344e-10
design_26,transcriptional,1.3624905e-11
design_27,nuclear_speckle,4.1088954e-09
design_27,p-body,8.1325554e-05
design_27,pml-body,1.7427614e-07
design_27,post_synaptic_density,1.3953192e-25
design_27,stress_granule,2.1699169e-08
design_27,chromosome,0.73174095
design_27,nucleolus,3.298338e-15
design_27,nuclear_pore_complex,0.26812205
design_27,cajal_body,2.2120866e-11
design_27,rna_granule,2.842597e-30
design_27,cell_junction,5.540933e-05
design_27,transcriptional,1.2235601e-09
design_28,nuclear_speckle,9.80836e-09
design_28,p-body,3.811687e-08
design_28,pml-body,0.00020401856
design_28,post_synaptic_density,2.0444214e-07
design_28,stress_granule,0.00011934367
design_28,chromosome,0.6985743
design_28,nucleolus,0.0017014307
design_28,nuclear_pore_complex,0.29933426
design_28,cajal_body,6.6406865e-05
design_28,rna_granule,6.841284e-16
