ProtID,Predicted Compartment,Score
design_1,Extracellular,0.254704
design_1,Plastid,0.14264585
design_1,Cytoplasm,0.10318783
design_1,Mitochondrion,0.030740716
design_1,Nucleus,0.13834976
design_1,Endoplasmic.reticulum,0.122614495
design_1,Golgi.apparatus,0.02527157
design_1,Cell.membrane,0.11786158
design_1,Lysosome/Vacuole,0.058106683
design_1,Peroxisome,0.006517547
design_2,Extracellular,0.2282904
design_2,Plastid,0.024701582
design_2,Cytoplasm,0.18087406
design_2,Mitochondrion,0.010809097
design_2,Nucleus,0.22688632
design_2,Endoplasmic.reticulum,0.0942812
design_2,Golgi.apparatus,0.068771295
design_2,Cell.membrane,0.15551905
design_2,Lysosome/Vacuole,0.0070466152
design_2,Peroxisome,0.0028203847
design_3,Extracellular,0.23831144
design_3,Plastid,0.12057669
design_3,Cytoplasm,0.16797248
design_3,Mitochondrion,0.047456797
design_3,Nucleus,0.19041717
design_3,Endoplasmic.reticulum,0.056075003
design_3,Golgi.apparatus,0.024162803
design_3,Cell.membrane,0.10590309
design_3,Lysosome/Vacuole,0.04051792
design_3,Peroxisome,0.008606617
design_4,Extracellular,0.21296932
design_4,Plastid,0.05492664
design_4,Cytoplasm,0.16645348
design_4,Mitochondrion,0.038115725
design_4,Nucleus,0.20213088
design_4,Endoplasmic.reticulum,0.073795356
design_4,Golgi.apparatus,0.07691609
design_4,Cell.membrane,0.11453832
design_4,Lysosome/Vacuole,0.04812358
design_4,Peroxisome,0.012030671
design_5,Extracellular,0.017207345
design_5,Plastid,0.004566951
design_5,Cytoplasm,0.28947875
design_5,Mitochondrion,0.016619591
design_5,Nucleus,0.32524863
design_5,Endoplasmic.reticulum,0.06081272
design_5,Golgi.apparatus,0.07662504
design_5,Cell.membrane,0.19620264
design_5,Lysosome/Vacuole,0.009561005
design_5,Peroxisome,0.0036773216
design_6,Extracellular,0.01784342
design_6,Plastid,0.012156416
design_6,Cytoplasm,0.32323796
design_6,Mitochondrion,0.03888033
design_6,Nucleus,0.33844703
design_6,Endoplasmic.reticulum,0.020889036
design_6,Golgi.apparatus,0.02478582
design_6,Cell.membrane,0.1956017
design_6,Lysosome/Vacuole,0.02406073
design_6,Peroxisome,0.004097583
design_7,Extracellular,0.012644643
design_7,Plastid,0.0030820903
design_7,Cytoplasm,0.33816943
design_7,Mitochondrion,0.024368094
design_7,Nucleus,0.35892075
design_7,Endoplasmic.reticulum,0.026225897
design_7,Golgi.apparatus,0.05663747
design_7,Cell.membrane,0.16857828
design_7,Lysosome/Vacuole,0.0067230323
design_7,Peroxisome,0.0046502356
design_8,Extracellular,0.008055806
design_8,Plastid,0.003667892
design_8,Cytoplasm,0.3081279
design_8,Mitochondrion,0.015759485
design_8,Nucleus,0.32073146
design_8,Endoplasmic.reticulum,0.035392072
design_8,Golgi.apparatus,0.069952555
design_8,Cell.membrane,0.22023743
design_8,Lysosome/Vacuole,0.010485033
design_8,Peroxisome,0.007590361
design_9,Extracellular,0.22471176
design_9,Plastid,0.116114534
design_9,Cytoplasm,0.13466415
design_9,Mitochondrion,0.029359818
design_9,Nucleus,0.12890562
design_9,Endoplasmic.reticulum,0.12147364
design_9,Golgi.apparatus,0.037654284
design_9,Cell.membrane,0.129569
design_9,Lysosome/Vacuole,0.07240482
design_9,Peroxisome,0.005142325
design_10,Extracellular,0.11907381
design_10,Plastid,0.010086785
design_10,Cytoplasm,0.25050795
design_10,Mitochondrion,0.011247194
design_10,Nucleus,0.27815387
design_10,Endoplasmic.reticulum,0.066084005
design_10,Golgi.apparatus,0.0616601
design_10,Cell.membrane,0.1893113
design_10,Lysosome/Vacuole,0.012776876
design_10,Peroxisome,0.0010981624
design_11,Extracellular,0.005924086
design_11,Plastid,0.0012739706
design_11,Cytoplasm,0.32604638
design_11,Mitochondrion,0.011602501
design_11,Nucleus,0.3411001
design_11,Endoplasmic.reticulum,0.03160523
design_11,Golgi.apparatus,0.07750581
design_11,Cell.membrane,0.20009567
design_11,Lysosome/Vacuole,0.0033358638
design_11,Peroxisome,0.0015103549
design_12,Extracellular,0.20341328
design_12,Plastid,0.077878684
design_12,Cytoplasm,0.15217595
design_12,Mitochondrion,0.037579592
design_12,Nucleus,0.20041439
design_12,Endoplasmic.reticulum,0.05709731
design_12,Golgi.apparatus,0.034962572
design_12,Cell.membrane,0.16062066
design_12,Lysosome/Vacuole,0.040744055
design_12,Peroxisome,0.035113562
design_13,Extracellular,0.25632545
design_13,Plastid,0.12105827
design_13,Cytoplasm,0.13599247
design_13,Mitochondrion,0.023977198
design_13,Nucleus,0.16804974
design_13,Endoplasmic.reticulum,0.08989156
design_13,Golgi.apparatus,0.035466954
design_13,Cell.membrane,0.13099012
design_13,Lysosome/Vacuole,0.034416083
design_13,Peroxisome,0.003832176
design_14,Extracellular,0.22855167
design_14,Plastid,0.099887446
design_14,Cytoplasm,0.164789
design_14,Mitochondrion,0.034252252
design_14,Nucleus,0.18631025
design_14,Endoplasmic.reticulum,0.08599744
design_14,Golgi.apparatus,0.058942012
design_14,Cell.membrane,0.109377086
design_14,Lysosome/Vacuole,0.026755078
design_14,Peroxisome,0.0051377616
design_15,Extracellular,0.14750396
design_15,Plastid,0.016250197
design_15,Cytoplasm,0.23076749
design_15,Mitochondrion,0.06597936
design_15,Nucleus,0.27427354
design_15,Endoplasmic.reticulum,0.03597689
design_15,Golgi.apparatus,0.027892793
