ProteinID,nuclear_speckle,p-body,pml-body,post_synaptic_density,stress_granule,chromosome,nucleolus,nuclear_pore_complex,cajal_body,rna_granule,cell_junction,transcriptional
design_1,0.010531321,0.06315397,6.0687446e-05,4.9314927e-08,0.22518007,0.05977782,3.6153826e-05,0.06768603,0.0028850755,2.7811282e-07,0.00011385749,0.00018771687
design_2,0.0043849465,0.054456506,0.00028385656,2.2746026e-06,0.25503615,3.557178e-07,1.4976875e-06,0.07041567,0.00083734037,5.6130957e-13,0.0012710104,0.00014231876
design_3,6.3575884e-05,0.42442405,9.756239e-06,7.372058e-06,0.52942556,6.513057e-06,7.103596e-06,0.004384382,0.0003450617,1.9729912e-10,0.006361198,0.00014238025
design_4,0.0004671045,0.008722104,0.00018920076,0.00015940648,0.00096488546,2.2339973e-06,8.001168e-08,0.43295747,0.00021508268,6.799562e-16,0.025949366,1.2538411e-05
design_5,2.1701042e-05,0.42309716,4.5501543e-05,3.3880683e-06,0.17403145,5.982063e-05,1.7052578e-07,0.5357749,5.122672e-05,4.574072e-13,0.0015386569,3.2195618e-05
design_6,0.004611837,0.0110799745,1.3044003e-07,0.00024518988,0.812215,6.7038535e-09,1.210899e-10,0.002098154,1.9023184e-05,2.7685767e-15,0.004178016,5.5590244e-05
design_7,0.0030708148,0.039643567,1.51724225e-05,5.947786e-05,0.0060140966,0.0005695316,7.873592e-08,0.45747223,0.00014513682,1.2692318e-13,0.0020932008,7.5692897e-06
design_8,0.0010306779,0.31879628,1.1836011e-06,7.692394e-07,0.1009623,7.606625e-09,5.3302402e-09,0.0038629929,2.2443305e-06,3.037613e-16,0.6682607,2.9747456e-05
design_9,1.688619e-05,0.46306133,5.187171e-07,3.245269e-08,0.10167765,1.9139447e-05,1.315125e-07,0.2084682,1.8913587e-06,1.4777858e-15,0.0064359256,9.485684e-07
design_10,0.0010249356,0.3955642,4.16415e-06,7.701638e-08,0.0117193395,3.66488e-05,2.3612254e-06,0.0078049544,9.784154e-06,3.4274756e-13,0.0971615,2.2275053e-05
design_11,9.160548e-05,0.012795969,0.00011513817,6.867888e-06,0.008172253,0.0009498766,5.8397173e-08,0.6014799,0.0001516161,5.3553665e-14,0.008846794,2.2054843e-05
