ProtID,Predicted Compartment,Score
Sequence_1,Extracellular,0.09672502
Sequence_1,Plastid,0.034954946
Sequence_1,Cytoplasm,0.22716907
Sequence_1,Mitochondrion,0.2286641
Sequence_1,Nucleus,0.18250757
Sequence_1,Endoplasmic.reticulum,0.06527429
Sequence_1,Golgi.apparatus,0.058196455
Sequence_1,Cell.membrane,0.04246804
Sequence_1,Lysosome/Vacuole,0.019986084
Sequence_1,Peroxisome,0.0440544
Sequence_2,Extracellular,0.0077268784
Sequence_2,Plastid,0.0023448218
Sequence_2,Cytoplasm,0.31089973
Sequence_2,Mitochondrion,0.043287326
Sequence_2,Nucleus,0.32635117
Sequence_2,Endoplasmic.reticulum,0.039493293
Sequence_2,Golgi.apparatus,0.06949993
Sequence_2,Cell.membrane,0.1847866
Sequence_2,Lysosome/Vacuole,0.01272676
Sequence_2,Peroxisome,0.0028834697
Sequence_3,Extracellular,0.008996209
Sequence_3,Plastid,0.0055061877
Sequence_3,Cytoplasm,0.309292
Sequence_3,Mitochondrion,0.013906388
Sequence_3,Nucleus,0.32993165
Sequence_3,Endoplasmic.reticulum,0.04762089
Sequence_3,Golgi.apparatus,0.12260192
Sequence_3,Cell.membrane,0.153624
Sequence_3,Lysosome/Vacuole,0.006709933
Sequence_3,Peroxisome,0.0018108211
Sequence_4,Extracellular,0.028159635
Sequence_4,Plastid,0.03882898
Sequence_4,Cytoplasm,0.21187644
Sequence_4,Mitochondrion,0.24549393
Sequence_4,Nucleus,0.16491482
Sequence_4,Endoplasmic.reticulum,0.055562798
Sequence_4,Golgi.apparatus,0.048773278
Sequence_4,Cell.membrane,0.052964777
Sequence_4,Lysosome/Vacuole,0.025210828
Sequence_4,Peroxisome,0.12821451
Sequence_5,Extracellular,0.032319687
Sequence_5,Plastid,0.031744942
Sequence_5,Cytoplasm,0.27680004
Sequence_5,Mitochondrion,0.17000599
Sequence_5,Nucleus,0.2704134
Sequence_5,Endoplasmic.reticulum,0.026384957
Sequence_5,Golgi.apparatus,0.027490856
Sequence_5,Cell.membrane,0.10248118
Sequence_5,Lysosome/Vacuole,0.030168153
Sequence_5,Peroxisome,0.032190714
Sequence_6,Extracellular,0.025371473
Sequence_6,Plastid,0.011832054
Sequence_6,Cytoplasm,0.31506342
Sequence_6,Mitochondrion,0.07141731
Sequence_6,Nucleus,0.31854936
Sequence_6,Endoplasmic.reticulum,0.036667585
Sequence_6,Golgi.apparatus,0.052774098
Sequence_6,Cell.membrane,0.10495894
Sequence_6,Lysosome/Vacuole,0.031172099
Sequence_6,Peroxisome,0.032193664
Sequence_7,Extracellular,0.017560553
Sequence_7,Plastid,0.010296649
Sequence_7,Cytoplasm,0.3348523
Sequence_7,Mitochondrion,0.022910384
Sequence_7,Nucleus,0.345264
Sequence_7,Endoplasmic.reticulum,0.037485816
Sequence_7,Golgi.apparatus,0.04873855
Sequence_7,Cell.membrane,0.15633225
Sequence_7,Lysosome/Vacuole,0.022243883
Sequence_7,Peroxisome,0.0043155733
Sequence_8,Extracellular,0.021508265
Sequence_8,Plastid,0.006352355
