ProteinID,nuclear_speckle,p-body,pml-body,post_synaptic_density,stress_granule,chromosome,nucleolus,nuclear_pore_complex,cajal_body,rna_granule,cell_junction,transcriptional
design_1,4.4024123e-08,0.0014362698,0.0031594802,0.3075013,2.5962108e-05,4.2699093e-09,7.337382e-09,0.057555143,8.307594e-08,8.292064e-23,0.007927498,3.053344e-08
design_2,9.536464e-08,0.042997412,0.00021314385,0.027679784,3.475985e-08,7.020028e-07,1.4389035e-06,0.009083093,2.1516255e-08,5.4922287e-24,3.03589e-05,2.4208813e-09
design_3,5.7752922e-09,0.04080961,1.49289535e-05,0.13250643,2.7960145e-10,3.682142e-09,3.2438038e-05,0.00022270581,3.248258e-09,1.0709717e-28,4.434375e-06,7.670343e-11
design_4,1.9579979e-08,0.03038716,0.00081583776,0.00831837,4.669761e-07,7.498588e-07,0.00016896582,0.0052724634,5.865068e-08,2.8493347e-21,0.004639419,3.895021e-08
design_5,1.2266587e-08,0.004882256,6.65298e-05,0.001045317,6.172137e-08,7.811207e-07,0.0028590518,0.0075859493,1.6177252e-07,3.454078e-22,0.00032148158,1.1200998e-09
design_6,1.6556696e-08,0.0021266039,0.00049581117,0.0049629323,5.6235744e-10,1.9911242e-08,0.00015537803,0.045957062,1.2978747e-07,8.999941e-26,9.10147e-05,5.4277294e-11
design_7,4.7847544e-09,1.3153587e-05,3.5431418e-05,9.160512e-05,5.421348e-10,4.2651864e-05,7.046407e-06,0.5997487,9.882702e-07,4.320083e-25,0.005058815,3.3436032e-10
design_8,7.204194e-10,0.0034770458,8.307709e-05,0.012062737,3.0252603e-10,2.6466614e-07,6.907815e-05,0.0029030377,8.370145e-09,1.5941272e-25,0.0012170954,6.0560855e-11
design_9,8.575819e-06,0.056492705,0.0012025882,0.1138826,5.3410487e-05,9.057057e-08,1.6386704e-06,0.016514579,2.7552067e-06,3.139179e-18,0.011497837,8.5608707e-07
design_10,4.724937e-08,0.0072290055,4.605707e-05,0.0677047,1.2617223e-06,2.397261e-07,6.393711e-10,0.061407555,6.297916e-09,2.012593e-24,0.010734585,1.1984767e-07
design_11,2.7101999e-08,0.004978919,0.0007573546,0.07507453,2.4236206e-07,2.069031e-07,0.0027948816,0.0008318523,2.8060613e-08,8.818619e-21,0.00044862725,6.039812e-10
design_12,1.8620012e-09,0.03557947,0.0033944966,0.025222832,9.1068046e-07,2.1513174e-06,3.486503e-05,0.06726802,1.0092071e-07,7.6580136e-20,0.0036297077,3.9870613e-08
design_13,7.8148375e-08,0.05800873,0.0026120115,0.41411114,3.891097e-07,1.2642222e-07,1.2410882e-06,0.013516912,2.020371e-08,4.1593606e-23,0.00010998296,6.0246967e-09
design_14,0.00012278905,0.027131088,0.00021601202,0.003136972,1.7882157e-05,2.4173698e-06,3.8111082e-06,0.020460257,5.839779e-07,9.0136094e-20,0.000114791306,3.201256e-08
design_15,2.432383e-09,0.0009452196,4.3859673e-05,0.003186169,1.0023633e-09,3.3079443e-05,2.0185722e-08,0.06997575,5.3406812e-09,2.0661504e-26,0.0037002622,2.009651e-09
design_16,3.3190217e-06,0.00044371898,1.0928865e-05,0.005344916,2.3488402e-08,9.829524e-08,1.47517085e-05,0.0005513253,1.0249023e-07,1.5627522e-24,0.032397646,1.207694e-08
design_17,1.1977512e-07,0.072358176,0.0001904707,0.025305405,6.164534e-09,1.4796743e-07,4.6961526e-05,0.0021189658,6.7562906e-09,1.1925038e-24,4.5042492e-05,2.3759222e-10
design_18,1.058944e-05,0.021715559,4.5078847e-05,0.101846896,4.4142002e-08,3.5501014e-07,8.3039873e-07,0.0015484655,5.0139036e-08,5.4122792e-24,5.1000356e-05,6.913543e-09
design_19,1.3552122e-07,0.22043782,0.02409616,0.0008914753,7.575324e-07,3.0797145e-07,7.018952e-05,0.022314705,7.7000074e-08,1.5757393e-20,0.0015003462,2.1191607e-08
design_20,5.149951e-07,0.03209616,0.0017359895,0.00071047264,6.340139e-08,4.3509158e-07,2.2354217e-05,0.0075949146,5.969133e-08,1.3893907e-22,0.0049990406,3.5957083e-08
design_21,1.6678887e-07,0.018654753,0.0019310961,0.025054961,1.8610775e-06,8.471897e-05,3.5992587e-05,0.014872036,1.5253359e-07,5.863301e-19,0.0024386898,9.457488e-08
design_22,1.0796171e-08,0.09150621,9.421194e-06,0.0056952178,1.2711058e-05,1.4519748e-08,5.764474e-09,0.040336836,1.5283552e-08,5.098987e-26,1.563621e-05,2.0182679e-08
design_23,2.4111364e-08,0.7684477,0.00017879595,0.22683424,5.267261e-05,5.2743645e-09,2.2077799e-07,0.00024352524,2.685841e-10,2.2784214e-22,0.0037263862,4.1786915e-08
design_24,1.1725806e-06,0.012659668,0.00016481019,0.00028314194,1.912771e-09,6.766836e-07,4.2791842e-05,0.0067653116,2.5208655e-08,1.0555411e-24,0.0013809267,3.3190514e-10
design_25,5.916672e-09,0.009148439,1.8622688e-05,0.00034247767,1.8287245e-11,9.4123536e-08,9.179879e-08,0.018158449,3.5700116e-09,9.522794e-31,0.0002749033,7.000704e-11
design_26,2.9139697e-09,0.023320705,0.00033539024,0.0038424523,1.5558892e-07,4.1604918e-07,7.49541e-06,0.090000555,2.0996916e-08,1.29008364e-23,0.00025869388,2.1739914e-09
design_27,3.2020673e-09,0.12582986,0.00052497827,0.00043975256,9.483495e-09,1.6037208e-07,0.00015063705,0.0038188,2.3859934e-07,1.0684817e-22,9.26449e-05,5.8844165e-09
design_28,1.1558534e-06,0.0068034483,0.00045359455,0.67239237,1.5534664e-07,6.6778e-11,4.5028362e-05,0.00018559859,1.3371532e-06,2.3581084e-24,4.0396582e-05,2.0259965e-09
design_29,1.2940176e-06,0.24308261,0.0006629113,0.0052623022,9.099373e-06,4.869268e-06,9.701554e-05,0.0027692188,8.5891266e-08,1.5101527e-18,0.0004000789,4.5013746e-08
design_30,3.4820633e-08,0.03265562,1.788202e-05,0.01671568,4.1131344e-07,1.7332017e-08,0.00021723579,0.0049322643,5.489015e-08,5.8279005e-23,0.0007255158,1.5470694e-09
design_31,8.833777e-06,0.45670292,0.08632875,0.0033273106,0.00012988299,8.2470615e-07,0.0003286137,0.0108874515,5.9611507e-06,5.796305e-16,0.00049388997,4.294806e-06
design_32,2.8942163e-06,0.24588734,0.0025262055,0.15137169,4.1748986e-05,1.7349944e-08,8.124685e-05,0.0014607969,1.2502423e-07,2.8380776e-19,0.0007303419,1.7075979e-07
design_33,4.5868134e-08,0.6941665,0.003115226,0.0010803048,7.7729765e-06,6.424032e-07,2.973475e-05,0.024501685,2.7060107e-08,6.502917e-20,0.00015801062,5.666141e-08
