ProtID,Predicted Compartment,Score
design_1,nuclear_speckle,1.1590541e-06
design_1,p-body,0.013240273
design_1,pml-body,5.140411e-07
design_1,post_synaptic_density,1.98742e-18
design_1,stress_granule,0.03350746
design_1,chromosome,0.91585207
design_1,nucleolus,0.03739706
design_1,nuclear_pore_complex,2.0397728e-10
design_1,cajal_body,1.7747157e-10
design_1,rna_granule,7.847812e-11
design_1,cell_junction,6.7622045e-15
design_1,transcriptional,1.5406174e-06
design_2,nuclear_speckle,8.888685e-09
design_2,p-body,0.00025438995
design_2,pml-body,2.884921e-06
design_2,post_synaptic_density,7.404613e-12
design_2,stress_granule,3.823291e-08
design_2,chromosome,0.21124974
design_2,nucleolus,1.0728715e-08
design_2,nuclear_pore_complex,0.78849137
design_2,cajal_body,6.0186557e-07
design_2,rna_granule,2.7887202e-23
design_2,cell_junction,1.0040808e-06
design_2,transcriptional,1.1234444e-08
design_3,nuclear_speckle,5.1205756e-08
design_3,p-body,0.0037900675
design_3,pml-body,1.426837e-06
design_3,post_synaptic_density,1.7845405e-16
design_3,stress_granule,2.419038e-08
design_3,chromosome,0.9336673
design_3,nucleolus,2.6327089e-06
design_3,nuclear_pore_complex,0.06253809
design_3,cajal_body,1.0614568e-10
design_3,rna_granule,8.617683e-20
design_3,cell_junction,4.2825366e-07
design_3,transcriptional,1.0759951e-09
design_4,nuclear_speckle,0.0024054311
design_4,p-body,1.24572e-06
design_4,pml-body,0.00020482871
design_4,post_synaptic_density,5.3062223e-07
design_4,stress_granule,4.0800976e-10
design_4,chromosome,4.5985473e-07
design_4,nucleolus,0.9176174
design_4,nuclear_pore_complex,3.600619e-10
design_4,cajal_body,0.00017606946
design_4,rna_granule,3.996747e-19
design_4,cell_junction,0.07959408
design_4,transcriptional,1.0324971e-08
design_5,nuclear_speckle,2.7731623e-10
design_5,p-body,3.600442e-07
design_5,pml-body,3.9096966e-07
design_5,post_synaptic_density,9.390479e-09
design_5,stress_granule,1.3411901e-06
design_5,chromosome,0.3787119
design_5,nucleolus,2.0663427e-13
