Protein_ID,experiment,Localizations,Signals,Membrane types,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome,Peripheral,Transmembrane,Lipid anchor,Soluble
design_1,original features,Cytoplasm,Nuclear localization signal,Soluble,0.824400007724762,0.4230000078678131,0.0648000016808509,0.0687000006437301,0.1202000007033348,0.0027999999001622,0.0882999971508979,0.0810000002384185,0.0668999999761581,0.0052000000141561,0.1642999947071075,0.0649999976158142,0.0944000035524368,0.850600004196167
design_2,original features,Cytoplasm|Nucleus,Nuclear localization signal,Soluble,0.7050999999046326,0.6237000226974487,0.0467000007629394,0.0428999997675418,0.1142999976873397,0.0073000001721084,0.0635000020265579,0.0806000009179115,0.048200000077486,0.0226000007241964,0.1491000056266784,0.0252000000327825,0.1388999968767166,0.8959000110626221
design_3,original features,Cytoplasm,Nuclear localization signal,Soluble,0.7728000283241272,0.4532000124454498,0.0392999984323978,0.0742999985814094,0.0958999991416931,0.0043999999761581,0.0949999988079071,0.0847000032663345,0.0674000009894371,0.0073000001721084,0.1480000019073486,0.0300999991595745,0.1000000014901161,0.891700029373169
design_4,original features,Cytoplasm,Nuclear localization signal,Soluble,0.7860000133514404,0.4262000024318695,0.0522000007331371,0.0566999986767768,0.09740000218153,0.0052000000141561,0.0772000029683113,0.0676999986171722,0.0631000027060508,0.0178999993950128,0.146599993109703,0.0269000008702278,0.1967999935150146,0.885200023651123
design_5,original features,Cytoplasm,Nuclear localization signal,Soluble,0.8130999803543091,0.4172999858856201,0.0709000006318092,0.0680999979376792,0.0890000015497207,0.0049999998882412,0.0732000023126602,0.0878999978303909,0.0568000003695488,0.006800000090152,0.1315000057220459,0.0258000008761882,0.1041999980807304,0.8934000134468079
design_6,original features,Cytoplasm|Nucleus,Nuclear localization signal,Soluble,0.7814000248908997,0.5503000020980835,0.0729999989271164,0.0649999976158142,0.0923999994993209,0.0065999999642372,0.0604999996721744,0.0564000010490417,0.0478999987244606,0.0116999996826052,0.1262000054121017,0.0285999998450279,0.1633999943733215,0.8810999989509583
design_7,original features,Cytoplasm,Nuclear localization signal,Soluble,0.7849000096321106,0.4381999969482422,0.0445999987423419,0.066500000655651,0.1031000018119812,0.0049999998882412,0.0676999986171722,0.0797000005841255,0.060199998319149,0.0086000002920627,0.1303000003099441,0.0269000008702278,0.1375000029802322,0.8953999876976013
design_8,original features,Cytoplasm,Nuclear localization signal,Soluble,0.7598999738693237,0.4781999886035919,0.0533000007271766,0.0505999997258186,0.1168999969959259,0.0052000000141561,0.0926999971270561,0.0892999991774559,0.0658999979496002,0.0103000001981854,0.1400000005960464,0.0251000002026557,0.1216000020503997,0.8989999890327454
design_9,original features,Cytoplasm,Nuclear localization signal,Soluble,0.7767999768257141,0.4553000032901764,0.0427000001072883,0.0731000006198883,0.0988999977707862,0.0028999999631196,0.0989999994635582,0.0763999968767166,0.0511000007390975,0.006000000052154,0.148399993777275,0.0237000007182359,0.1328999996185302,0.8952000141143799
design_10,original features,Cytoplasm,Nuclear localization signal,Soluble,0.7985000014305115,0.487199991941452,0.0494000017642974,0.0582999996840953,0.1115000024437904,0.0035999999381601,0.0851000025868415,0.0804999992251396,0.0608000010251998,0.0046000001020729,0.1405999958515167,0.0252999998629093,0.1045999974012374,0.9010000228881836
design_11,original features,Cytoplasm,Nuclear localization signal,Soluble,0.781499981880188,0.4467000067234039,0.0401000007987022,0.0658000037074089,0.0820999965071678,0.003400000045076,0.0958999991416931,0.0740000009536743,0.0619000010192394,0.0115000000223517,0.1555999964475631,0.0252000000327825,0.1272999942302703,0.8884000182151794
design_12,original features,Cytoplasm,Nuclear localization signal,Soluble,0.8019999861717224,0.4611000120639801,0.0586000010371208,0.0593999996781349,0.0910999998450279,0.0031999999191612,0.0649000033736229,0.0833000019192695,0.0606999993324279,0.0073000001721084,0.150299996137619,0.0234999991953372,0.1418000012636184,0.8978999853134155
design_13,original features,Cytoplasm,Nuclear localization signal,Soluble,0.8109999895095825,0.4499000012874603,0.0397999994456768,0.0698999986052513,0.0917999967932701,0.0035000001080334,0.0772999972105026,0.0910999998450279,0.0762000009417533,0.0099999997764825,0.1590999960899353,0.0261000003665685,0.1280999928712844,0.8931000232696533
design_14,original features,Cytoplasm|Nucleus,Nuclear localization signal,Soluble,0.7138000130653381,0.6348000168800354,0.0494000017642974,0.0474999994039535,0.0793000012636184,0.0071999998763203,0.0794000029563903,0.0671000033617019,0.0410999990999698,0.017400000244379,0.1336999982595443,0.0242999996989965,0.150299996137619,0.8931000232696533
