Protein_ID,experiment,Localizations,Signals,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome
design_1,original+LLPhyScore features,Cytoplasm|Nucleus,Nuclear localization signal,0.629800021648407,0.7190999984741211,0.08860000222921371,0.04780000075697899,0.14630000293254852,0.002199999988079071,0.329800009727478,0.09160000085830688,0.07400000095367432,0.0027000000700354576
design_2,original+LLPhyScore features,Nucleus,Nuclear localization signal,0.21969999372959137,0.9010999798774719,0.45350000262260437,0.07000000029802322,0.19300000369548798,0.01640000008046627,0.10989999771118164,0.041999999433755875,0.03689999878406525,0.05530000105500221
design_3,original+LLPhyScore features,Nucleus,Nuclear localization signal,0.3896999955177307,0.9172000288963318,0.5246000289916992,0.016200000420212746,0.14910000562667847,0.013500000350177288,0.13729999959468842,0.02630000002682209,0.03519999980926514,0.09430000185966492
design_4,original+LLPhyScore features,Nucleus,Nuclear localization signal,0.3709999918937683,0.9404000043869019,0.13230000436306,0.02419999986886978,0.27309998869895935,0.04969999939203262,0.17170000076293945,0.08829999715089798,0.040800001472234726,0.006899999920278788
design_5,original+LLPhyScore features,Cytoplasm|Nucleus,Nuclear localization signal,0.5288000106811523,0.7698000073432922,0.2930000126361847,0.0706000030040741,0.17149999737739563,0.0052999998442828655,0.17739999294281006,0.05530000105500221,0.066600002348423,0.05869999900460243
design_6,original+LLPhyScore features,Cytoplasm|Nucleus,Nuclear localization signal,0.5074999928474426,0.8241999745368958,0.2371000051498413,0.05180000141263008,0.18070000410079956,0.01119999960064888,0.14190000295639038,0.04039999842643738,0.0786999985575676,0.009399999864399433
design_7,original+LLPhyScore features,Nucleus,,0.47450000047683716,0.5891000032424927,0.6068000197410583,0.042399998754262924,0.2888000011444092,0.09969999641180038,0.20160000026226044,0.06650000065565109,0.14229999482631683,0.03869999945163727
design_8,original+LLPhyScore features,Nucleus,Nuclear localization signal,0.40209999680519104,0.8695999979972839,0.26989999413490295,0.03240000084042549,0.17249999940395355,0.07169999927282333,0.057999998331069946,0.03359999880194664,0.035999998450279236,0.07410000264644623
design_9,original+LLPhyScore features,Nucleus,Nuclear localization signal,0.4372999966144562,0.9211999773979187,0.050999999046325684,0.016599999740719795,0.08829999715089798,0.0044999998062849045,0.11100000143051147,0.02930000051856041,0.028200000524520874,0.009800000116229057
design_10,original+LLPhyScore features,Nucleus,Nuclear localization signal,0.45329999923706055,0.8880000114440918,0.15279999375343323,0.018300000578165054,0.210999995470047,0.026499999687075615,0.08569999784231186,0.04349999874830246,0.026900000870227814,0.034699998795986176
design_11,original+LLPhyScore features,Cytoplasm|Nucleus,Nuclear localization signal,0.5374000072479248,0.8715000152587891,0.20149999856948853,0.02850000001490116,0.13289999961853027,0.016300000250339508,0.11509999632835388,0.025599999353289604,0.012500000186264515,0.10320000350475311
design_12,original+LLPhyScore features,Nucleus,Nuclear localization signal,0.4643999934196472,0.8528000116348267,0.15780000388622284,0.024900000542402267,0.24799999594688416,0.031099999323487282,0.1347000002861023,0.041200000792741776,0.06350000202655792,0.03240000084042549
design_13,original+LLPhyScore features,Cytoplasm|Nucleus,Nuclear localization signal,0.5375000238418579,0.8547999858856201,0.09480000287294388,0.03060000017285347,0.13050000369548798,0.010599999688565731,0.2046000063419342,0.019700000062584877,0.056299999356269836,0.06679999828338623
design_14,original+LLPhyScore features,Nucleus,Nuclear localization signal,0.36410000920295715,0.9426000118255615,0.23520000278949738,0.032099999487400055,0.10899999737739563,0.025200000032782555,0.13539999723434448,0.019700000062584877,0.022199999541044235,0.009100000374019146
design_15,original+LLPhyScore features,Nucleus,Nuclear localization signal,0.39340001344680786,0.9358000159263611,0.10480000078678131,0.013399999588727951,0.34209999442100525,0.031199999153614044,0.14710000157356262,0.015699999406933784,0.040699999779462814,0.041200000792741776
design_16,original+LLPhyScore features,Cytoplasm|Nucleus,Nuclear localization signal,0.5634999871253967,0.862500011920929,0.09619999676942825,0.02019999921321869,0.1467999964952469,0.008299999870359898,0.3116999864578247,0.031300000846385956,0.12700000405311584,0.06369999796152115
design_17,original+LLPhyScore features,Cytoplasm|Nucleus,Nuclear localization signal,0.47870001196861267,0.8640999794006348,0.10719999670982361,0.02879999950528145,0.13289999961853027,0.03009999915957451,0.15850000083446503,0.0478999987244606,0.05829999968409538,0.03060000017285347
design_18,original+LLPhyScore features,Cytoplasm|Nucleus,Nuclear localization signal,0.5927000045776367,0.7031999826431274,0.17260000109672546,0.05090000107884407,0.24220000207424164,0.03220000118017197,0.2125999927520752,0.04610000178217888,0.0820000022649765,0.04580000042915344
design_19,original+LLPhyScore features,Nucleus,Nuclear localization signal,0.46970000863075256,0.9394000172615051,0.20020000636577606,0.0364999994635582,0.20999999344348907,0.01080000028014183,0.18240000307559967,0.029899999499320984,0.048700001090765,0.008200000040233135
design_20,original+LLPhyScore features,Cytoplasm|Nucleus,Nuclear localization signal,0.5026000142097473,0.8452000021934509,0.23739999532699585,0.028999999165534973,0.21240000426769257,0.010599999688565731,0.22660000622272491,0.026200000196695328,0.0551999993622303,0.03200000151991844
design_21,original+LLPhyScore features,Nucleus,Nuclear localization signal,0.3513000011444092,0.963699996471405,0.09589999914169312,0.04129999876022339,0.08590000122785568,0.016499999910593033,0.12839999794960022,0.015300000086426735,0.018400000408291817,0.03189999982714653
design_22,original+LLPhyScore features,Cytoplasm|Nucleus,Nuclear localization signal,0.6173999905586243,0.654699981212616,0.25189998745918274,0.05790000036358833,0.1729000061750412,0.03310000151395798,0.21279999613761902,0.03240000084042549,0.047600001096725464,0.09989999979734421
design_23,original+LLPhyScore features,Nucleus,Nuclear localization signal,0.4316999912261963,0.9348000288009644,0.2434999942779541,0.01940000057220459,0.15839999914169312,0.028200000524520874,0.08640000224113464,0.027699999511241913,0.03799999877810478,0.04729999974370003
design_24,original+LLPhyScore features,Nucleus,Nuclear localization signal,0.2624000012874603,0.9186000227928162,0.5052000284194946,0.03959999978542328,0.3172999918460846,0.051899999380111694,0.03779999911785126,0.03099999949336052,0.023600000888109207,0.01489999983459711
design_25,original+LLPhyScore features,Endoplasmic reticulum,,0.41260001063346863,0.40799999237060547,0.4490000009536743,0.31679999828338623,0.1995999962091446,0.0731000006198883,0.4860999882221222,0.06669999659061432,0.2806999981403351,0.4140999913215637
design_26,original+LLPhyScore features,Cytoplasm|Nucleus,Nuclear localization signal,0.5052000284194946,0.7159000039100647,0.3959999978542328,0.057500001043081284,0.42399999499320984,0.018699999898672104,0.30559998750686646,0.011800000444054604,0.09070000052452087,0.12770000100135803
design_27,original+LLPhyScore features,Nucleus,Nuclear localization signal,0.4537000060081482,0.8909000158309937,0.09690000116825104,0.02969999983906746,0.26269999146461487,0.026200000196695328,0.125,0.026100000366568565,0.06300000101327896,0.04399999976158142
design_28,original+LLPhyScore features,Cytoplasm|Nucleus,Nuclear localization signal,0.6263999938964844,0.8130000233650208,0.3398999869823456,0.03739999979734421,0.20100000500679016,0.03180000185966492,0.14910000562667847,0.014700000174343586,0.08590000122785568,0.03420000150799751
design_29,original+LLPhyScore features,Cytoplasm|Nucleus,Nuclear localization signal,0.4851999878883362,0.921500027179718,0.06840000301599503,0.023900000378489494,0.120899997651577,0.009499999694526196,0.11909999698400497,0.024700000882148743,0.04729999974370003,0.03880000114440918
design_30,original+LLPhyScore features,Cytoplasm|Nucleus,Nuclear localization signal,0.5026000142097473,0.5889000296592712,0.557200014591217,0.19599999487400055,0.4648999869823456,0.09799999743700027,0.26899999380111694,0.0494999997317791,0.18950000405311584,0.03200000151991844
design_31,original+LLPhyScore features,Cytoplasm|Nucleus,Nuclear localization signal,0.4788999855518341,0.8367000222206116,0.15880000591278076,0.042500000447034836,0.2619999945163727,0.03550000116229057,0.2678999900817871,0.01810000091791153,0.08810000121593475,0.006800000090152025
