seqid,AA_A,AA_C,AA_D,AA_E,AA_F,AA_G,AA_H,AA_I,AA_K,AA_L,AA_M,AA_N,AA_P,AA_Q,AA_R,AA_S,AA_T,AA_V,AA_W,AA_Y,CLV_C14_Caspase3-7,DEG_APCC_KENBOX_2,DEG_Kelch_Keap1_1,DEG_SCF_TRCP1_1,DOC_ANK_TNKS_1,DOC_CYCLIN_RxL_1,DOC_MAPK_JIP1_4,DOC_MAPK_MEF2A_6,DOC_MAPK_NFAT4_5,DOC_MAPK_gen_1,DOC_PP1_RVXF_1,DOC_PP2A_B56_1,DOC_PP4_FxxP_1,DOC_WW_Pin1_4,D_repeats,ED_ratio,ELASTIN_LIKE,E_repeats,FG_repeats,FG_rich,FGxF,FRG,G_repeats,KAP_repeats,KL_hydropathy,K_repeats,LIG_14-3-3_CanoR_1,LIG_CaM_IQ_9,LIG_CtBP_PxDLS_1,LIG_EF_ALG2_ABM_1,LIG_EH_1,LIG_HCF-1_HBM_1,LIG_HOMEOBOX,LIG_KEPE_2,LIG_KLC1_WD_1,LIG_LIR_Gen_1,LIG_PAM2_1,LIG_PCNA_PIPBox_1,LIG_PDZ_Class_1,LIG_PDZ_Wminus1_1,LIG_PTAP_UEV_1,LIG_PTB_Apo_2,LIG_PTB_Phospho_1,LIG_Rb_LxCxE_1,LIG_SH2_CRK,LIG_SH2_GRB2like,LIG_SH2_NCK_1,LIG_SH2_SRC,LIG_SH2_STAP1,LIG_SH2_STAT5,LIG_SH3_2,LIG_SUMO_SIM_anti_2,LIG_SUMO_SIM_par_1,MOD_CDK_SPK_2,MOD_CDK_SPxK_1,MOD_CDK_SPxxK_3,MOD_CK1_1,MOD_CK2_1,MOD_DYRK1A_RPxSP_1,MOD_GSK3_1,MOD_N-GLC_1,MOD_NMyristoyl,MOD_PIKK_1,MOD_PKA_1,MOD_PKA_2,MOD_PKB_1,MOD_Plk_1,MOD_ProDKin_1,MOD_SUMO_for_1,MOD_SUMO_rev_2,N_repeats,PG_rich,PR_repeats,PTS_repeats,PY,P_repeats,QN_repeats,Q_repeats,REP_RGG,RG_repeats,RK_ratio,R_plus_Y,R_repeats,SGFYSG,SG_repeats,SR_repeats,S_repeats,TRG_ER_FFAT_1,TRG_ER_diArg_1,TRG_LysEnd_APsAcLL_1,TRG_NES_CRM1_1,TRG_NLS_MonoExtN_4,acidic,aliphatic,aromatic,basic,chain_expanding,complexity,custom_kappa,custom_omega,disorder_promoting,fcr,isoelectric_point,net_charge,polar_fraction,scd,srpipi,lrpipi,Water,Carbon,ssH,ssE,disL,disS,srELEC,lrELEC,sr_hb,lr_hb,srCATPI,lrCATPI,larkSIM,larkFAR
A0A024R2Q3_HUMAN_0,0.11267605633802817,0.0,0.07042253521126761,0.07746478873239436,0.028169014084507043,0.04929577464788732,0.028169014084507043,0.028169014084507043,0.02112676056338028,0.06338028169014084,0.056338028169014086,0.028169014084507043,0.04929577464788732,0.1056338028169014,0.035211267605633804,0.07746478873239436,0.07042253521126761,0.056338028169014086,0.014084507042253521,0.028169014084507043,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0870113769896297,0.0,11.0,11.0,0.0,0.0,0.0,7.0,26.0,-0.5830985915492959,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,12.0,28.0,0.0,7.0,19.0,15.0,0.0,12.0,0.4054651081081644,9.0,5.0,3.0,18.0,16.0,11.0,0.0,0.0,0.0,0.0,0.0,0.14788732394366197,0.31690140845070425,0.07042253521126761,0.056338028169014086,0.2535211267605634,2.5853259522186014,1.5649875365686665,0.9259292053469921,0.6971830985915493,0.20422535211267606,4.393558502197266,-13.0,0.3591549295774648,2.7274419575238675,0.07546321801479065,0.08892855780179587,4.711777744042194,14.968973846446199,0.4396523454217149,0.15661568677080118,0.08459564289329288,0.24586145808135698,0.010471790143642041,-0.3512819201430785,0.22206728732561234,0.23457786556454882,-0.11180806275239494,-0.231874496958082,0.13687025768285177,0.2728856371344169
A0A024R2Q3_HUMAN_1,0.15,0.0,0.15,0.15,0.0,0.0,0.0,0.05,0.05,0.2,0.0,0.05,0.05,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,-0.54,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.4,0.0,0.1,0.45,1.6544568521080714,-1.1528279516981796,-0.8340798192710221,0.7,0.4,4.017688751220703,-4.0,0.15,0.7452936642344359,0.04061110533764523,0.049857260302255034,4.4522807087851834,15.326669980218533,0.5858646932735684,0.09924356275255625,0.0480741400407303,0.17258570035536847,-0.2127411801325773,-0.32296570726763996,0.21632057795861365,0.18117482418022565,-0.0305703907487017,-0.11534267211498103,0.09620922305942806,0.39569162222694526
A0A024R2Q3_HUMAN_2,0.13725490196078433,0.0196078431372549,0.0196078431372549,0.0392156862745098,0.0,0.0196078431372549,0.058823529411764705,0.0392156862745098,0.058823529411764705,0.0392156862745098,0.0784313725490196,0.058823529411764705,0.0196078431372549,0.058823529411764705,0.0784313725490196,0.0784313725490196,0.09803921568627451,0.09803921568627451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4054651081081644,0.0,2.0,1.0,0.0,0.0,0.0,1.0,11.0,-0.37647058823529417,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,5.0,10.0,0.0,1.0,6.0,3.0,0.0,5.0,0.22314355131420976,4.0,4.0,0.0,5.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.39215686274509803,0.0,0.13725490196078433,0.21568627450980393,2.2652707221221946,-0.5539012344320814,-0.48529729004046546,0.6666666666666666,0.19607843137254902,10.28512191772461,4.0,0.39215686274509803,0.2220553483020842,0.0516479421951641,0.07079844313182304,4.26394827271242,14.908685106494186,0.4812086485087844,0.20062672529805484,0.05278248273088718,0.21501836598284513,-0.054843768771978316,-0.34188539821552466,0.22416097355736256,0.21764715879062477,-0.03137956081849907,-0.13091367106449686,0.12490781646892468,0.32370713689607034
A0A024R2Q3_HUMAN_3,0.19047619047619047,0.047619047619047616,0.0,0.09523809523809523,0.0,0.0,0.09523809523809523,0.047619047619047616,0.0,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,-0.5857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,1.0,3.0,2.0,0.0,2.0,1.0986122886681098,2.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.38095238095238093,0.0,0.09523809523809523,0.23809523809523808,1.8445880554918683,0.7415664082649763,-0.7332833289278615,0.7142857142857143,0.19047619047619047,6.916019439697266,0.0,0.38095238095238093,-0.3004067633385882,0.05976001657076177,0.08020622668111858,4.2315612516803585,15.616209567126711,0.639263652892695,0.12301317060009277,0.03965035573365851,0.15488207216879593,-0.17428461419815328,-0.31296820458660873,0.19982561934221246,0.21461964315462054,-0.04058250957087289,-0.12507867339154732,0.0884746621387128,0.4784945290614943
A0A024R2Q3_HUMAN_4,0.043478260869565216,0.0,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.13043478260869565,0.043478260869565216,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.21739130434782608,0.13043478260869565,0.043478260869565216,0.13043478260869565,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0,1.0,-1.3217391304347825,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,5.0,5.0,0.0,6.0,1.3862943611198906,3.0,3.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.17391304347826086,0.043478260869565216,0.13043478260869565,0.21739130434782608,1.771772097249488,-0.7761832861947044,-0.5225442237352453,0.8260869565217391,0.21739130434782608,9.51688003540039,1.0,0.5652173913043478,-0.29563744423301824,0.09311813806766522,0.11334324056548431,4.962332401357965,14.538315200585938,0.3703656371556918,0.1889441267514053,0.10016989462289183,0.2965647842053034,0.0028212340828232146,-0.3674796387852995,0.23863023126015687,0.28391578173781806,-0.09587647151017238,-0.20441935204738873,0.16222074058620486,0.2269434475834743
A0A024R2Q3_HUMAN_5,0.2727272727272727,0.0,0.0,0.22727272727272727,0.0,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.0,0.13636363636363635,0.0,0.0,0.045454545454545456,0.0,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.791759469228055,0.0,5.0,1.0,0.0,0.0,0.0,1.0,7.0,-0.12272727272727278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.6931471805599453,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.22727272727272727,0.45454545454545453,0.0,0.045454545454545456,0.3181818181818182,1.5736150794206851,-0.3730291450398283,0.03351786551292514,0.8181818181818182,0.2727272727272727,4.318256378173828,-4.0,0.22727272727272727,0.3385789591669202,0.04139691613157399,0.057133035930898635,4.246803230270702,14.633392318061812,0.581825618233743,0.09775717505367591,0.04910900399458409,0.19198125716373074,-0.09741271151334027,-0.24960173821450793,0.14523879287879735,0.1464686007013512,-0.018857747493539787,-0.06996616780530383,0.10226548312932496,0.40601637733455737
A0A024R2Q3_HUMAN_6,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.6500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6931471805599453,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.9810173385750263,nan,nan,0.5,0.16666666666666666,9.750049591064453,1.0,0.0,0.0,0.04141467772464542,0.07790957474964358,2.639139139215744,16.552186348507465,0.5460998359506264,0.31792146241925745,0.03307200204962894,0.08263255370021542,0.11730817667361725,-0.3109158186093563,0.0518558237943285,0.058977246986056546,-0.2308116395734306,-0.4877975987469231,0.1040054139073083,0.4564906619280659
A0A024R2Q3_HUMAN_7,0.06086956521739131,0.0,0.13043478260869565,0.05217391304347826,0.02608695652173913,0.13043478260869565,0.043478260869565216,0.008695652173913044,0.02608695652173913,0.10434782608695652,0.05217391304347826,0.017391304347826087,0.08695652173913043,0.05217391304347826,0.034782608695652174,0.06086956521739131,0.034782608695652174,0.017391304347826087,0.017391304347826087,0.043478260869565216,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,-0.8266785731844679,0.0,6.0,18.0,0.0,0.0,0.0,15.0,20.0,-0.8260869565217392,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,14.0,21.0,0.0,10.0,8.0,6.0,0.0,19.0,0.22314355131420976,9.0,4.0,3.0,22.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.1826086956521739,0.24347826086956523,0.08695652173913043,0.06086956521739131,0.33043478260869563,2.475539358035118,-0.4405270944917045,-0.8965766114416718,0.7130434782608696,0.24347826086956523,4.296627044677734,-14.0,0.3391304347826087,3.326457701097545,0.08467534556523856,0.1210528767147484,4.899182906268135,14.548952289522672,0.29788640377577186,0.1671755610083218,0.15689394360147663,0.31465610745450856,0.09034986879038187,-0.41073483504138786,0.20372000231770943,0.2594685351230884,-0.130745166603369,-0.29714400643477923,0.17860070215543997,0.14826754969016046
RCCD1_HUMAN_0,0.06666666666666667,0.0,0.0,0.0,0.0,0.13333333333333333,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.0,0.13333333333333333,0.06666666666666667,0.2,0.2,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,3.0,-1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,2.0,1.0,1.0,0.0,5.0,1.3862943611198906,3.0,3.0,0.0,5.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.3333333333333333,1.5286305389509927,-1.2509220877138523,-0.451727857091014,0.8666666666666667,0.2,12.301029205322266,3.0,0.4666666666666667,0.515389223515233,0.08465047372036474,0.12207572547338805,5.182989450172958,14.286414043389161,0.24755960032027768,0.16322017085722226,0.12495467715897209,0.36122926247946696,0.031173948725958092,-0.4391147007084489,0.18029719055988927,0.29158615290905854,-0.07421331973144793,-0.20580335746310946,0.19305660191240775,0.13744042056746172
RCCD1_HUMAN_1,0.23076923076923078,0.0,0.0,0.07692307692307693,0.0,0.23076923076923078,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.07692307692307693,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,1.0,3.0,0.0,0.0,0.0,3.0,3.0,0.10769230769230766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.6931471805599453,1.0,1.0,0.0,6.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.38461538461538464,0.0,0.07692307692307693,0.15384615384615385,1.2679798665291777,-0.888747834812696,-1.6158201682279059,0.8461538461538461,0.15384615384615385,6.002140045166016,0.0,0.46153846153846156,-0.2551249838734923,0.035289463240333045,0.09587176381040535,4.291529081472416,12.587483959970202,0.3467240243454234,0.13757984406516777,0.09337850267047577,0.3331011178558913,0.05767387146429328,-0.25285923789512127,0.18138462644787434,0.17626601583514268,-0.029412881456750917,-0.07640073102982209,0.1610158640738075,0.20650977684016505
