ProtID,experiment,Cell.membrane,Cytoplasm,Endoplasmic.reticulum,Extracellular,Golgi.apparatus,Lysosome/Vacuole,Mitochondrion,Nucleus,Peroxisome,Plastid
Sequence_1,randomly generated,0.1598332,0.27636513,0.08131242,0.013082963,0.0874885,0.032358654,0.024601307,0.30670032,0.009378633,0.008878932
Sequence_10,randomly generated,0.13181454,0.28420353,0.053222608,0.015859336,0.09063884,0.03018122,0.042587526,0.29416573,0.043412276,0.013914343
Sequence_100,randomly generated,0.12653312,0.30103764,0.033929635,0.020533115,0.0459052,0.045013394,0.03560396,0.30164135,0.06837749,0.02142514
Sequence_11,randomly generated,0.15075034,0.34449056,0.035614237,0.014663772,0.039882276,0.024882596,0.020675097,0.34762368,0.008018826,0.013398614
Sequence_12,randomly generated,0.13256615,0.32503453,0.048075866,0.019306686,0.056701507,0.018065086,0.031171227,0.33445725,0.020446802,0.014174895
Sequence_13,randomly generated,0.23375225,0.045891557,0.22859494,0.011136862,0.18283199,0.1280819,0.03806245,0.06371614,0.062001348,0.005930537
Sequence_14,randomly generated,0.12054093,0.30348152,0.0696533,0.008671681,0.13916558,0.010030278,0.024727106,0.31446618,0.0048586577,0.0044047222
Sequence_15,randomly generated,0.1377292,0.35537702,0.016763048,0.021570528,0.023599336,0.03632792,0.022070484,0.35987386,0.006718446,0.019970145
Sequence_16,randomly generated,0.09668208,0.34326017,0.03595194,0.028100973,0.05158444,0.013610562,0.046627972,0.35233426,0.022043262,0.009804369
Sequence_17,randomly generated,0.1874065,0.33480483,0.01827926,0.013590165,0.02145653,0.04028573,0.01650053,0.33444965,0.008375714,0.02485109
Sequence_18,randomly generated,0.11490717,0.33738634,0.038000405,0.028849736,0.04397353,0.026688645,0.03108395,0.3476383,0.017438022,0.014033796
Sequence_19,randomly generated,0.14691424,0.29637668,0.076508515,0.012133604,0.1178433,0.00769527,0.018795582,0.309389,0.008079087,0.00626475
Sequence_2,randomly generated,0.11061218,0.36131144,0.02615308,0.020022528,0.0384808,0.025558753,0.031964015,0.36302698,0.010573059,0.012297149
Sequence_20,randomly generated,0.13996218,0.3274481,0.033430632,0.028694503,0.03611417,0.0146909645,0.03169326,0.34526655,0.026890099,0.015809493
Sequence_21,randomly generated,0.14523183,0.3281052,0.038049616,0.02036739,0.052048106,0.024373367,0.039637633,0.327018,0.011595876,0.013572957
Sequence_22,randomly generated,0.15036464,0.33484423,0.024490066,0.01598106,0.034872904,0.053207237,0.014883099,0.34066454,0.012766722,0.017925527
Sequence_23,randomly generated,0.14340253,0.27802682,0.05431317,0.012823246,0.10529208,0.03233416,0.042432487,0.28579783,0.032204017,0.013373678
Sequence_24,randomly generated,0.20368487,0.31646195,0.01786742,0.012812424,0.020741448,0.055552617,0.015496579,0.31378177,0.013735854,0.029865067
Sequence_25,randomly generated,0.13931386,0.3154897,0.042990487,0.017645773,0.054266814,0.04497628,0.021736732,0.32546422,0.01945394,0.018662238
Sequence_26,randomly generated,0.117348105,0.3181947,0.056503747,0.017032916,0.07742459,0.021469831,0.03168414,0.32817417,0.02274606,0.009421741
