Protein_ID,experiment,Localizations,Signals,Membrane types,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome,Peripheral,Transmembrane,Lipid anchor,Soluble
Sequence_1,randomly generated,Cytoplasm|Extracellular,,Transmembrane|Soluble,0.5733000040054321,0.4097999930381775,0.6201000213623047,0.0577000007033348,0.5414999723434448,0.0031999999191612,0.1407999992370605,0.0232999995350837,0.1894000023603439,0.1062999963760376,0.1450999975204467,0.6412000060081482,0.1257999986410141,0.6377000212669373
Sequence_2,randomly generated,Cytoplasm,,Soluble,0.4433000087738037,0.4435999989509582,0.1352999955415725,0.1333999931812286,0.3747000098228454,0.0054999999701976,0.1665000021457672,0.1115000024437904,0.0680999979376792,0.1422999948263168,0.2617999911308288,0.4077000021934509,0.0450999997556209,0.7714999914169312
Sequence_3,randomly generated,Cytoplasm,,Soluble,0.6262000203132629,0.4447000026702881,0.4142999947071075,0.0372000001370906,0.3583000004291534,0.001300000003539,0.2031999975442886,0.0207000002264976,0.0746999979019165,0.036200001835823,0.0820000022649765,0.3650000095367431,0.0590999983251094,0.807200014591217
Sequence_4,randomly generated,Cytoplasm,,Soluble,0.5389000177383423,0.3605999946594238,0.3339000046253204,0.1305000036954879,0.599399983882904,0.0078999996185302,0.0873000025749206,0.0264999996870756,0.0711999982595443,0.0581000000238418,0.1776999980211258,0.4562000036239624,0.0584999993443489,0.7696999907493591
Sequence_5,randomly generated,Extracellular,,Soluble,0.296999990940094,0.3763999938964844,0.6295999884605408,0.1772000044584274,0.4282000064849853,0.0055999998003244,0.1079000011086463,0.1386999934911728,0.209099993109703,0.0542000010609626,0.388700008392334,0.2472999989986419,0.1133000031113624,0.6880000233650208
Sequence_6,randomly generated,Nucleus,,Soluble,0.2470999956130981,0.6674000024795532,0.1790000051259994,0.272599995136261,0.399399995803833,0.0362999998033046,0.0869000032544136,0.0592000000178813,0.0450000017881393,0.0108000002801418,0.2047999948263168,0.2398000061511993,0.305400013923645,0.8565000295639038
Sequence_7,randomly generated,Cytoplasm|Nucleus,Nuclear localization signal,Soluble,0.5031999945640564,0.7046999931335449,0.2272000014781952,0.2518999874591827,0.3919000029563904,0.0236000008881092,0.0828000009059906,0.0304000005125999,0.0564000010490417,0.008899999782443,0.3357000052928924,0.154799997806549,0.1049000024795532,0.7990000247955322
Sequence_8,randomly generated,Nucleus,,Soluble,0.4282000064849853,0.5353000164031982,0.0692000016570091,0.1491000056266784,0.6207000017166138,0.0086000002920627,0.3138000071048736,0.0986000001430511,0.1112999990582466,0.0028999999631196,0.4467999935150146,0.455700010061264,0.0577999986708164,0.5972999930381775
Sequence_9,randomly generated,Cytoplasm,,Transmembrane,0.5690000057220459,0.4417999982833862,0.1650000065565109,0.1307999938726425,0.6164000034332275,0.0023000000510364,0.093699999153614,0.0280000008642673,0.063799999654293,0.0028999999631196,0.2784999907016754,0.8960000276565552,0.0798999965190887,0.3799999952316284
Sequence_10,randomly generated,Cytoplasm|Nucleus,Nuclear localization signal,Soluble,0.5550000071525574,0.8192999958992004,0.4129000008106231,0.1266999989748001,0.1125999987125396,0.0001999999949475,0.062899999320507,0.1075000017881393,0.0864999964833259,0.0303000006824731,0.3115000128746032,0.0812000036239624,0.1049000024795532,0.888700008392334
