Protein_ID,experiment,Localizations,Signals,Membrane types,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome,Peripheral,Transmembrane,Lipid anchor,Soluble
design_1,original+LLPhyScore features,Cytoplasm|Nucleus,Nuclear localization signal,Soluble,0.629800021648407,0.7190999984741211,0.0886000022292137,0.0478000007569789,0.1463000029325485,0.002199999988079,0.329800009727478,0.0916000008583068,0.0740000009536743,0.0027000000700354,0.1225000023841857,0.2043000012636184,0.1334999948740005,0.660099983215332
design_2,original+LLPhyScore features,Nucleus,Nuclear localization signal,Soluble,0.2196999937295913,0.901099979877472,0.4535000026226043,0.0700000002980232,0.1930000036954879,0.0164000000804662,0.1098999977111816,0.0419999994337558,0.0368999987840652,0.0553000010550022,0.065600000321865,0.0838999971747398,0.401199996471405,0.8521000146865845
design_3,original+LLPhyScore features,Nucleus,Nuclear localization signal,Soluble,0.3896999955177307,0.9172000288963318,0.5246000289916992,0.0162000004202127,0.1491000056266784,0.0135000003501772,0.1372999995946884,0.026300000026822,0.0351999998092651,0.0943000018596649,0.0861999988555908,0.0381000004708766,0.2520999908447265,0.9110999703407288
design_4,original+LLPhyScore features,Nucleus,Nuclear localization signal,Soluble,0.3709999918937683,0.940400004386902,0.13230000436306,0.0241999998688697,0.2730999886989593,0.0496999993920326,0.1717000007629394,0.0882999971508979,0.0408000014722347,0.0068999999202787,0.0802000015974044,0.035300001502037,0.0401000007987022,0.9085000157356262
design_5,original+LLPhyScore features,Cytoplasm|Nucleus,Nuclear localization signal,Soluble,0.5288000106811523,0.7698000073432922,0.2930000126361847,0.0706000030040741,0.1714999973773956,0.0052999998442828,0.17739999294281,0.0553000010550022,0.066600002348423,0.0586999990046024,0.1151999980211258,0.0533999986946582,0.1647000014781952,0.8853999972343445
design_6,original+LLPhyScore features,Cytoplasm|Nucleus,Nuclear localization signal,Soluble,0.5074999928474426,0.8241999745368958,0.2371000051498413,0.05180000141263,0.1807000041007995,0.0111999996006488,0.1419000029563903,0.0403999984264373,0.0786999985575676,0.0093999998643994,0.097300000488758,0.0315000005066394,0.1385000050067901,0.9078999757766724
design_7,original+LLPhyScore features,Nucleus,,Soluble,0.4745000004768371,0.5891000032424927,0.6068000197410583,0.0423999987542629,0.2888000011444092,0.0996999964118003,0.2016000002622604,0.066500000655651,0.1422999948263168,0.0386999994516372,0.1194000020623207,0.0340000018477439,0.1287000030279159,0.876800000667572
design_8,original+LLPhyScore features,Nucleus,Nuclear localization signal,Soluble,0.402099996805191,0.8695999979972839,0.2698999941349029,0.0324000008404254,0.1724999994039535,0.0716999992728233,0.0579999983310699,0.0335999988019466,0.0359999984502792,0.0741000026464462,0.0762000009417533,0.0337000004947185,0.1116999983787536,0.9168999791145324
design_9,original+LLPhyScore features,Nucleus,Nuclear localization signal,Soluble,0.4372999966144562,0.9211999773979188,0.0509999990463256,0.0165999997407197,0.0882999971508979,0.0044999998062849,0.1110000014305114,0.0293000005185604,0.0282000005245208,0.009800000116229,0.0254999995231628,0.0421000011265277,0.0392000004649162,0.945800006389618
design_10,original+LLPhyScore features,Nucleus,Nuclear localization signal,Soluble,0.4532999992370605,0.8880000114440918,0.1527999937534332,0.018300000578165,0.210999995470047,0.0264999996870756,0.0856999978423118,0.0434999987483024,0.0269000008702278,0.0346999987959861,0.0502000004053115,0.0425999984145164,0.0668999999761581,0.9232000112533568
design_11,original+LLPhyScore features,Cytoplasm|Nucleus,Nuclear localization signal,Soluble,0.5374000072479248,0.8715000152587891,0.2014999985694885,0.0285000000149011,0.1328999996185302,0.0163000002503395,0.1150999963283538,0.0255999993532896,0.0125000001862645,0.1032000035047531,0.0362999998033046,0.033900000154972,0.0953999981284141,0.9580000042915344
design_12,original+LLPhyScore features,Nucleus,Nuclear localization signal,Soluble,0.4643999934196472,0.8528000116348267,0.1578000038862228,0.0249000005424022,0.2479999959468841,0.0310999993234872,0.1347000002861023,0.0412000007927417,0.0635000020265579,0.0324000008404254,0.1225000023841857,0.0421999990940094,0.0678000003099441,0.8855999708175659
design_13,original+LLPhyScore features,Cytoplasm|Nucleus,Nuclear localization signal,Soluble,0.5375000238418579,0.8547999858856201,0.0948000028729438,0.0306000001728534,0.1305000036954879,0.0105999996885657,0.2046000063419342,0.0197000000625848,0.0562999993562698,0.0667999982833862,0.0395999997854232,0.0496999993920326,0.0723000019788742,0.9283000230789183
design_14,original+LLPhyScore features,Nucleus,Nuclear localization signal,Soluble,0.3641000092029571,0.9426000118255616,0.2352000027894973,0.0320999994874,0.1089999973773956,0.0252000000327825,0.1353999972343444,0.0197000000625848,0.0221999995410442,0.0091000003740191,0.0560000017285347,0.0165999997407197,0.0452000014483928,0.9596999883651732
design_15,original+LLPhyScore features,Nucleus,Nuclear localization signal,Soluble,0.3934000134468078,0.9358000159263612,0.1048000007867813,0.0133999995887279,0.3420999944210052,0.031199999153614,0.1471000015735626,0.0156999994069337,0.0406999997794628,0.0412000007927417,0.0709000006318092,0.0286999996751546,0.1086999997496604,0.911199986934662
