ProtID,experiment,cajal_body,cell_junction,chromosome,nuclear_pore_complex,nuclear_speckle,nucleolus,p-body,pml-body,post_synaptic_density,rna_granule,stress_granule,transcriptional
design_1,original+LLPhyScore features,2.0275463e-07,0.011706505,0.010691728,0.8117691,9.4330666e-08,1.4557757e-07,0.11187423,0.0014582908,0.05206488,2.1412626999999998e-18,0.00043465124,6.112604e-08
design_10,original+LLPhyScore features,3.5669833e-16,2.2508093e-09,0.05487639,0.40440056,1.00856904e-13,2.3012877000000003e-16,0.54060525,6.5177974e-11,5.674329e-26,2.476095e-34,0.00011781589,1.8457117e-12
design_100,original+LLPhyScore features,5.3575294e-10,0.6725853,0.0011602478,0.00043646898,7.240633e-08,9.429838e-06,0.32492128,6.689652e-07,5.7794175e-10,4.7004226e-15,0.0008864758,6.1423826e-09
design_11,original+LLPhyScore features,2.049626e-10,0.0035623237,0.0016718248,0.93714195,5.7695206e-13,1.604616e-08,0.05762388,5.460741e-10,5.4481725e-14,3.330341e-27,2.8450732e-08,5.0276504e-13
design_12,original+LLPhyScore features,2.380721e-08,5.7832067e-06,0.45352533,0.53709775,6.8308528e-09,0.008788436,0.0005459943,1.6294021e-07,2.508491e-13,4.4084008e-18,3.6561054e-05,1.9079799e-10
design_13,original+LLPhyScore features,1.0686388e-07,2.1353236e-10,0.62063015,0.3787032,3.519134e-08,2.1328175e-09,7.699539e-12,1.1999668e-06,0.00064890145,1.0803725e-21,1.6444954e-05,2.0779531e-10
design_14,original+LLPhyScore features,4.8220414e-07,8.820644e-06,0.83980227,0.15894376,4.3765425e-08,0.0004061723,0.0006010938,1.464817e-06,0.0002357849,9.5828965e-18,2.8169481e-08,5.5478885e-11
design_15,original+LLPhyScore features,2.0950021e-07,0.0002520151,0.69039273,0.20450622,2.087235e-11,4.2596992e-05,0.10473512,2.4154851e-05,2.4417612e-11,1.4409379e-14,4.694575e-05,2.4509806e-08
design_16,original+LLPhyScore features,1.05492376e-07,8.216636e-13,0.6534247,0.3465751,4.822765e-08,8.4772456e-10,4.1028446e-08,1.3722208e-10,1.2056164e-12,3.8711118e-25,2.2934091e-10,3.4057447e-13
design_17,original+LLPhyScore features,1.0486415e-09,8.9826826e-05,0.40324032,0.00033514673,1.7377012e-07,0.0031152752,0.5931648,6.044751e-07,7.612867e-11,5.7723607e-16,5.3892578e-05,1.1010166e-09
design_18,original+LLPhyScore features,3.165956e-11,7.4088995e-05,0.00696388,0.16609584,6.9725403e-10,1.0419064e-08,0.8211775,1.999024e-09,6.053013e-06,5.500063e-20,0.0056826896,1.9249294e-10
design_19,original+LLPhyScore features,3.96971e-11,5.054015e-07,0.96937466,0.0013200544,2.909554e-10,0.026634587,1.2512217e-05,0.0026576766,2.8784162999999996e-18,1.2102971e-24,2.0544707e-12,1.3791059e-09
design_2,original+LLPhyScore features,1.11259546e-13,1.638665e-05,0.4033395,0.52496654,7.826387000000001e-17,2.15813e-12,6.805412e-05,9.628368e-09,1.8394865e-12,2.6586904e-27,0.071609505,8.133645e-12
design_20,original+LLPhyScore features,1.3978593e-09,0.1349245,0.5338093,0.008102979,4.8359437000000004e-17,0.320149,0.0030100201,1.2794911e-08,3.0513127e-13,1.5790357e-23,4.1227063e-06,3.604337e-11
