ProtID,Predicted Compartment,Score
design_1,Extracellular,0.029782284
design_1,Plastid,0.019575445
design_1,Cytoplasm,0.3238939
design_1,Mitochondrion,0.052621618
design_1,Nucleus,0.31926265
design_1,Endoplasmic.reticulum,0.04286981
design_1,Golgi.apparatus,0.038658142
design_1,Cell.membrane,0.117683224
design_1,Lysosome/Vacuole,0.03411236
design_1,Peroxisome,0.02154059
design_2,Extracellular,0.018253736
design_2,Plastid,0.02573508
design_2,Cytoplasm,0.32125297
design_2,Mitochondrion,0.027147403
design_2,Nucleus,0.32737502
design_2,Endoplasmic.reticulum,0.025062637
design_2,Golgi.apparatus,0.029974395
design_2,Cell.membrane,0.16117577
design_2,Lysosome/Vacuole,0.048206132
design_2,Peroxisome,0.015816897
design_3,Extracellular,0.022243269
design_3,Plastid,0.0145702725
design_3,Cytoplasm,0.3421092
design_3,Mitochondrion,0.035741527
design_3,Nucleus,0.3454466
design_3,Endoplasmic.reticulum,0.031458665
design_3,Golgi.apparatus,0.045814097
design_3,Cell.membrane,0.118367426
design_3,Lysosome/Vacuole,0.030442083
design_3,Peroxisome,0.013806977
design_4,Extracellular,0.025079204
design_4,Plastid,0.010186568
design_4,Cytoplasm,0.35115212
design_4,Mitochondrion,0.024575075
design_4,Nucleus,0.36135623
design_4,Endoplasmic.reticulum,0.022722984
design_4,Golgi.apparatus,0.05014101
design_4,Cell.membrane,0.1140659
design_4,Lysosome/Vacuole,0.01778094
design_4,Peroxisome,0.022939924
design_5,Extracellular,0.014643586
design_5,Plastid,0.028945792
design_5,Cytoplasm,0.31374145
design_5,Mitochondrion,0.016487332
design_5,Nucleus,0.32065752
design_5,Endoplasmic.reticulum,0.0138870375
design_5,Golgi.apparatus,0.015403714
design_5,Cell.membrane,0.20160046
design_5,Lysosome/Vacuole,0.06484908
design_5,Peroxisome,0.009783979
design_6,Extracellular,0.017570153
design_6,Plastid,0.026219472
design_6,Cytoplasm,0.31707722
design_6,Mitochondrion,0.02185139
design_6,Nucleus,0.32523108
design_6,Endoplasmic.reticulum,0.017876526
design_6,Golgi.apparatus,0.020451311
design_6,Cell.membrane,0.18371518
design_6,Lysosome/Vacuole,0.06094546
design_6,Peroxisome,0.009062213
design_7,Extracellular,0.013144628
design_7,Plastid,0.026537942
design_7,Cytoplasm,0.29972875
design_7,Mitochondrion,0.023384023
design_7,Nucleus,0.29855928
design_7,Endoplasmic.reticulum,0.022511357
design_7,Golgi.apparatus,0.02660962
design_7,Cell.membrane,0.16357495
design_7,Lysosome/Vacuole,0.08396698
design_7,Peroxisome,0.041982483
design_8,Extracellular,0.035653956
design_8,Plastid,0.01776933
design_8,Cytoplasm,0.3405852
design_8,Mitochondrion,0.0418519
design_8,Nucleus,0.35023564
design_8,Endoplasmic.reticulum,0.027567474
design_8,Golgi.apparatus,0.03818334
design_8,Cell.membrane,0.07754969
design_8,Lysosome/Vacuole,0.024666801
design_8,Peroxisome,0.045936693
design_9,Extracellular,0.017741328
design_9,Plastid,0.007825073
design_9,Cytoplasm,0.3477833
design_9,Mitochondrion,0.019090604
design_9,Nucleus,0.3660247
design_9,Endoplasmic.reticulum,0.03426809
design_9,Golgi.apparatus,0.05547036
design_9,Cell.membrane,0.13535821
design_9,Lysosome/Vacuole,0.00856499
design_9,Peroxisome,0.007873386
design_10,Extracellular,0.02009765
design_10,Plastid,0.01247721
design_10,Cytoplasm,0.32211012
design_10,Mitochondrion,0.020078374
design_10,Nucleus,0.34221143
design_10,Endoplasmic.reticulum,0.03498565
design_10,Golgi.apparatus,0.05516509
design_10,Cell.membrane,0.1516063
design_10,Lysosome/Vacuole,0.012350314
design_10,Peroxisome,0.02891789
design_11,Extracellular,0.016318971
design_11,Plastid,0.01419812
design_11,Cytoplasm,0.33892757
design_11,Mitochondrion,0.023139324
design_11,Nucleus,0.34817705
design_11,Endoplasmic.reticulum,0.034456115
design_11,Golgi.apparatus,0.046608966
design_11,Cell.membrane,0.1424225
design_11,Lysosome/Vacuole,0.025451427
design_11,Peroxisome,0.0102998065
design_12,Extracellular,0.0062269587
design_12,Plastid,0.012593908
design_12,Cytoplasm,0.29498944
design_12,Mitochondrion,0.018671462
design_12,Nucleus,0.29103
design_12,Endoplasmic.reticulum,0.049753856
design_12,Golgi.apparatus,0.06316448
design_12,Cell.membrane,0.21429324
design_12,Lysosome/Vacuole,0.029723981
design_12,Peroxisome,0.019552616
design_13,Extracellular,0.020221077
design_13,Plastid,0.024347039
design_13,Cytoplasm,0.3222388
design_13,Mitochondrion,0.03249268
design_13,Nucleus,0.3269732
design_13,Endoplasmic.reticulum,0.027204134
design_13,Golgi.apparatus,0.03404163
design_13,Cell.membrane,0.1431002
design_13,Lysosome/Vacuole,0.047493983
design_13,Peroxisome,0.021887204
design_14,Extracellular,0.01018078
design_14,Plastid,0.0044523366
design_14,Cytoplasm,0.33712375
design_14,Mitochondrion,0.017243205
design_14,Nucleus,0.35000548
design_14,Endoplasmic.reticulum,0.056489427
design_14,Golgi.apparatus,0.08492821
design_14,Cell.membrane,0.13029897
design_14,Lysosome/Vacuole,0.006617747
design_14,Peroxisome,0.00266003
design_15,Extracellular,0.011420132
design_15,Plastid,0.029469168
design_15,Cytoplasm,0.3051366
design_15,Mitochondrion,0.014877026
design_15,Nucleus,0.31048223
design_15,Endoplasmic.reticulum,0.015869627
design_15,Golgi.apparatus,0.020108044
design_15,Cell.membrane,0.20277993
design_15,Lysosome/Vacuole,0.06761464
design_15,Peroxisome,0.022242641
design_16,Extracellular,0.017880468
design_16,Plastid,0.023298204
design_16,Cytoplasm,0.32023898
design_16,Mitochondrion,0.028679159
design_16,Nucleus,0.3247096
design_16,Endoplasmic.reticulum,0.026732966
design_16,Golgi.apparatus,0.03303965
design_16,Cell.membrane,0.15584081
design_16,Lysosome/Vacuole,0.05160412
design_16,Peroxisome,0.017975995
design_17,Extracellular,0.011566108
design_17,Plastid,0.009789956
design_17,Cytoplasm,0.32358423
design_17,Mitochondrion,0.019468376
design_17,Nucleus,0.34083417
design_17,Endoplasmic.reticulum,0.033677146
design_17,Golgi.apparatus,0.06363778
design_17,Cell.membrane,0.17940417
design_17,Lysosome/Vacuole,0.013713093
design_17,Peroxisome,0.004324966
design_18,Extracellular,0.017753225
design_18,Plastid,0.023222048
design_18,Cytoplasm,0.3261944
design_18,Mitochondrion,0.027326928
design_18,Nucleus,0.33118254
design_18,Endoplasmic.reticulum,0.027826732
design_18,Golgi.apparatus,0.033270925
design_18,Cell.membrane,0.15147534
design_18,Lysosome/Vacuole,0.042428013
design_18,Peroxisome,0.019319765
design_19,Extracellular,0.009721527
design_19,Plastid,0.0041419743
design_19,Cytoplasm,0.32180467
design_19,Mitochondrion,0.01978646
design_19,Nucleus,0.343451
design_19,Endoplasmic.reticulum,0.0457694
design_19,Golgi.apparatus,0.090166435
design_19,Cell.membrane,0.15655872
design_19,Lysosome/Vacuole,0.005696586
