ProteinID,nuclear_speckle,p-body,pml-body,post_synaptic_density,stress_granule,chromosome,nucleolus,nuclear_pore_complex,cajal_body,rna_granule,cell_junction,transcriptional
Sequence_1,0.0005612553,0.60805714,0.07873713,0.0004782576,0.02008597,3.5585725e-07,2.7520738e-07,0.01588069,1.4793578e-05,9.508311e-16,9.485029e-05,0.00066418614
Sequence_2,9.804663e-07,0.9654186,0.00016075445,1.722567e-06,0.0005455875,1.0189355e-05,3.218679e-07,0.024382506,4.145018e-08,4.7623795e-18,0.009294699,1.2626619e-05
Sequence_3,3.8105224e-08,0.07395477,0.00066732435,0.0006086531,3.4804282e-06,6.921318e-08,2.7047237e-05,0.0040810574,9.966388e-07,2.3935951e-20,0.019258881,9.410197e-07
Sequence_4,1.0043581e-06,0.28935373,0.03764305,0.33322158,0.0014848722,1.3468917e-06,7.380432e-07,0.00804184,7.4658567e-07,1.9198525e-15,0.02790274,4.2874766e-05
Sequence_5,8.2050985e-07,0.3222619,0.001012329,0.00027325205,6.1862323e-07,7.3375643e-09,6.71923e-07,0.0046694665,1.9020815e-06,2.6398495e-23,0.00022033813,1.5565437e-06
Sequence_6,9.427113e-05,0.11925277,0.020349838,0.0005977765,0.012005099,5.385657e-07,3.1517266e-05,0.06858209,2.5273312e-05,5.351678e-15,0.005405869,8.954253e-06
Sequence_7,0.0001313707,0.3709029,0.0026784902,0.0017538262,2.6738223e-07,1.2545779e-07,0.000101167745,0.00068195804,2.0133937e-05,7.996319e-19,0.000122045116,8.029482e-08
Sequence_8,0.00012610921,0.36709517,0.0018816207,0.014467092,6.765286e-05,6.2597713e-13,1.3638133e-05,1.2321654e-05,4.0356534e-07,3.1340052e-21,0.0042009032,8.7570265e-07
Sequence_9,3.0578167e-06,0.24460582,0.0035990018,0.05133147,0.00040300027,5.4837308e-08,1.2287963e-05,0.008081489,1.2565488e-05,3.0011347e-17,0.00031363437,1.1739059e-05
Sequence_10,1.7450343e-07,0.86799306,0.078135364,0.0021908614,1.5857377e-05,1.4388498e-07,1.7796897e-07,0.037187047,1.8945433e-06,2.0345982e-19,0.00026293905,1.5555344e-05
Sequence_11,2.0341136e-05,0.22877312,0.009852704,1.2893457e-05,1.7106724e-05,1.4965025e-06,0.0022890684,0.0009119184,0.00011272716,2.2703596e-16,7.872099e-05,2.4180156e-06
Sequence_12,3.957934e-09,0.2221444,0.00021244996,0.002526197,2.0747525e-06,6.511033e-09,3.704408e-06,0.017834151,1.1751717e-07,3.8348094e-23,7.818675e-05,3.319979e-08
Sequence_13,3.711452e-07,0.48906106,0.0030075512,0.02405816,0.0004530147,1.0403346e-09,4.683896e-06,0.0019613227,8.745578e-06,3.8564703e-19,0.0013893871,2.2541746e-05
Sequence_14,1.2693276e-07,0.3924814,0.010082035,0.007383537,0.007120364,5.293415e-08,4.4878307e-06,0.019224226,3.0119809e-05,7.611804e-17,9.007379e-06,2.0321533e-05
Sequence_15,6.941697e-05,0.021427909,0.032315385,0.0030797676,0.00013876044,5.2139928e-08,1.3312481e-05,0.013298873,3.0027835e-05,2.555788e-18,7.762666e-05,6.485468e-06
Sequence_16,1.2273909e-05,0.6211029,0.0022171934,8.3737e-05,1.0634992e-05,1.3443718e-08,4.0056866e-06,0.021656787,9.913712e-07,2.7429423e-19,0.019539917,5.485389e-07
Sequence_17,5.628943e-05,0.9287259,0.0010547527,0.00023519233,6.6019464e-05,5.77657e-09,2.9975303e-05,0.00066029676,1.2613457e-06,3.050486e-19,0.000159114,4.2603088e-07
Sequence_18,1.288143e-09,0.00019001596,6.475836e-05,0.00010458924,4.6267944e-11,4.447712e-06,9.986418e-06,0.087357394,4.808901e-08,2.373103e-27,0.00043053963,5.712544e-11
Sequence_19,2.3010682e-06,0.7438127,0.10898909,0.17001285,0.13275832,1.6847949e-09,8.6491605e-09,0.0018411672,5.057648e-06,2.870244e-16,2.2151828e-05,0.0013088568
Sequence_20,1.1573596e-07,0.9654735,1.155595e-05,0.011734244,0.0034599558,2.56635e-10,1.6503369e-06,4.6576355e-05,2.5856552e-09,3.6525145e-19,0.020003507,1.582039e-07
Sequence_21,7.656278e-06,0.89249665,0.018921223,0.029276902,0.001942438,6.5357066e-09,1.4281582e-05,8.637585e-05,1.0385716e-06,9.611468e-18,0.0024937359,1.539892e-05
Sequence_22,3.403504e-08,0.25465724,0.0024768654,0.0010914878,1.540891e-05,9.6367615e-11,0.008367489,0.00017409273,2.7893436e-06,1.2873089e-19,8.2824125e-05,2.6087907e-08
Sequence_23,2.0160354e-07,0.084101416,0.001187609,0.13610393,1.9971687e-07,2.5520414e-11,3.671814e-07,0.0017219385,9.7241085e-08,6.908686e-26,0.0005516336,1.7794506e-09
Sequence_24,3.300524e-07,0.80436945,0.00020315735,0.0010564876,0.0012496826,6.426621e-11,4.608439e-05,0.0004414843,2.3705884e-07,7.061462e-20,0.002644627,8.4143096e-07
Sequence_25,9.915699e-06,0.3651083,0.008572065,3.7486898e-05,6.80291e-06,1.2250104e-08,3.963949e-08,0.062727354,1.1179627e-06,1.2860355e-22,0.00016927383,5.4395905e-06
