ProtID,experiment,nuclear_speckle,p-body,pml-body,post_synaptic_density,stress_granule,chromosome,nucleolus,nuclear_pore_complex,cajal_body,rna_granule,cell_junction,transcriptional
design_1,original+LLPhyScore features,6.763214e-10,8.7257984e-05,0.5112652,3.319385e-05,1.0620675e-07,0.0008246454,4.731211e-06,0.043596514,2.6311224e-07,4.0127148e-18,0.44418803,1.6674775e-07
design_10,original+LLPhyScore features,9.967484e-10,0.116350725,1.0754288e-11,1.488063e-05,0.8666101,2.3734324e-12,6.504632e-11,0.01473313,0.0017743635,1.9067143e-19,0.0004743621,4.24936e-05
design_100,original+LLPhyScore features,1.6089538e-06,0.1884986,5.167964e-08,4.6483657e-09,0.4539929,0.025977448,2.3930552e-05,0.33148465,2.018603e-05,2.4478747e-11,6.2937073e-07,9.929803e-08
design_11,original+LLPhyScore features,5.612468e-11,0.9096007,1.4667705e-09,1.1846311e-11,0.09032224,5.16179e-05,7.2358084e-06,1.5355308e-05,5.5452066e-08,3.0904742e-14,2.6718249e-06,1.731581e-09
design_12,original+LLPhyScore features,2.8844076e-08,0.24744794,3.2833318e-09,5.972216e-08,0.6376145,1.6602498e-07,2.905307e-07,0.11472385,7.5935086e-06,5.010152e-16,0.00020556228,2.93025e-08
design_13,original+LLPhyScore features,0.00016437577,0.8494352,5.623104e-07,6.942666e-07,0.1502861,1.0862291e-06,7.953765e-07,8.9997666e-05,3.809763e-06,3.6265159e-13,3.694052e-07,1.6985541e-05
design_14,original+LLPhyScore features,5.2173434e-08,0.09348693,3.0580256e-06,8.8999934e-14,0.614573,0.28853562,0.0019527546,0.0014123091,3.857661e-07,1.4569072e-11,3.597824e-05,2.7369465e-08
design_15,original+LLPhyScore features,0.0006875866,0.10794523,1.2329353e-07,8.006854e-13,0.49853498,0.0001250257,5.474359e-10,0.39270037,6.6304633e-06,1.8073585e-16,2.7162412e-09,5.807508e-08
design_16,original+LLPhyScore features,6.878539e-14,0.5196389,1.7822586e-10,3.1266287e-19,0.4760313,1.4186702e-06,8.9856234e-10,0.0043280674,1.5308002e-08,2.8776699e-21,3.4523224e-09,3.2600556e-07
design_17,original+LLPhyScore features,1.0337895e-07,0.94380736,3.929754e-06,1.0393986e-11,0.043329872,0.0015612704,0.0063906875,6.7636356e-05,0.0048364676,1.8168761e-07,3.004302e-07,2.0093169e-06
design_18,original+LLPhyScore features,4.8212907e-08,0.36645418,1.5531194e-08,5.7214478e-09,0.12493776,1.8214332e-05,8.067873e-09,0.50828403,9.6656375e-05,8.0085573e-16,0.00020908337,4.6312433e-08
design_19,original+LLPhyScore features,6.963976e-07,0.4528761,1.9934403e-09,1.5234068e-08,0.54407114,0.00023285655,8.832947e-08,0.0027870769,3.0274524e-07,2.7908604e-14,3.1772575e-05,4.876192e-09
design_2,original+LLPhyScore features,4.6732075e-07,0.37614384,7.26637e-08,4.7660925e-10,0.61298424,0.0005382514,1.0376758e-06,0.010329144,1.4563759e-06,1.3195886e-11,1.0148154e-06,4.790211e-07
design_20,original+LLPhyScore features,0.0030655067,0.72515917,4.4765315e-08,8.1873446e-11,0.27107385,0.00030161353,7.1666614e-06,3.2211694e-05,4.6967705e-09,2.4408255e-12,0.0003604099,4.1650722e-08
design_21,original+LLPhyScore features,6.8539644e-06,0.7095912,2.922211e-09,6.0260233e-21,0.03917739,0.043421756,0.20779611,4.825677e-06,1.7976305e-06,1.6827312e-10,4.5062996e-13,2.5440623e-09
design_22,original+LLPhyScore features,6.118056e-11,0.5010826,4.273614e-09,1.7864479e-09,0.4979813,3.951702e-08,1.5368329e-10,0.0009359611,5.2239185e-10,8.581422e-20,4.81693e-08,6.468481e-08
design_23,original+LLPhyScore features,4.399862e-09,0.43654913,1.867448e-09,5.8580862e-15,0.56335586,4.079715e-05,2.1464789e-08,5.3995693e-05,2.3432795e-08,4.796448e-15,2.2336036e-07,4.10687e-08
design_24,original+LLPhyScore features,1.2729587e-09,0.4418153,5.9538326e-11,1.3107401e-15,0.5576192,1.3998938e-05,2.1030474e-11,0.00055123906,1.6466146e-09,2.3809757e-18,1.0031882e-12,2.0377716e-07
design_25,original+LLPhyScore features,2.2045352e-09,0.4882795,5.0180704e-09,5.5244823e-12,0.4934304,0.0003623205,5.9543575e-09,0.017927865,2.6045513e-10,2.0502884e-16,4.634521e-15,3.0984029e-09
design_26,original+LLPhyScore features,3.2672437e-05,0.4068491,4.2479423e-06,9.932444e-11,0.56573534,7.522678e-05,2.1887372e-06,0.027169231,0.0001222359,1.873683e-12,3.4780523e-08,9.735681e-06
design_27,original+LLPhyScore features,2.3048349e-06,0.5026907,1.5533376e-05,1.4678148e-12,0.4720098,0.023040257,0.001985558,3.7825474e-05,5.5958477e-05,2.3154493e-07,5.8533215e-06,0.00015607316
design_28,original+LLPhyScore features,1.7428704e-10,0.0075749136,3.1614416e-11,1.9442392e-09,0.64380234,9.709555e-07,7.1704225e-09,0.34861022,1.1335023e-05,7.465513e-19,1.859336e-07,3.350375e-08
design_29,original+LLPhyScore features,2.13707e-09,0.058386747,6.597574e-12,8.058222e-09,0.19891904,1.2968265e-05,2.7888322e-10,0.7426705,1.0606118e-05,2.773567e-20,1.5662506e-07,1.3562219e-09
design_3,original+LLPhyScore features,2.6655534e-11,0.58401406,1.710191e-09,6.345997500000002e-22,0.0003050663,0.41095093,0.0019137216,0.0028158822,3.6730492e-07,7.938341e-16,1.0680699e-11,3.8231533e-08
design_30,original+LLPhyScore features,0.0041640177,0.08347524,1.469297e-06,2.8569827e-06,0.013535904,0.82416487,0.073349975,0.00022458711,0.0010330222,4.8035847e-05,9.711826e-11,4.4630756e-08
design_31,original+LLPhyScore features,5.4285274e-06,0.41374683,4.1299478e-07,9.357578e-07,0.5301178,0.00025263042,2.936957e-07,0.05492022,0.0008986208,2.719703e-11,4.452499e-05,1.233027e-05
design_32,original+LLPhyScore features,5.1467064e-10,0.523046,1.8895947e-09,6.559104e-07,0.41643378,0.0033523112,2.6848261e-09,0.057167117,5.2892013e-08,6.416357e-17,3.550516e-11,2.873981e-10
design_33,original+LLPhyScore features,1.3197456e-10,0.77388614,4.978407e-10,7.567636e-12,0.2204572,0.0024974532,4.304393e-05,0.0031136859,2.496834e-06,1.4470956e-13,3.2786556e-13,1.2053175e-09
design_34,original+LLPhyScore features,0.0003316821,0.06379374,5.0488818e-09,2.9223928e-12,0.23737085,0.002840986,6.3962625e-07,0.6943393,0.001322793,8.8750466e-14,7.3743256e-09,5.1579494e-08
design_35,original+LLPhyScore features,0.00027344123,0.026011152,1.7879386e-06,8.146263e-11,0.94798136,0.02526534,3.0188754e-05,0.00043481524,1.827476e-06,6.2651294e-11,1.6595071e-09,7.0264264e-08
design_36,original+LLPhyScore features,9.9195684e-05,0.057064693,5.4997432e-05,3.6854033e-08,0.9014028,0.0030324876,3.1546973e-05,0.037919994,0.00035027525,8.434198e-09,4.37118e-05,2.7155062e-07
design_37,original+LLPhyScore features,3.0246494e-09,0.0027675403,1.9205721e-09,2.9442083e-14,0.9929598,0.002663531,0.00071070326,0.00089667656,1.729368e-06,9.56585e-15,3.0476063e-08,6.0122e-11
design_38,original+LLPhyScore features,3.0619435e-06,0.46915194,4.2980864e-07,3.6656774e-14,0.23638031,0.29365247,0.0007310363,7.846458e-05,2.133312e-06,1.2323824e-08,6.0109433e-09,1.17718116e-07
design_39,original+LLPhyScore features,2.2276828e-07,0.7914214,6.4615318e-09,6.0386746e-08,0.20851496,2.786689e-07,5.68875e-05,4.092257e-06,2.2048541e-06,1.4574017e-11,3.237951e-09,7.833888e-09
design_4,original+LLPhyScore features,0.000117841475,0.3613234,7.088666e-08,0.00048481819,0.6372637,0.00016941593,1.3465463e-07,0.0005769247,1.0801174e-05,1.2326852e-09,4.0239893e-06,4.888908e-05
design_40,original+LLPhyScore features,2.9255122e-07,0.12014629,1.0886149e-05,1.6094356e-14,0.6460494,0.21965393,0.014126116,1.7993739e-06,8.17224e-07,3.6549028e-07,8.7426386e-08,9.847545e-06
design_41,original+LLPhyScore features,0.00016604814,0.46499926,1.1443271e-07,7.357205e-08,0.3602801,2.3545434e-05,8.710914e-08,0.17452694,1.9331033e-08,3.957371e-16,3.8348508e-06,3.2873036e-08
