seqid,AA_A,AA_C,AA_D,AA_E,AA_F,AA_G,AA_H,AA_I,AA_K,AA_L,AA_M,AA_N,AA_P,AA_Q,AA_R,AA_S,AA_T,AA_V,AA_W,AA_Y,CLV_C14_Caspase3-7,DEG_APCC_KENBOX_2,DEG_Kelch_Keap1_1,DEG_SCF_TRCP1_1,DOC_ANK_TNKS_1,DOC_CYCLIN_RxL_1,DOC_MAPK_JIP1_4,DOC_MAPK_MEF2A_6,DOC_MAPK_NFAT4_5,DOC_MAPK_gen_1,DOC_PP1_RVXF_1,DOC_PP2A_B56_1,DOC_PP4_FxxP_1,DOC_WW_Pin1_4,D_repeats,ED_ratio,ELASTIN_LIKE,E_repeats,FG_repeats,FG_rich,FGxF,FRG,G_repeats,KAP_repeats,KL_hydropathy,K_repeats,LIG_14-3-3_CanoR_1,LIG_CaM_IQ_9,LIG_CtBP_PxDLS_1,LIG_EF_ALG2_ABM_1,LIG_EH_1,LIG_HCF-1_HBM_1,LIG_HOMEOBOX,LIG_KEPE_2,LIG_KLC1_WD_1,LIG_LIR_Gen_1,LIG_PAM2_1,LIG_PCNA_PIPBox_1,LIG_PDZ_Class_1,LIG_PDZ_Wminus1_1,LIG_PTAP_UEV_1,LIG_PTB_Apo_2,LIG_PTB_Phospho_1,LIG_Rb_LxCxE_1,LIG_SH2_CRK,LIG_SH2_GRB2like,LIG_SH2_NCK_1,LIG_SH2_SRC,LIG_SH2_STAP1,LIG_SH2_STAT5,LIG_SH3_2,LIG_SUMO_SIM_anti_2,LIG_SUMO_SIM_par_1,MOD_CDK_SPK_2,MOD_CDK_SPxK_1,MOD_CDK_SPxxK_3,MOD_CK1_1,MOD_CK2_1,MOD_DYRK1A_RPxSP_1,MOD_GSK3_1,MOD_N-GLC_1,MOD_NMyristoyl,MOD_PIKK_1,MOD_PKA_1,MOD_PKA_2,MOD_PKB_1,MOD_Plk_1,MOD_ProDKin_1,MOD_SUMO_for_1,MOD_SUMO_rev_2,N_repeats,PG_rich,PR_repeats,PTS_repeats,PY,P_repeats,QN_repeats,Q_repeats,REP_RGG,RG_repeats,RK_ratio,R_plus_Y,R_repeats,SGFYSG,SG_repeats,SR_repeats,S_repeats,TRG_ER_FFAT_1,TRG_ER_diArg_1,TRG_LysEnd_APsAcLL_1,TRG_NES_CRM1_1,TRG_NLS_MonoExtN_4,acidic,aliphatic,aromatic,basic,chain_expanding,complexity,custom_kappa,custom_omega,disorder_promoting,fcr,isoelectric_point,net_charge,polar_fraction,scd,srpipi,lrpipi,Water,Carbon,ssH,ssE,disL,disS,srELEC,lrELEC,sr_hb,lr_hb,srCATPI,lrCATPI,larkSIM,larkFAR
A0A024R2Q3_HUMAN_nonidr_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,1.0,0.0,5.525012969970703,0.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
A0A024R2Q3_HUMAN_nonidr_1,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35000000000000026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.5,0.0,0.0,0.16666666666666666,0.7979152904636745,nan,nan,0.3333333333333333,0.16666666666666666,3.799793243408203,-1.0,0.3333333333333333,0.0,0.038410350171747966,0.03344183283253157,3.1484720523093497,15.566004472729132,0.2765154744149209,0.5426224582177677,0.04237122793190749,0.10760489314425896,0.40869070108160754,-0.48992569950631903,0.11225914842958222,0.1486657093529723,-0.05289530915093195,-0.10037769018047255,0.1944298618748264,0.16828645093510114
A0A024R2Q3_HUMAN_nonidr_2,0.08264462809917356,0.024793388429752067,0.03305785123966942,0.04132231404958678,0.012396694214876033,0.08677685950413223,0.02066115702479339,0.05371900826446281,0.05371900826446281,0.1652892561983471,0.03305785123966942,0.05371900826446281,0.02066115702479339,0.045454545454545456,0.0371900826446281,0.05785123966942149,0.07024793388429752,0.07851239669421488,0.008264462809917356,0.02066115702479339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,0.20067069546215124,0.0,10.0,24.0,0.0,0.0,0.0,21.0,38.0,0.25991735537190086,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,0.0,14.0,36.0,0.0,5.0,24.0,11.0,0.0,30.0,-0.3364722366212129,14.0,9.0,0.0,35.0,23.0,14.0,0.0,0.0,1.0,1.0,0.0,0.0743801652892562,0.4132231404958678,0.04132231404958678,0.09090909090909091,0.1859504132231405,2.628980286076544,-1.0398261873628198,0.026965942178828042,0.5495867768595041,0.1652892561983471,8.738758087158203,4.0,0.359504132231405,-0.498714514059285,0.04212529487188076,0.06732304264738585,4.0998181936748495,14.841432367053068,0.4423612686360832,0.20506868865350433,0.046129292097784366,0.22633876462408836,-0.012983601301464105,-0.3459440478347873,0.18366242231438693,0.19587040353166563,-0.06430773907083287,-0.18503102216178455,0.13208012848495052,0.30104155637506136
A0A024R2Q3_HUMAN_nonidr_3,0.10344827586206896,0.017241379310344827,0.0,0.017241379310344827,0.0,0.05172413793103448,0.06896551724137931,0.05172413793103448,0.034482758620689655,0.20689655172413793,0.0,0.034482758620689655,0.1206896551724138,0.034482758620689655,0.06896551724137931,0.017241379310344827,0.017241379310344827,0.1206896551724138,0.017241379310344827,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,1.0,3.0,0.0,0.0,0.0,3.0,15.0,0.5103448275862068,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,9.0,0.0,7.0,4.0,2.0,0.0,7.0,0.5108256237659907,5.0,4.0,0.0,4.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.017241379310344827,0.4827586206896552,0.034482758620689655,0.10344827586206896,0.2413793103448276,2.1520764628777433,-1.9764383495686881,-0.297221089737314,0.5344827586206896,0.1206896551724138,10.940196990966797,5.0,0.2413793103448276,0.7828483787422302,0.052761512837012074,0.07457927167050205,4.3316179801341415,15.078133349907073,0.3951950838198334,0.19177909762462805,0.07192413160901608,0.2369400691444518,0.011054620237770648,-0.32842107808471505,0.11491308750033315,0.19405487392564805,-0.07534583361886783,-0.2166704647410949,0.1440113097325997,0.2537547806132176
A0A024R2Q3_HUMAN_nonidr_4,0.08196721311475409,0.03278688524590164,0.03278688524590164,0.08196721311475409,0.01639344262295082,0.06557377049180328,0.03278688524590164,0.11475409836065574,0.01639344262295082,0.13114754098360656,0.01639344262295082,0.04918032786885246,0.03278688524590164,0.04918032786885246,0.08196721311475409,0.01639344262295082,0.03278688524590164,0.09836065573770492,0.0,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.6931471805599453,0.0,5.0,5.0,0.0,0.0,2.0,4.0,8.0,0.3147540983606557,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,7.0,5.0,0.0,2.0,6.0,3.0,0.0,9.0,1.0986122886681098,6.0,5.0,0.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.11475409836065574,0.4426229508196721,0.03278688524590164,0.09836065573770492,0.2459016393442623,2.3350860313454787,-0.32879253111257983,-0.8069927844878834,0.5245901639344263,0.21311475409836064,6.068309783935547,-1.0,0.2786885245901639,-0.25953438834819315,0.049883106184332164,0.0697762859174118,3.993508171131899,15.343535983512426,0.46645611528640163,0.20253241063259797,0.041802768068175775,0.19648682007388266,-0.03983976664896383,-0.3389310503321364,0.14789829178017572,0.19256114352964748,-0.044278305797707,-0.1702718484376484,0.13186581760633087,0.31708391276842823
A0A024R2Q3_HUMAN_nonidr_5,0.25,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,-0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.375,0.125,0.0,0.125,1.238931965273163,nan,nan,0.625,0.125,3.9996376037597656,-1.0,0.375,0.0,0.06336772065547945,0.11341376056013615,4.402585780024984,14.721477665863445,0.3384113681489329,0.25265741037876427,0.08185919032840754,0.25331706085415334,0.061363588079355186,-0.34134567504796315,0.15637645043252799,0.18393560807135867,-0.1773170506139273,-0.37237474661487496,0.17676048745281417,0.23418072749177965
A0A024R2Q3_HUMAN_nonidr_6,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4749999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.5,0.7945134575869862,-3.810003810005715,-3.810003810005715,0.75,0.5,3.6659584045410156,-2.0,0.25,0.25,0.07333555980048657,0.058810707110492424,5.1272657602366785,13.72735703270072,0.40957171357525024,0.0787075042597162,0.10209564954215361,0.33150526338553377,0.16388499298737727,-0.37282608695652175,0.3558285384632872,0.2326827030619868,-0.007797486492375756,-0.009782354490162095,0.1287592549864845,0.21899333322078218
A0A024R2Q3_HUMAN_nonidr_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,5.525012969970703,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NBDY_HUMAN_nonidr_0,0.10294117647058823,0.029411764705882353,0.029411764705882353,0.04411764705882353,0.0,0.10294117647058823,0.014705882352941176,0.0,0.07352941176470588,0.07352941176470588,0.014705882352941176,0.029411764705882353,0.23529411764705882,0.014705882352941176,0.058823529411764705,0.08823529411764706,0.058823529411764705,0.0,0.014705882352941176,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.28768207245178085,0.0,3.0,7.0,0.0,0.0,0.0,7.0,28.0,-1.0058823529411764,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,20.0,26.0,0.0,16.0,3.0,1.0,0.0,11.0,-0.1823215567939546,5.0,4.0,0.0,13.0,10.0,6.0,0.0,0.0,0.0,0.0,1.0,0.07352941176470588,0.19117647058823528,0.029411764705882353,0.1323529411764706,0.4411764705882353,2.174304641496189,-0.6533617868280712,-1.0979473866371094,0.8235294117647058,0.20588235294117646,9.510684967041016,4.0,0.3382352941176471,0.06346452149783254,0.07117891953974599,0.09065022918440264,5.253558637880329,13.247944649417802,0.19921690523754745,0.1207952064270006,0.21654901248818775,0.3688815173948244,0.16268477934361622,-0.35611088411079006,0.16029758538568878,0.23848479079470744,-0.0931544856587373,-0.2398469794132443,0.20102698204521083,0.08317291449491666
RCCD1_HUMAN_nonidr_0,0.09090909090909091,0.045454545454545456,0.0,0.13636363636363635,0.18181818181818182,0.2727272727272727,0.0,0.0,0.0,0.045454545454545456,0.045454545454545456,0.0,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,0.0,3.0,10.0,4.0,0.0,6.0,6.0,3.0,-0.018181818181818184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,7.0,0.6931471805599453,1.0,1.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.18181818181818182,0.22727272727272727,0.045454545454545456,0.22727272727272727,1.6467713481676896,-0.5964651367409652,-0.6230890788981107,0.6363636363636364,0.18181818181818182,4.252620697021484,-2.0,0.36363636363636365,0.12890494168350675,0.11129928737242911,0.16300695797363432,4.464121137374493,14.38210001618344,0.3091366070350029,0.20310037423650384,0.12577308339941315,0.3033931495273093,0.06521500227757895,-0.34780851735290125,0.10313678725559305,0.19812221949091777,-0.2890493159302133,-0.5690405315407188,0.1857418382195774,0.1741810603929688
