ProteinID,nuclear_speckle,p-body,pml-body,post_synaptic_density,stress_granule,chromosome,nucleolus,nuclear_pore_complex,cajal_body,rna_granule,cell_junction,transcriptional
design_1,0.0009160618,0.84275043,0.017247869,0.0008881421,0.0035036781,5.282983e-09,0.016742112,3.392742e-05,0.0003248673,6.5365535e-13,0.0008273654,5.062782e-05
design_2,6.5756818e-09,0.00027417718,2.841565e-05,0.00065460836,4.474187e-09,1.4527606e-07,1.5316763e-08,0.61130667,1.366541e-07,6.9435547e-28,0.0014773766,3.0302052e-09
design_3,0.00022357104,0.4297012,0.0004134304,0.0020982388,5.71762e-05,1.0203105e-06,0.002518478,0.0005569243,2.1319654e-06,6.2516844e-16,0.0006424681,2.7786572e-07
design_4,1.8156741e-05,0.0013277681,0.003446684,0.0047302386,1.2064779e-09,2.813661e-08,0.0012805772,8.0456964e-05,3.8549476e-07,2.9637731e-24,0.00063783437,9.21942e-10
design_5,1.3358294e-08,7.393143e-05,0.00010703688,0.05402676,1.86838e-09,1.0068476e-08,5.346287e-09,0.029339543,8.160262e-10,1.0443798e-29,0.020886565,2.3992017e-10
design_6,6.613911e-08,0.0063918964,0.00103773,0.21397296,6.82093e-07,1.069854e-07,4.9583945e-11,0.19255958,3.5783083e-09,7.9632316e-26,0.0014134976,1.302522e-07
design_7,2.1269718e-06,0.14536771,0.0072293337,0.0008694283,0.00024269127,0.0002785919,4.913335e-06,0.24069163,1.2911403e-07,2.6466955e-16,0.0001601454,1.2472166e-06
design_8,1.8181828e-07,0.011894167,0.00094120705,0.018586405,6.605411e-09,3.791562e-09,1.8107036e-06,0.00059167907,7.943901e-08,4.3852364e-25,0.0010272368,9.2224335e-09
design_9,3.2351206e-08,0.005356869,2.8702132e-05,0.0030269038,2.8187033e-09,2.6307927e-07,1.2132349e-05,0.0013900019,1.4861811e-07,8.804715e-26,2.7871292e-05,1.6484903e-09
design_10,3.4232748e-09,0.016398787,2.9867073e-05,0.019299915,6.407107e-09,3.517522e-08,4.0638415e-06,0.0023094886,5.6512754e-09,1.3718136e-26,0.0009211536,9.0930696e-10
design_11,2.073779e-05,0.04246516,0.013243026,0.03972206,1.630045e-05,6.5280216e-07,4.5902943e-05,0.014769363,1.3675856e-06,2.332724e-18,0.00040262743,3.9038608e-07
design_12,3.6848355e-06,0.18433616,0.019108867,0.02027159,2.4642234e-06,1.5449152e-06,4.8611004e-05,0.0073329797,1.6654394e-07,5.766765e-19,0.001718181,2.3544231e-07
design_13,5.5228577e-07,0.0005300168,0.0005370598,0.24794763,7.1378614e-09,6.957577e-07,2.5816713e-05,0.009676548,2.7526383e-07,1.8914652e-23,0.00018544061,2.4554332e-09
design_14,1.0566313e-08,0.0008663045,0.0005662016,0.10794876,1.0844899e-06,2.117476e-08,1.9171614e-07,0.18923068,8.776422e-09,7.068694e-25,0.0019184367,2.2054023e-09
design_15,7.190377e-08,0.0020515802,0.006272898,0.5720571,7.2334313e-07,2.099983e-09,2.4840361e-05,0.0037560828,1.7789564e-07,2.4251053e-24,1.3866024e-05,2.7174452e-09
design_16,3.2260635e-07,0.6822697,0.0005761072,7.484552e-06,0.0009918796,4.209699e-07,2.1798007e-05,0.12576541,2.0449746e-05,1.2986346e-17,2.0384072e-05,7.924983e-06
design_17,3.6848178e-06,0.013017952,0.001306857,3.428408e-05,1.5397187e-05,5.179374e-06,8.15683e-08,0.1620604,3.7933188e-07,2.3894896e-20,0.013697457,3.3449287e-06
design_18,1.4774437e-06,0.06130026,0.0010537052,0.39836404,3.6913632e-06,5.320469e-09,1.4686553e-06,0.008805067,8.429845e-08,2.1502226e-23,6.833881e-06,5.210789e-09
design_19,2.8847484e-07,0.011652923,0.0001923201,0.0041230517,5.938313e-08,6.875411e-08,3.3727733e-07,0.29492778,7.017559e-08,2.3073347e-24,0.0008889921,3.8927905e-09
design_20,1.5525676e-07,0.00010246856,3.8060218e-05,0.00045330083,5.153085e-10,2.2129475e-06,2.82431e-06,0.0024131518,1.0686096e-08,3.958645e-27,0.12365006,8.769038e-10
