ProteinID,nuclear_speckle,p-body,pml-body,post_synaptic_density,stress_granule,chromosome,nucleolus,nuclear_pore_complex,cajal_body,rna_granule,cell_junction,transcriptional
Sequence_1,0.89625186,0.00024249557,2.1182211e-06,0.0004987006,2.7745601e-08,1.2765354e-06,1.1156701e-11,1.8491536e-07,8.578861e-08,8.865038e-27,9.994088e-06,1.8307864e-08
Sequence_2,2.49317e-08,0.65631145,6.035073e-12,5.2905325e-10,0.06815432,0.115551196,1.3735602e-06,9.833159e-06,1.693584e-09,1.3977518e-16,2.7366014e-13,5.2098995e-11
Sequence_3,2.3977854e-16,3.7623457e-05,3.2300478e-11,4.131852e-08,4.295193e-07,0.56942946,2.8741327e-09,0.5199102,4.3296473e-12,8.960455e-31,0.00043530637,1.4426888e-11
Sequence_4,1.4548237e-09,0.1315237,3.1127133e-06,0.0003757202,0.94177485,2.8501805e-07,6.14296e-13,0.07767971,1.5645277e-08,9.623859e-20,0.0046762996,4.819884e-08
Sequence_5,1.4184941e-08,0.015071935,0.005023511,1.8301672e-07,0.00074819126,0.25850508,0.00042428114,0.025193961,2.5631376e-05,1.7522493e-14,0.0052281194,1.6091056e-07
Sequence_6,2.4339354e-06,0.00017256005,5.4824246e-05,8.375234e-14,1.6146227e-07,0.87627226,2.9766522e-07,0.74207205,0.0030012983,1.4657417e-17,2.2444617e-08,1.8497367e-08
Sequence_7,0.00017034408,2.3125276e-06,9.3633815e-08,0.0005977651,0.0020419366,0.268846,1.3511858e-07,1.4873844e-10,2.591752e-10,5.225132e-16,0.013045257,1.3088726e-07
Sequence_8,0.02583851,3.123454e-05,1.3139785e-08,1.4528758e-06,1.06240336e-07,7.002464e-08,0.93971086,1.2269324e-08,0.0007319615,7.703653e-15,0.014316431,4.4487685e-09
Sequence_9,3.792562e-08,3.1940264e-05,1.1739653e-07,4.436727e-06,7.831377e-07,8.36307e-05,1.8565353e-10,0.0019879304,8.103513e-09,3.766814e-29,0.014432801,7.9768036e-08
Sequence_10,7.816475e-09,0.019161206,0.9853152,1.5620884e-08,4.205796e-05,8.702453e-05,0.000100504374,8.909503e-05,7.201427e-05,9.356396e-13,0.0063615055,0.0131626
Sequence_11,4.546712e-15,1.915346e-08,0.115843065,7.989889e-18,2.1051896e-08,0.0016915388,0.00079821947,0.0016183249,6.224008e-05,8.882281e-24,2.0871109e-07,7.855664e-09
Sequence_12,0.0007253485,3.5583967e-06,1.9695747e-09,0.024684431,0.00043521178,4.8705454e-07,0.047401354,2.6352598e-06,0.0075690886,6.711016e-17,8.484278e-10,5.411399e-10
Sequence_13,1.9453042e-08,6.471484e-07,7.4484437e-06,0.038021103,9.751635e-08,4.485198e-10,1.699872e-13,0.0014855094,1.5287379e-06,3.3522096e-26,0.8812458,7.912077e-07
Sequence_14,1.2135469e-07,0.96712196,7.303929e-07,0.0013030979,0.0072303126,1.1746188e-08,5.017381e-05,2.8812214e-05,0.00032220205,1.1005414e-15,2.0601092e-06,9.07383e-08
Sequence_15,0.15977766,6.251633e-05,1.0437656e-06,4.0967365e-11,0.0018918306,0.90637493,4.5952764e-10,0.00097315566,0.00032922457,5.5934285e-14,1.8224666e-08,4.8083785e-07
Sequence_16,0.003776992,1.13664255e-05,2.2590125e-08,5.4374192e-14,3.4191849e-12,0.98919266,0.018803658,8.805769e-08,6.140392e-10,9.8604095e-24,1.7608769e-05,1.3095031e-11
Sequence_17,1.35479095e-05,0.1501846,4.910379e-06,1.4856517e-14,5.4146873e-05,0.9606401,0.0006434612,0.00029826086,9.703349e-06,4.6340186e-15,2.3517046e-08,2.7358706e-07
Sequence_18,6.1715575e-09,0.00017276107,0.2711349,7.702542e-06,1.7084972e-07,5.5822176e-07,3.8131697e-07,0.008874419,6.091247e-05,2.5558537e-20,0.01566478,1.254511e-07
Sequence_19,7.713325e-08,3.004398e-10,1.1942313e-07,0.8783121,2.5846665e-11,9.447545e-10,4.0952176e-24,3.0641502e-05,5.815753e-06,5.54761e-38,7.1010103e-12,6.8396355e-09
Sequence_20,1.041655e-09,0.26647192,2.9499179e-06,7.640228e-09,0.8604396,2.0101604e-07,3.5496116e-05,0.0013303402,2.7107533e-05,7.653889e-14,3.697094e-05,5.18449e-08
Sequence_21,1.794476e-11,9.4746093e-07,3.6749448e-08,0.007667355,2.4897528e-12,1.4347577e-08,0.001477653,9.155206e-08,3.262981e-05,3.2740218e-24,0.34177133,1.9822295e-13
Sequence_22,1.1988281e-12,0.00044552068,2.2414434e-10,1.2157866e-10,1.937432e-06,0.00012439748,0.9990503,0.00025316386,6.5986524e-06,2.4318173e-20,2.712569e-07,1.7725104e-12
Sequence_23,1.1963561e-09,0.6078835,0.00012260207,1.5341519e-06,3.056012e-06,3.8588063e-05,0.00069746055,0.013849254,1.3968321e-06,1.3850331e-18,0.00059905776,4.4012285e-08
Sequence_24,1.4956731e-15,0.96465266,5.7394655e-11,2.0184718e-12,1.6765385e-06,5.5576416e-05,0.000106588726,0.023023171,5.143525e-06,4.3737468e-23,2.2791493e-09,3.0235382e-12
Sequence_25,1.02691e-07,1.772372e-05,4.477281e-06,3.120194e-12,2.4564802e-06,0.000562001,1.7972898e-13,0.9984427,0.0033657663,1.1814883e-22,0.00012814802,2.4201005e-05
Sequence_26,6.470617e-15,3.2182423e-05,1.2330836e-06,3.717577e-15,4.918633e-07,0.02361649,0.9554387,0.00013425195,0.012096367,6.054624e-17,7.756737e-06,1.568295e-08
Sequence_27,3.807181e-08,0.017259309,1.3348439e-08,1.1535987e-09,0.3194721,0.2071323,8.195907e-13,0.0041947,6.555103e-10,9.457846e-16,0.06073769,1.2614937e-06
Sequence_28,9.554999e-12,6.238197e-05,7.407751e-12,3.178096e-19,7.48658e-13,0.2169426,0.99014,8.319362e-06,3.0129343e-12,8.084711e-35,1.8958335e-10,7.180378e-14
Sequence_29,1.1523736e-13,0.06847476,3.3563985e-08,5.44817e-07,0.98491734,6.7359315e-06,6.068811e-13,0.22452708,4.7724966e-12,4.8524563e-26,5.796168e-07,2.6948442e-08
Sequence_30,3.0179642e-10,1.3204288e-05,8.34299e-05,9.122119e-09,5.053545e-06,4.0947e-07,1.8584272e-14,0.9732285,2.6034035e-05,3.5649697e-24,0.0628023,7.830371e-08
Sequence_31,5.2723047e-12,0.6001043,1.4199044e-08,1.617565e-09,0.00041888352,0.00010544274,6.468959e-05,0.7169521,0.00058927195,4.980079e-15,3.3035555e-08,1.0037389e-09
