ProtID,experiment,cajal_body,cell_junction,chromosome,nuclear_pore_complex,nuclear_speckle,nucleolus,p-body,pml-body,post_synaptic_density,rna_granule,stress_granule,transcriptional
Sequence_1,randomly generated,3.832403e-08,3.513214e-05,0.041015875,0.3032053,5.00715e-10,0.0029556316,0.6495683,0.00030586735,1.7414927e-11,4.180878e-14,0.0029138678,3.7525542e-08
Sequence_10,randomly generated,2.144375e-06,3.6449777e-08,0.6626042,0.022257403,0.00018755338,8.631043e-05,0.2919843,0.00088250736,7.102686e-05,2.5041186e-11,0.021923563,9.202209e-07
Sequence_100,randomly generated,1.0865584e-13,0.5156696,8.345326e-10,1.4672128e-11,2.083668e-11,4.1899506e-07,0.4752943,2.0511037e-09,6.0979016e-10,1.0337627e-20,0.009034036,1.6427576e-06
Sequence_11,randomly generated,5.456411e-09,0.9991613,0.00016467407,2.0769726e-06,5.2463304e-07,1.2387312e-08,0.00033974586,0.00017162922,3.1865228e-13,1.2116493e-21,0.00015719437,2.8136546e-06
Sequence_12,randomly generated,1.2712782e-06,1.0572665e-05,2.171035e-05,0.9997656,2.6574253e-11,2.3694502e-10,3.9740464e-12,0.0001807457,2.0201996e-05,2.0169466e-35,8.552895600000001e-16,9.819439e-12
Sequence_13,randomly generated,4.706743e-08,0.05449588,0.00023668741,0.9451595,1.26662205e-11,8.523394500000001e-16,2.9025873e-10,0.000107795066,9.717575599999999e-18,1.154404e-33,1.3839192e-11,4.6619784e-09
Sequence_14,randomly generated,1.7446846e-12,0.00224949,3.7603252e-06,2.5688621e-05,1.3391842e-16,1.5146336e-10,0.9166352,2.7215528e-06,0.0116149355,1.4958861e-21,0.06946782,3.945363e-07
Sequence_15,randomly generated,9.996865e-09,1.6807415e-11,0.51116574,1.5889829e-07,1.6402173e-11,0.48881564,9.779848e-08,1.8404642e-05,1.3015862e-11,2.6070671e-20,1.3674855e-09,3.2317915e-10
Sequence_16,randomly generated,1.023115e-09,0.00083269697,0.6789223,0.31944707,4.1806754e-07,5.797008e-12,0.00079650397,9.493318e-07,3.4789047e-13,1.0236974e-23,3.5501074e-08,8.119173e-10
Sequence_17,randomly generated,0.0023985575,3.0613407e-08,7.821325e-06,3.736516e-05,1.8584002e-05,2.3599416e-06,0.6346478,0.00024896453,0.0014561621,4.30422e-14,0.3611815,8.399323e-07
Sequence_18,randomly generated,7.2458064e-08,0.9954555,1.1329988e-09,1.3276121e-09,0.000999125,2.1473582e-08,0.0035349405,2.1298537e-07,5.5841206e-06,8.705647e-21,1.047054e-06,3.4225445e-06
Sequence_19,randomly generated,7.568155e-06,2.820571e-06,2.4014755e-06,1.3167654e-05,3.078031e-07,1.0954158e-07,0.00066951837,4.2534026e-05,0.0017055299,2.1300062e-12,0.9975556,4.4506842e-07
Sequence_2,randomly generated,1.2896231e-09,1.1569675e-10,0.39124602,4.9092746e-06,1.14120054e-10,0.0003106857,0.60669357,8.28974e-08,4.2655469999999996e-20,2.1463133e-16,0.001744645,4.3494136e-08
Sequence_20,randomly generated,5.276099e-06,0.6241304,0.0008479972,0.12490309,3.170156e-12,2.1013907e-14,5.336752e-05,1.9686138e-07,0.24264358,6.1701185e-20,0.0074112876,4.844692e-06
Sequence_21,randomly generated,9.309972e-08,0.0005244085,0.9917354,0.0003129444,2.2254965e-11,3.3435379e-06,6.4439702e-09,2.5528973e-07,9.901336e-10,2.2618007e-20,0.007423506,9.1363733e-10
Sequence_22,randomly generated,2.3882478e-08,2.7534359e-06,0.5028343,6.5267907e-09,3.4722464e-10,0.4971628,4.5550976e-08,2.4584114e-08,5.185443e-08,9.748140999999999e-20,7.704403e-12,2.6647861e-12
Sequence_23,randomly generated,0.00023335613,0.12811859,4.0976112e-05,0.001164499,2.6927132e-14,0.6447532,0.0851046,0.00067896507,7.754504e-05,8.213024000000001e-17,0.13982823,2.3080883e-08
Sequence_24,randomly generated,0.0011739742,0.032303505,6.310369e-09,0.044932246,5.1519065e-09,6.9110385e-08,0.9209242,5.1765874e-05,4.976772e-06,2.543915e-18,0.00045782427,0.00015143708
