ProtID,Predicted Compartment,Score
design_1,Extracellular,0.014091122
design_1,Plastid,0.013774235
design_1,Cytoplasm,0.26753712
design_1,Mitochondrion,0.061808188
design_1,Nucleus,0.26257572
design_1,Endoplasmic.reticulum,0.06345089
design_1,Golgi.apparatus,0.155316
design_1,Cell.membrane,0.117367685
design_1,Lysosome/Vacuole,0.027968496
design_1,Peroxisome,0.016110523
design_2,Extracellular,0.018091721
design_2,Plastid,0.011709811
design_2,Cytoplasm,0.31305707
design_2,Mitochondrion,0.02964973
design_2,Nucleus,0.3348637
design_2,Endoplasmic.reticulum,0.031854324
design_2,Golgi.apparatus,0.07369517
design_2,Cell.membrane,0.15059209
design_2,Lysosome/Vacuole,0.016198566
design_2,Peroxisome,0.020287748
design_3,Extracellular,0.024695696
design_3,Plastid,0.023834944
design_3,Cytoplasm,0.33400905
design_3,Mitochondrion,0.035623536
design_3,Nucleus,0.3411032
design_3,Endoplasmic.reticulum,0.021684198
design_3,Golgi.apparatus,0.027374664
design_3,Cell.membrane,0.14369468
design_3,Lysosome/Vacuole,0.033462454
design_3,Peroxisome,0.014517476
design_4,Extracellular,0.020120168
design_4,Plastid,0.02222202
design_4,Cytoplasm,0.33195773
design_4,Mitochondrion,0.022618396
design_4,Nucleus,0.3455773
design_4,Endoplasmic.reticulum,0.014966747
design_4,Golgi.apparatus,0.026048275
design_4,Cell.membrane,0.17031173
design_4,Lysosome/Vacuole,0.039388116
design_4,Peroxisome,0.0067894966
design_5,Extracellular,0.016717354
design_5,Plastid,0.01895479
design_5,Cytoplasm,0.33346295
design_5,Mitochondrion,0.027982105
design_5,Nucleus,0.33432078
design_5,Endoplasmic.reticulum,0.028498039
design_5,Golgi.apparatus,0.029186066
design_5,Cell.membrane,0.1568325
design_5,Lysosome/Vacuole,0.04362119
design_5,Peroxisome,0.010424141
design_6,Extracellular,0.025680555
design_6,Plastid,0.01329015
design_6,Cytoplasm,0.32939833
design_6,Mitochondrion,0.02612371
design_6,Nucleus,0.3433668
design_6,Endoplasmic.reticulum,0.025349472
design_6,Golgi.apparatus,0.05686474
design_6,Cell.membrane,0.1404833
design_6,Lysosome/Vacuole,0.019022718
design_6,Peroxisome,0.020420318
design_7,Extracellular,0.024084263
design_7,Plastid,0.024308085
design_7,Cytoplasm,0.33349106
design_7,Mitochondrion,0.035907537
design_7,Nucleus,0.33984634
design_7,Endoplasmic.reticulum,0.02026325
design_7,Golgi.apparatus,0.03140243
design_7,Cell.membrane,0.13806926
design_7,Lysosome/Vacuole,0.041000027
design_7,Peroxisome,0.011627757
design_8,Extracellular,0.026416723
design_8,Plastid,0.011282187
design_8,Cytoplasm,0.31894335
design_8,Mitochondrion,0.040069092
design_8,Nucleus,0.32978734
design_8,Endoplasmic.reticulum,0.033207193
design_8,Golgi.apparatus,0.07680367
design_8,Cell.membrane,0.100714624
design_8,Lysosome/Vacuole,0.024533289
design_8,Peroxisome,0.038242504
