ProtID,Predicted Compartment,Score
Sequence_1,Extracellular,0.013082963
Sequence_1,Plastid,0.008878932
Sequence_1,Cytoplasm,0.27636513
Sequence_1,Mitochondrion,0.024601307
Sequence_1,Nucleus,0.30670032
Sequence_1,Endoplasmic.reticulum,0.08131242
Sequence_1,Golgi.apparatus,0.0874885
Sequence_1,Cell.membrane,0.1598332
Sequence_1,Lysosome/Vacuole,0.032358654
Sequence_1,Peroxisome,0.009378633
Sequence_2,Extracellular,0.020022528
Sequence_2,Plastid,0.012297149
Sequence_2,Cytoplasm,0.36131144
Sequence_2,Mitochondrion,0.031964015
Sequence_2,Nucleus,0.36302698
Sequence_2,Endoplasmic.reticulum,0.02615308
Sequence_2,Golgi.apparatus,0.0384808
Sequence_2,Cell.membrane,0.11061218
Sequence_2,Lysosome/Vacuole,0.025558753
Sequence_2,Peroxisome,0.010573059
Sequence_3,Extracellular,0.022169992
Sequence_3,Plastid,0.016106362
Sequence_3,Cytoplasm,0.34275565
Sequence_3,Mitochondrion,0.036560923
Sequence_3,Nucleus,0.34174678
Sequence_3,Endoplasmic.reticulum,0.03776897
Sequence_3,Golgi.apparatus,0.040367216
Sequence_3,Cell.membrane,0.12567884
Sequence_3,Lysosome/Vacuole,0.026287802
Sequence_3,Peroxisome,0.010557482
Sequence_4,Extracellular,0.022599827
Sequence_4,Plastid,0.019187745
Sequence_4,Cytoplasm,0.31747612
Sequence_4,Mitochondrion,0.054855194
Sequence_4,Nucleus,0.31734207
Sequence_4,Endoplasmic.reticulum,0.03746151
Sequence_4,Golgi.apparatus,0.048478197
Sequence_4,Cell.membrane,0.12932046
Sequence_4,Lysosome/Vacuole,0.031862494
Sequence_4,Peroxisome,0.021416282
Sequence_5,Extracellular,0.029170057
Sequence_5,Plastid,0.009214622
Sequence_5,Cytoplasm,0.3215569
Sequence_5,Mitochondrion,0.04592355
Sequence_5,Nucleus,0.33171856
Sequence_5,Endoplasmic.reticulum,0.03984558
Sequence_5,Golgi.apparatus,0.077113174
Sequence_5,Cell.membrane,0.10037584
Sequence_5,Lysosome/Vacuole,0.017992936
Sequence_5,Peroxisome,0.02708882
Sequence_6,Extracellular,0.028310917
Sequence_6,Plastid,0.019877361
Sequence_6,Cytoplasm,0.34970915
Sequence_6,Mitochondrion,0.043569114
Sequence_6,Nucleus,0.35261428
Sequence_6,Endoplasmic.reticulum,0.019747835
Sequence_6,Golgi.apparatus,0.026520476
Sequence_6,Cell.membrane,0.099913
Sequence_6,Lysosome/Vacuole,0.03815556
Sequence_6,Peroxisome,0.021582289
Sequence_7,Extracellular,0.030617936
Sequence_7,Plastid,0.016189018
Sequence_7,Cytoplasm,0.3341676
Sequence_7,Mitochondrion,0.03911099
Sequence_7,Nucleus,0.34927768
Sequence_7,Endoplasmic.reticulum,0.03193218
Sequence_7,Golgi.apparatus,0.038088806
Sequence_7,Cell.membrane,0.1152396
Sequence_7,Lysosome/Vacuole,0.019101042
Sequence_7,Peroxisome,0.02627505
Sequence_8,Extracellular,0.020164922
Sequence_8,Plastid,0.010459039
Sequence_8,Cytoplasm,0.31431615
Sequence_8,Mitochondrion,0.055195343
Sequence_8,Nucleus,0.3193857
Sequence_8,Endoplasmic.reticulum,0.04399314
Sequence_8,Golgi.apparatus,0.08623043
Sequence_8,Cell.membrane,0.09649522
Sequence_8,Lysosome/Vacuole,0.02640657
Sequence_8,Peroxisome,0.027353497
Sequence_9,Extracellular,0.0034119706
Sequence_9,Plastid,0.040917944
Sequence_9,Cytoplasm,0.16629158
Sequence_9,Mitochondrion,0.0306196
Sequence_9,Nucleus,0.15504836
Sequence_9,Endoplasmic.reticulum,0.0643885
Sequence_9,Golgi.apparatus,0.026196938
Sequence_9,Cell.membrane,0.21890223
Sequence_9,Lysosome/Vacuole,0.172788
Sequence_9,Peroxisome,0.121434934
Sequence_10,Extracellular,0.015859336
Sequence_10,Plastid,0.013914343
Sequence_10,Cytoplasm,0.28420353
Sequence_10,Mitochondrion,0.042587526
Sequence_10,Nucleus,0.29416573
Sequence_10,Endoplasmic.reticulum,0.053222608
Sequence_10,Golgi.apparatus,0.09063884
Sequence_10,Cell.membrane,0.13181454
Sequence_10,Lysosome/Vacuole,0.03018122
Sequence_10,Peroxisome,0.043412276
Sequence_11,Extracellular,0.014663772
Sequence_11,Plastid,0.013398614
Sequence_11,Cytoplasm,0.34449056
Sequence_11,Mitochondrion,0.020675097
Sequence_11,Nucleus,0.34762368
Sequence_11,Endoplasmic.reticulum,0.035614237
Sequence_11,Golgi.apparatus,0.039882276
Sequence_11,Cell.membrane,0.15075034
Sequence_11,Lysosome/Vacuole,0.024882596
Sequence_11,Peroxisome,0.008018826
Sequence_12,Extracellular,0.019306686
Sequence_12,Plastid,0.014174895
Sequence_12,Cytoplasm,0.32503453
Sequence_12,Mitochondrion,0.031171227
Sequence_12,Nucleus,0.33445725
Sequence_12,Endoplasmic.reticulum,0.048075866
Sequence_12,Golgi.apparatus,0.056701507
Sequence_12,Cell.membrane,0.13256615
Sequence_12,Lysosome/Vacuole,0.018065086
Sequence_12,Peroxisome,0.020446802
Sequence_13,Extracellular,0.011136862
