ProtID,experiment,cajal_body,cell_junction,chromosome,nuclear_pore_complex,nuclear_speckle,nucleolus,p-body,pml-body,post_synaptic_density,rna_granule,stress_granule,transcriptional
design_1,LLPhyScore features,1.0858349e-08,0.0002859136,0.00017441018,9.858992e-05,7.892672e-15,0.99939835,4.2808708e-05,2.1527238e-09,2.845222e-14,1.1763004999999998e-37,4.588337e-18,1.4218743e-15
design_10,LLPhyScore features,0.00030592145,0.016723257,0.96311134,0.004779112,0.0043992996,9.4478004e-05,0.00090326124,0.008282599,4.3201048e-10,9.186888e-10,0.00033028732,0.0010704527
design_100,LLPhyScore features,0.002077239,1.5864764e-05,0.36713445,0.63074505,8.638398e-09,1.6711509e-05,2.3358941e-06,7.0677825e-06,1.0593538e-06,2.7497980000000003e-17,2.398064e-07,3.353763e-08
design_11,LLPhyScore features,4.8804224e-05,2.623392e-07,0.14761965,9.845162e-05,1.3875345e-09,0.8501285,0.0020925128,1.1777694e-05,3.9753703e-09,1.6997717e-15,5.4295607e-10,7.460298e-11
design_12,LLPhyScore features,2.2244606e-07,3.2178168e-06,4.7103364e-05,0.9948045,3.6420037e-16,8.446778e-13,0.0051371097,1.6856958e-07,2.0588369e-09,9.297927e-28,7.606707e-06,1.0906301e-09
design_13,LLPhyScore features,3.1480731e-09,0.019174926,0.97835,3.328494e-08,4.4292338e-07,0.0023414202,8.2921254e-08,0.00013242959,1.9812495e-14,8.625825000000001e-18,1.0926709e-07,7.160451e-07
design_14,LLPhyScore features,6.014165e-11,1.6795591e-13,0.9856901,4.8790353e-05,4.957181e-13,0.012630575,0.0016246476,5.048701e-06,3.85969e-14,1.2154604e-21,8.0336656e-07,1.5455681e-10
design_15,LLPhyScore features,4.5818402e-09,0.005509859,0.53342295,0.46094927,9.459878e-12,1.6300056e-08,1.837439e-07,0.00011767789,2.0600275e-13,5.8886196e-21,1.6840803e-09,1.1837759e-09
design_16,LLPhyScore features,8.066618e-10,7.1570896e-05,0.99986535,1.3306433e-05,1.8889602e-06,4.1504598e-05,9.918973e-07,4.116785e-08,5.3429094e-06,1.1742218e-23,3.2699958e-12,3.2401575e-12
design_17,LLPhyScore features,2.060341e-06,3.5034845e-05,0.0002442356,0.0006323578,6.114378e-09,0.00024152234,7.040959e-07,0.99866956,0.00017415862,2.6363364e-23,4.8006803e-11,2.601186e-07
design_18,LLPhyScore features,1.7006741e-07,1.7844006e-05,0.9360872,6.459536e-05,0.06381624,6.014623e-08,1.2168246e-05,9.485265e-07,2.9660285e-11,3.0922185e-17,6.868796e-07,9.757611e-09
design_19,LLPhyScore features,4.1647922e-06,9.3080674e-14,0.6268888,0.36633918,2.2093024e-08,5.3033276e-09,3.1377979e-06,1.39804615e-05,1.3778835e-09,3.4205193e-14,0.0067504635,1.6480206e-07
design_2,LLPhyScore features,1.3734525e-12,1.6325657e-07,0.7686913,0.0014513759,4.719035e-14,0.00024105531,0.2296074,8.660241e-06,4.0039122e-12,3.08073e-22,1.6131976e-08,8.741896e-12
design_20,LLPhyScore features,7.612283e-11,2.2476654e-10,0.9912364,0.007794305,3.8923506e-15,1.05530564e-14,6.6482215e-07,3.0890195e-12,3.5859717e-08,4.0721629e-25,0.00096865854,5.0513907e-12
design_21,LLPhyScore features,7.291504e-07,0.0054900786,0.036769528,0.91566414,1.5689997e-10,0.00045269498,0.0059312056,0.035002038,0.0006896334,2.1153276e-24,4.192576e-11,6.702648e-10
design_22,LLPhyScore features,8.603863e-10,0.00017881536,0.73574865,3.5762176e-05,2.0358856e-10,0.0013196894,0.26247996,4.4902976e-07,2.8393266e-10,1.696675e-14,0.00023671442,5.5267093e-09
design_23,LLPhyScore features,5.1981594e-08,1.05644936e-07,0.998263,1.0006983e-06,0.0001590149,3.1534267e-08,1.8111471e-08,0.0015768474,1.3146652e-10,4.4508154e-29,1.1013088e-15,6.679035e-09
design_24,LLPhyScore features,3.8025862e-09,0.060731113,0.18367094,3.8680966e-07,6.9077073e-06,0.24211891,0.5134711,5.533531e-07,1.00203666e-13,1.6940509999999998e-19,6.790317e-10,4.0255737e-09
design_25,LLPhyScore features,2.2051618e-12,2.5608389e-09,0.76768667,0.22779058,4.4544938e-14,0.0044940077,9.742146e-08,2.8465538e-05,1.0494774000000001e-17,2.0531557e-24,2.2132191e-07,2.2471556e-11
design_26,LLPhyScore features,0.91284025,0.047205046,0.015138,0.003988062,2.399707e-06,0.009667088,0.0049612615,0.006167124,9.941589e-10,1.6103728e-10,2.3703178e-05,7.0924725e-06
design_27,LLPhyScore features,6.430458e-05,4.430677e-06,0.0044469247,8.693047e-05,2.2653333e-12,0.0017491804,0.09699675,5.357794e-06,5.268496e-07,1.728577e-11,0.89663595,9.4892675e-06
design_28,LLPhyScore features,1.3845646e-07,5.236454e-08,0.63798493,3.0379073e-08,0.00028013092,0.3617344,5.0676796e-10,2.664316e-07,8.148181e-12,3.3916425e-20,2.2611526e-13,1.2896192e-10
design_29,LLPhyScore features,1.0833883e-09,0.0010211311,0.0237796,0.0006909877,4.607923e-08,1.6291398e-05,0.97045684,6.222094e-08,3.11745e-11,6.108241000000001e-17,0.004034979,5.2244666e-09
design_3,LLPhyScore features,4.4278636e-08,1.624951e-08,0.5405179,0.0009760513,1.38250185e-08,0.45787007,9.667825e-05,3.1948595e-08,3.773387e-11,1.1197982e-11,0.0005392336,4.0491133e-10
design_30,LLPhyScore features,2.0208637e-08,3.9468327e-06,0.9337876,0.065876395,4.2137696e-08,3.7156875e-09,5.1020084e-08,0.00033202287,1.03437126e-08,1.0425431e-24,1.3475591e-09,2.7969447e-08
design_31,LLPhyScore features,1.8279694e-08,0.0009886866,0.5134834,0.0010091647,1.703194e-13,0.48451874,4.0189196e-08,2.0095654e-09,1.04026834e-13,3.145522e-23,1.1917424e-11,2.9178926e-14
design_32,LLPhyScore features,2.4281022e-08,5.423854e-10,0.8033201,0.0024043869,3.5860115e-08,1.7510894e-08,0.0021290884,1.8005287e-05,1.7334794e-09,2.4728591e-15,0.19212829,1.02541115e-07
design_33,LLPhyScore features,6.203222e-06,1.3588843e-05,0.9430478,0.05334801,3.2638536e-06,4.291959e-08,5.8536807e-07,1.8087125e-06,2.1216165e-08,1.206336e-12,0.0035786922,5.2715197e-09
design_34,LLPhyScore features,8.119518e-11,7.925808e-07,0.49977997,3.427726e-08,1.1619806e-14,0.5002192,1.0200357e-09,1.740064e-09,4.9197063e-14,1.252837e-26,1.0767774e-15,1.605122e-15
