ProtID,experiment,Cell.membrane,Cytoplasm,Endoplasmic.reticulum,Extracellular,Golgi.apparatus,Lysosome/Vacuole,Mitochondrion,Nucleus,Peroxisome,Plastid
design_1,LLPhyScore features,0.13709036,0.32489607,0.04157245,0.019068686,0.053075273,0.028660687,0.029599242,0.3319044,0.018268717,0.015864078
design_10,LLPhyScore features,0.18362802,0.3320757,0.04115398,0.0095301885,0.056964297,0.013122394,0.0129816,0.33725566,0.0034266452,0.009861473
design_100,LLPhyScore features,0.17717685,0.3368005,0.03436144,0.011075202,0.02878312,0.03883324,0.019267434,0.3317319,0.0062816213,0.015688663
design_11,LLPhyScore features,0.17921789,0.31986573,0.05702931,0.008179114,0.07858249,0.007240052,0.012398289,0.32755184,0.0037251734,0.006210118
design_12,LLPhyScore features,0.15720733,0.28979516,0.02931179,0.018095506,0.040709868,0.038640272,0.031755764,0.2922112,0.07760293,0.024670226
design_13,LLPhyScore features,0.17585489,0.32169777,0.036033366,0.01370034,0.051264726,0.023159748,0.019515153,0.3311656,0.010989327,0.016619038
design_14,LLPhyScore features,0.15280911,0.30801854,0.05199188,0.012426733,0.07278346,0.026630262,0.03215356,0.31280845,0.016835405,0.013542555
design_15,LLPhyScore features,0.13636455,0.31375933,0.030207882,0.023669584,0.033276185,0.04553348,0.042859234,0.31743902,0.028984424,0.027906207
design_16,LLPhyScore features,0.18089728,0.33220214,0.033014815,0.012717834,0.03698824,0.030804671,0.0151410205,0.33378676,0.0066340594,0.017813206
design_17,LLPhyScore features,0.1761968,0.32157722,0.046173785,0.008819264,0.07805793,0.011529117,0.016746001,0.32908577,0.004199289,0.0076148547
design_18,LLPhyScore features,0.13545887,0.3198085,0.032976836,0.0206616,0.04573178,0.03983697,0.036222495,0.32495323,0.022483237,0.021866428
design_19,LLPhyScore features,0.11337836,0.2759828,0.043954853,0.019489946,0.07097517,0.034460776,0.043063644,0.27802464,0.10666104,0.014008776
design_2,LLPhyScore features,0.17903861,0.31659484,0.05544544,0.010658407,0.07553194,0.007033889,0.0130201075,0.32669345,0.00884265,0.00714059
design_20,LLPhyScore features,0.1304533,0.31943327,0.035261296,0.022543605,0.043762367,0.039877247,0.040096752,0.32149398,0.024024863,0.023053268
design_21,LLPhyScore features,0.21255605,0.31003386,0.015773626,0.010432942,0.0156147955,0.06966025,0.013411582,0.30625877,0.01586928,0.030388905
design_22,LLPhyScore features,0.21741728,0.31448942,0.014689187,0.012129045,0.015712027,0.052694056,0.012376001,0.32085213,0.011815662,0.027825134
design_23,LLPhyScore features,0.21451573,0.31257093,0.017758017,0.009951928,0.017084423,0.0634804,0.011798696,0.31241632,0.012642222,0.02778135
