Protein_ID,experiment,Localizations,Signals,Membrane types,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome,Peripheral,Transmembrane,Lipid anchor,Soluble
design_1,LLPhyScore features,Cytoplasm,Nuclear localization signal,Soluble,0.8446000218391418,0.3580999970436096,0.0546000003814697,0.0815000012516975,0.1143999993801117,0.0024999999441206,0.0684999972581863,0.0745000019669532,0.0763000026345253,0.0044999998062849,0.130400002002716,0.0281000006943941,0.1165999993681907,0.916800022125244
design_2,LLPhyScore features,Cytoplasm,Nuclear localization signal,Soluble,0.8166000247001648,0.4460999965667724,0.0392000004649162,0.0734999999403953,0.1040999963879585,0.002600000007078,0.0811000019311904,0.0725999996066093,0.0571000017225742,0.0040000001899898,0.1413999944925308,0.0270000007003545,0.0804999992251396,0.9061999917030334
design_3,LLPhyScore features,Cytoplasm,Nuclear localization signal,Soluble,0.8048999905586243,0.3366999924182892,0.0573000013828277,0.0953999981284141,0.0929000005125999,0.0035999999381601,0.0762000009417533,0.0892999991774559,0.0648000016808509,0.0049999998882412,0.1128000020980835,0.0397000014781951,0.1388999968767166,0.8948000073432922
design_4,LLPhyScore features,Cytoplasm,Nuclear localization signal,Soluble,0.8274999856948853,0.481000006198883,0.0260000005364418,0.0577000007033348,0.1010999977588653,0.0020000000949949,0.1088000014424324,0.0847999975085258,0.0603000000119209,0.0028999999631196,0.1187999993562698,0.0303000006824731,0.1523000001907348,0.8949999809265137
design_5,LLPhyScore features,Cytoplasm,Nuclear localization signal,Soluble,0.8228999972343445,0.3822999894618988,0.0522000007331371,0.0766000002622604,0.1187999993562698,0.0023000000510364,0.067500002682209,0.0851000025868415,0.0688999965786933,0.0066999997943639,0.134100005030632,0.0293000005185604,0.1397999972105026,0.9046000242233276
design_6,LLPhyScore features,Cytoplasm,Nuclear localization signal,Soluble,0.8202000260353088,0.3828999996185303,0.0520000010728836,0.0807000026106834,0.0992999970912933,0.0024999999441206,0.069300003349781,0.0786999985575676,0.0615000016987323,0.0071000000461936,0.137700006365776,0.0298999994993209,0.1958000063896179,0.8932999968528748
design_7,LLPhyScore features,Cytoplasm,Nuclear localization signal,Soluble,0.8187999725341797,0.3899999856948852,0.0480999983847141,0.0891000032424926,0.1000000014901161,0.002600000007078,0.0797000005841255,0.0886000022292137,0.0672999992966651,0.0038999998942017,0.1297000050544738,0.0302000008523464,0.1301999986171722,0.9086999893188475
design_8,LLPhyScore features,Cytoplasm,Nuclear localization signal,Soluble,0.8402000069618225,0.416700005531311,0.046799998730421,0.070200003683567,0.0930000022053718,0.0027999999001622,0.0753000006079673,0.0762000009417533,0.0507000014185905,0.0065999999642372,0.1253000050783157,0.0294000003486871,0.1220000013709068,0.9140999913215636
design_9,LLPhyScore features,Cytoplasm,Nuclear localization signal,Soluble,0.8201000094413757,0.4510999917984009,0.0516000017523765,0.0577000007033348,0.0771000012755394,0.002199999988079,0.0816000029444694,0.0961999967694282,0.0659999996423721,0.0057000000961124,0.1221000030636787,0.0286999996751546,0.1366000026464462,0.9052000045776368
design_10,LLPhyScore features,Cytoplasm,Nuclear localization signal,Soluble,0.8396999835968018,0.4088000059127807,0.0441999994218349,0.0632999986410141,0.1503999978303909,0.00179999996908,0.0590000003576278,0.0672999992966651,0.0592000000178813,0.0057999999262392,0.1310999989509582,0.0270000007003545,0.1324000060558319,0.909600019454956
