ProtID,Predicted Compartment,Score
design_1,nuclear_speckle,1.1890901e-06
design_1,p-body,0.009368054
design_1,pml-body,6.3618853e-07
design_1,post_synaptic_density,0.08397253
design_1,stress_granule,0.9055894
design_1,chromosome,4.0132983e-10
design_1,nucleolus,8.226315e-08
design_1,nuclear_pore_complex,8.308881e-05
design_1,cajal_body,0.00047720966
design_1,rna_granule,6.968029e-15
design_1,cell_junction,0.0005059571
design_1,transcriptional,1.8574419e-06
design_2,nuclear_speckle,7.68633e-11
design_2,p-body,0.8301417
design_2,pml-body,0.00017683908
design_2,post_synaptic_density,3.4474066e-08
design_2,stress_granule,0.16840188
design_2,chromosome,0.00013581736
design_2,nucleolus,0.0010776131
design_2,nuclear_pore_complex,6.0767547e-05
design_2,cajal_body,2.7769625e-08
design_2,rna_granule,3.2826658e-10
design_2,cell_junction,5.0094673e-06
design_2,transcriptional,3.4352774e-07
design_3,nuclear_speckle,3.9895218e-10
design_3,p-body,0.50822616
design_3,pml-body,3.4566332e-12
design_3,post_synaptic_density,1.1472559e-15
design_3,stress_granule,0.4912583
design_3,chromosome,0.00045325616
design_3,nucleolus,2.175183e-07
design_3,nuclear_pore_complex,6.183711e-05
design_3,cajal_body,2.469466e-07
design_3,rna_granule,3.2131096e-13
design_3,cell_junction,8.795499e-15
design_3,transcriptional,2.3765103e-11
design_4,nuclear_speckle,1.789471e-05
design_4,p-body,0.63548326
design_4,pml-body,1.8942261e-06
design_4,post_synaptic_density,7.815264e-21
design_4,stress_granule,0.033906493
design_4,chromosome,0.32864517
design_4,nucleolus,0.0019420427
design_4,nuclear_pore_complex,1.15412135e-07
design_4,cajal_body,2.6844373e-06
design_4,rna_granule,3.633884e-08
design_4,cell_junction,4.435718e-10
design_4,transcriptional,4.4251644e-07
design_5,nuclear_speckle,5.982176e-08
design_5,p-body,0.7216852
design_5,pml-body,1.9567036e-05
design_5,post_synaptic_density,0.00014729613
design_5,stress_granule,0.2775009
design_5,chromosome,4.172173e-11
design_5,nucleolus,3.736944e-08
design_5,nuclear_pore_complex,7.504382e-05
design_5,cajal_body,7.592366e-06
design_5,rna_granule,1.9014033e-15
design_5,cell_junction,0.00056321657
design_5,transcriptional,1.1923169e-06
design_6,nuclear_speckle,1.8590955e-14
design_6,p-body,0.0009611371
design_6,pml-body,3.3059525e-13
design_6,post_synaptic_density,6.0414544e-07
design_6,stress_granule,0.19703291
design_6,chromosome,1.6832225e-06
design_6,nucleolus,3.3053038e-09
design_6,nuclear_pore_complex,0.80199826
design_6,cajal_body,5.4531715e-06
design_6,rna_granule,4.6633708e-23
design_6,cell_junction,8.573717e-12
design_6,transcriptional,6.074034e-11
design_7,nuclear_speckle,3.4526423e-12
design_7,p-body,0.009142545
design_7,pml-body,3.477028e-08
design_7,post_synaptic_density,8.753757e-05
design_7,stress_granule,0.9891772
design_7,chromosome,5.568536e-05
design_7,nucleolus,1.4080902e-07
design_7,nuclear_pore_complex,0.0015144564
design_7,cajal_body,7.889261e-08
design_7,rna_granule,8.704017e-15
design_7,cell_junction,2.2299237e-05
design_7,transcriptional,1.624086e-09
design_8,nuclear_speckle,2.4545537e-07
design_8,p-body,0.15179604
design_8,pml-body,1.2548838e-09
design_8,post_synaptic_density,0.14068158
design_8,stress_granule,0.7069667
design_8,chromosome,7.210751e-15
design_8,nucleolus,1.2588439e-09
design_8,nuclear_pore_complex,8.7760114e-08
design_8,cajal_body,1.9836794e-09
design_8,rna_granule,1.0202649e-18
design_8,cell_junction,0.00055376027
design_8,transcriptional,1.6115333e-06
design_9,nuclear_speckle,3.0153255e-05
design_9,p-body,0.0055737137
design_9,pml-body,4.797215e-08
design_9,post_synaptic_density,6.651053e-09
design_9,stress_granule,0.0033848537
design_9,chromosome,0.053988505
design_9,nucleolus,0.9362564
design_9,nuclear_pore_complex,9.601116e-06
design_9,cajal_body,0.00075235654
design_9,rna_granule,1.1889015e-07
design_9,cell_junction,4.1639005e-06
design_9,transcriptional,4.9352035e-08
design_10,nuclear_speckle,1.3837749e-06
design_10,p-body,0.80966103
design_10,pml-body,2.1887578e-05
design_10,post_synaptic_density,3.736107e-13
design_10,stress_granule,0.18991007
design_10,chromosome,0.00010372494
design_10,nucleolus,1.0328141e-07
design_10,nuclear_pore_complex,0.000227348
design_10,cajal_body,4.497685e-08
design_10,rna_granule,3.5165423e-13
design_10,cell_junction,4.36551e-05
design_10,transcriptional,3.0827025e-05
design_11,nuclear_speckle,3.9411034e-14
design_11,p-body,0.24622399
design_11,pml-body,1.3709482e-07
design_11,post_synaptic_density,4.644732e-13
design_11,stress_granule,2.259871e-06
design_11,chromosome,0.058049764
design_11,nucleolus,3.9880702e-10
design_11,nuclear_pore_complex,0.6952633
design_11,cajal_body,5.9560364e-11
design_11,rna_granule,2.9236255e-23
design_11,cell_junction,0.00046045083
design_11,transcriptional,3.259427e-11
design_12,nuclear_speckle,2.490529e-05
design_12,p-body,0.63861054
design_12,pml-body,1.7810643e-10
design_12,post_synaptic_density,4.16165e-08
design_12,stress_granule,0.36136344
design_12,chromosome,4.9613483e-08
design_12,nucleolus,4.0284256e-09
design_12,nuclear_pore_complex,4.6412606e-07
design_12,cajal_body,1.2309982e-08
design_12,rna_granule,1.1694587e-15
design_12,cell_junction,5.453939e-07
design_12,transcriptional,1.3067039e-09
design_13,nuclear_speckle,5.858122e-09
design_13,p-body,0.55535376
