ProtID,Predicted Compartment,Score
design_1,Extracellular,0.007412492
design_1,Plastid,0.059546564
design_1,Cytoplasm,0.2551507
design_1,Mitochondrion,0.29896507
design_1,Nucleus,0.1437693
design_1,Endoplasmic.reticulum,0.029469755
design_1,Golgi.apparatus,0.030383078
design_1,Cell.membrane,0.10030405
design_1,Lysosome/Vacuole,0.011735164
design_1,Peroxisome,0.063263774
design_2,Extracellular,0.20967335
design_2,Plastid,0.062614456
design_2,Cytoplasm,0.20994942
design_2,Mitochondrion,0.1107245
design_2,Nucleus,0.17137532
design_2,Endoplasmic.reticulum,0.075032584
design_2,Golgi.apparatus,0.040890526
design_2,Cell.membrane,0.044170875
design_2,Lysosome/Vacuole,0.053408507
design_2,Peroxisome,0.022160433
design_3,Extracellular,0.19918898
design_3,Plastid,0.13153541
design_3,Cytoplasm,0.15280768
design_3,Mitochondrion,0.029800393
design_3,Nucleus,0.11606173
design_3,Endoplasmic.reticulum,0.12694578
design_3,Golgi.apparatus,0.107910424
design_3,Cell.membrane,0.11323106
design_3,Lysosome/Vacuole,0.017866664
design_3,Peroxisome,0.004651919
design_4,Extracellular,0.19916788
design_4,Plastid,0.12093852
design_4,Cytoplasm,0.08981901
design_4,Mitochondrion,0.072838105
design_4,Nucleus,0.060247697
design_4,Endoplasmic.reticulum,0.1460498
design_4,Golgi.apparatus,0.07614403
design_4,Cell.membrane,0.08320577
design_4,Lysosome/Vacuole,0.11253397
design_4,Peroxisome,0.03905516
design_5,Extracellular,0.26415244
design_5,Plastid,0.13033156
design_5,Cytoplasm,0.19353339
design_5,Mitochondrion,0.035356965
design_5,Nucleus,0.15148492
design_5,Endoplasmic.reticulum,0.11917652
design_5,Golgi.apparatus,0.016862439
design_5,Cell.membrane,0.06972698
design_5,Lysosome/Vacuole,0.017661884
design_5,Peroxisome,0.0017128581
design_6,Extracellular,0.11255602
design_6,Plastid,0.01253069
design_6,Cytoplasm,0.21836887
design_6,Mitochondrion,0.03394914
design_6,Nucleus,0.26565847
design_6,Endoplasmic.reticulum,0.037976284
design_6,Golgi.apparatus,0.021835165
design_6,Cell.membrane,0.19685213
design_6,Lysosome/Vacuole,0.09070092
design_6,Peroxisome,0.009572266
design_7,Extracellular,0.25217232
design_7,Plastid,0.17169833
design_7,Cytoplasm,0.1709505
design_7,Mitochondrion,0.12646772
design_7,Nucleus,0.12185067
design_7,Endoplasmic.reticulum,0.051662948
design_7,Golgi.apparatus,0.011638227
design_7,Cell.membrane,0.041419536
design_7,Lysosome/Vacuole,0.046454336
design_7,Peroxisome,0.0056854277
design_8,Extracellular,0.26836333
design_8,Plastid,0.08839001
design_8,Cytoplasm,0.19697988
design_8,Mitochondrion,0.0679312
design_8,Nucleus,0.18932687
design_8,Endoplasmic.reticulum,0.07067934
design_8,Golgi.apparatus,0.0171599
design_8,Cell.membrane,0.058230408
design_8,Lysosome/Vacuole,0.03790851
design_8,Peroxisome,0.0050305594
design_9,Extracellular,0.25682202
design_9,Plastid,0.08894447
design_9,Cytoplasm,0.18214025
design_9,Mitochondrion,0.06915835
design_9,Nucleus,0.14135091
design_9,Endoplasmic.reticulum,0.116097145
design_9,Golgi.apparatus,0.01703662
design_9,Cell.membrane,0.058823504
design_9,Lysosome/Vacuole,0.06014731
design_9,Peroxisome,0.009479402
design_10,Extracellular,0.050360523
design_10,Plastid,0.035466183
design_10,Cytoplasm,0.3371602
design_10,Mitochondrion,0.036447424
design_10,Nucleus,0.33585867
design_10,Endoplasmic.reticulum,0.020249195
design_10,Golgi.apparatus,0.02889134
design_10,Cell.membrane,0.1115217
design_10,Lysosome/Vacuole,0.025846161
design_10,Peroxisome,0.01819861
design_11,Extracellular,0.23880924
design_11,Plastid,0.17558347
design_11,Cytoplasm,0.1675772
design_11,Mitochondrion,0.028266245
design_11,Nucleus,0.12963654
design_11,Endoplasmic.reticulum,0.053556006
design_11,Golgi.apparatus,0.0089391265
design_11,Cell.membrane,0.105865516
design_11,Lysosome/Vacuole,0.08241509
design_11,Peroxisome,0.009351546
design_12,Extracellular,0.2563677
design_12,Plastid,0.031574495
design_12,Cytoplasm,0.19167385
design_12,Mitochondrion,0.088768445
design_12,Nucleus,0.12969247
design_12,Endoplasmic.reticulum,0.121061936
design_12,Golgi.apparatus,0.053849027
design_12,Cell.membrane,0.062269714
design_12,Lysosome/Vacuole,0.03851444
design_12,Peroxisome,0.026227927
design_13,Extracellular,0.22866155
design_13,Plastid,0.12103518
design_13,Cytoplasm,0.14899088
design_13,Mitochondrion,0.085623644
design_13,Nucleus,0.0937024
design_13,Endoplasmic.reticulum,0.13372841
design_13,Golgi.apparatus,0.04641822
design_13,Cell.membrane,0.032232814
design_13,Lysosome/Vacuole,0.040166333
design_13,Peroxisome,0.06944055
design_14,Extracellular,0.19129343
design_14,Plastid,0.04254649
design_14,Cytoplasm,0.14867038
design_14,Mitochondrion,0.033008065
design_14,Nucleus,0.15575165
design_14,Endoplasmic.reticulum,0.08147546
design_14,Golgi.apparatus,0.07261536
design_14,Cell.membrane,0.13081779
design_14,Lysosome/Vacuole,0.039435375
design_14,Peroxisome,0.10438594
design_15,Extracellular,0.2044672
design_15,Plastid,0.08014122
design_15,Cytoplasm,0.22948293
design_15,Mitochondrion,0.050435
design_15,Nucleus,0.18527459
design_15,Endoplasmic.reticulum,0.056341734
design_15,Golgi.apparatus,0.02911085
design_15,Cell.membrane,0.118088424
design_15,Lysosome/Vacuole,0.037730582
design_15,Peroxisome,0.008927567
