ProtID,experiment,Cell.membrane,Cytoplasm,Endoplasmic.reticulum,Extracellular,Golgi.apparatus,Lysosome/Vacuole,Mitochondrion,Nucleus,Peroxisome,Plastid
design_1,original+LLPhyScore features,0.117683224,0.3238939,0.04286981,0.029782284,0.038658142,0.03411236,0.052621618,0.31926265,0.02154059,0.019575445
design_10,original+LLPhyScore features,0.1516063,0.32211012,0.03498565,0.02009765,0.05516509,0.012350314,0.020078374,0.34221143,0.02891789,0.01247721
design_100,original+LLPhyScore features,0.1504627,0.3346227,0.031346597,0.0156851,0.035505336,0.03913349,0.024893545,0.33524033,0.013440296,0.019669829
design_11,original+LLPhyScore features,0.1424225,0.33892757,0.034456115,0.016318971,0.046608966,0.025451427,0.023139324,0.34817705,0.0102998065,0.01419812
design_12,original+LLPhyScore features,0.21429324,0.29498944,0.049753856,0.0062269587,0.06316448,0.029723981,0.018671462,0.29103,0.019552616,0.012593908
design_13,original+LLPhyScore features,0.1431002,0.3222388,0.027204134,0.020221077,0.03404163,0.047493983,0.03249268,0.3269732,0.021887204,0.024347039
design_14,original+LLPhyScore features,0.13029897,0.33712375,0.056489427,0.01018078,0.08492821,0.006617747,0.017243205,0.35000548,0.00266003,0.0044523366
design_15,original+LLPhyScore features,0.20277993,0.3051366,0.015869627,0.011420132,0.020108044,0.06761464,0.014877026,0.31048223,0.022242641,0.029469168
design_16,original+LLPhyScore features,0.15584081,0.32023898,0.026732966,0.017880468,0.03303965,0.05160412,0.028679159,0.3247096,0.017975995,0.023298204
design_17,original+LLPhyScore features,0.17940417,0.32358423,0.033677146,0.011566108,0.06363778,0.013713093,0.019468376,0.34083417,0.004324966,0.009789956
design_18,original+LLPhyScore features,0.15147534,0.3261944,0.027826732,0.017753225,0.033270925,0.042428013,0.027326928,0.33118254,0.019319765,0.023222048
design_19,original+LLPhyScore features,0.15655872,0.32180467,0.0457694,0.009721527,0.090166435,0.005696586,0.01978646,0.343451,0.0029031923,0.0041419743
design_2,original+LLPhyScore features,0.16117577,0.32125297,0.025062637,0.018253736,0.029974395,0.048206132,0.027147403,0.32737502,0.015816897,0.02573508
design_20,original+LLPhyScore features,0.15882567,0.31130344,0.040049218,0.0145811625,0.06656336,0.026783606,0.027618589,0.3268951,0.013397378,0.013982565
design_21,original+LLPhyScore features,0.16242951,0.34667742,0.031491417,0.010695513,0.06065646,0.0035123958,0.009988533,0.36819273,0.0021234402,0.0042325957
design_22,original+LLPhyScore features,0.15357551,0.34028336,0.043814827,0.009622959,0.074541524,0.0068686563,0.014878289,0.3497299,0.0016898337,0.004995103
design_23,original+LLPhyScore features,0.16434878,0.34510866,0.023421584,0.0130529925,0.06031701,0.008866717,0.018153647,0.3583388,0.002494256,0.005897622
design_24,original+LLPhyScore features,0.15347886,0.3391363,0.01963467,0.021426415,0.021351049,0.03562098,0.029666094,0.3435799,0.011437321,0.024668423
design_25,original+LLPhyScore features,0.14883569,0.3151559,0.027784111,0.018802004,0.03505652,0.05086012,0.033042002,0.321097,0.024454191,0.024912473
design_26,original+LLPhyScore features,0.15851457,0.3307297,0.021597503,0.020332754,0.0507066,0.022881908,0.026527258,0.34470037,0.009600302,0.014409093
design_27,original+LLPhyScore features,0.15634191,0.3209858,0.035215866,0.0109592965,0.09223116,0.011223456,0.025760273,0.3371406,0.0038151718,0.006326441
design_28,original+LLPhyScore features,0.13798495,0.33753788,0.03250196,0.020192131,0.038629383,0.035290554,0.029694524,0.3401506,0.011729615,0.016288482
design_29,original+LLPhyScore features,0.1444394,0.33909544,0.020340398,0.023432383,0.035482895,0.029188527,0.030237406,0.3494692,0.009873517,0.018440751
design_3,original+LLPhyScore features,0.118367426,0.3421092,0.031458665,0.022243269,0.045814097,0.030442083,0.035741527,0.3454466,0.013806977,0.0145702725
design_30,original+LLPhyScore features,0.099303715,0.32544222,0.0342172,0.025446525,0.054136936,0.023205323,0.040252846,0.33473605,0.048530962,0.014728308
design_31,original+LLPhyScore features,0.15789278,0.32874328,0.020350209,0.020832535,0.025357256,0.047743265,0.029294107,0.3368015,0.010925434,0.022059612
design_32,original+LLPhyScore features,0.2035709,0.33201987,0.020557038,0.010410865,0.02597044,0.03818538,0.01384771,0.3281674,0.008238762,0.019031575
