ProtID,Predicted Compartment,Score
Sequence_1,Extracellular,0.14754711
Sequence_1,Plastid,0.044097982
Sequence_1,Cytoplasm,0.01809385
Sequence_1,Mitochondrion,0.07321421
Sequence_1,Nucleus,0.009747351
Sequence_1,Endoplasmic.reticulum,0.16137016
Sequence_1,Golgi.apparatus,0.06727041
Sequence_1,Cell.membrane,0.17243768
Sequence_1,Lysosome/Vacuole,0.13519019
Sequence_1,Peroxisome,0.17103109
Sequence_2,Extracellular,0.11799566
Sequence_2,Plastid,0.05760021
Sequence_2,Cytoplasm,0.023368822
Sequence_2,Mitochondrion,0.121188305
Sequence_2,Nucleus,0.010018996
Sequence_2,Endoplasmic.reticulum,0.15575822
Sequence_2,Golgi.apparatus,0.054920767
Sequence_2,Cell.membrane,0.16303334
Sequence_2,Lysosome/Vacuole,0.11901119
Sequence_2,Peroxisome,0.17710453
Sequence_3,Extracellular,0.0039261756
Sequence_3,Plastid,0.008145132
Sequence_3,Cytoplasm,0.035992753
Sequence_3,Mitochondrion,0.14908972
Sequence_3,Nucleus,0.025164321
Sequence_3,Endoplasmic.reticulum,0.1664868
Sequence_3,Golgi.apparatus,0.08462868
Sequence_3,Cell.membrane,0.19063103
Sequence_3,Lysosome/Vacuole,0.13673548
Sequence_3,Peroxisome,0.19919987
Sequence_4,Extracellular,0.14489977
Sequence_4,Plastid,0.051808666
Sequence_4,Cytoplasm,0.024869688
Sequence_4,Mitochondrion,0.08777302
Sequence_4,Nucleus,0.012511132
Sequence_4,Endoplasmic.reticulum,0.15715677
Sequence_4,Golgi.apparatus,0.057723124
Sequence_4,Cell.membrane,0.16741282
Sequence_4,Lysosome/Vacuole,0.12332633
Sequence_4,Peroxisome,0.17251867
Sequence_5,Extracellular,0.20427224
Sequence_5,Plastid,0.06514283
Sequence_5,Cytoplasm,0.1054502
Sequence_5,Mitochondrion,0.09875166
Sequence_5,Nucleus,0.056229327
Sequence_5,Endoplasmic.reticulum,0.114315644
Sequence_5,Golgi.apparatus,0.050887212
Sequence_5,Cell.membrane,0.07784794
Sequence_5,Lysosome/Vacuole,0.07449033
Sequence_5,Peroxisome,0.15261266
Sequence_6,Extracellular,0.13197258
Sequence_6,Plastid,0.051193744
Sequence_6,Cytoplasm,0.018421264
Sequence_6,Mitochondrion,0.1058436
Sequence_6,Nucleus,0.007141159
Sequence_6,Endoplasmic.reticulum,0.16008835
Sequence_6,Golgi.apparatus,0.062495258
Sequence_6,Cell.membrane,0.16295551
Sequence_6,Lysosome/Vacuole,0.12930737
Sequence_6,Peroxisome,0.17058116
Sequence_7,Extracellular,0.18280248
Sequence_7,Plastid,0.031368926
Sequence_7,Cytoplasm,0.020286007
Sequence_7,Mitochondrion,0.03423884
Sequence_7,Nucleus,0.022650171
Sequence_7,Endoplasmic.reticulum,0.17680304
Sequence_7,Golgi.apparatus,0.061439797
Sequence_7,Cell.membrane,0.19178668
Sequence_7,Lysosome/Vacuole,0.13284585
Sequence_7,Peroxisome,0.14577815
Sequence_8,Extracellular,0.006957859
Sequence_8,Plastid,0.023462081
Sequence_8,Cytoplasm,0.060447216
Sequence_8,Mitochondrion,0.2237061
Sequence_8,Nucleus,0.04450451
Sequence_8,Endoplasmic.reticulum,0.110012986
Sequence_8,Golgi.apparatus,0.06917874
Sequence_8,Cell.membrane,0.17281003
Sequence_8,Lysosome/Vacuole,0.06353709
Sequence_8,Peroxisome,0.22538343
Sequence_9,Extracellular,0.102303125
Sequence_9,Plastid,0.04900995
Sequence_9,Cytoplasm,0.02562708
Sequence_9,Mitochondrion,0.111253545
Sequence_9,Nucleus,0.010137278
Sequence_9,Endoplasmic.reticulum,0.16363394
Sequence_9,Golgi.apparatus,0.06414454
Sequence_9,Cell.membrane,0.16637091
Sequence_9,Lysosome/Vacuole,0.12749805
Sequence_9,Peroxisome,0.18002157
Sequence_10,Extracellular,0.090277724
Sequence_10,Plastid,0.034806054
Sequence_10,Cytoplasm,0.03253749
Sequence_10,Mitochondrion,0.12785539
