ProtID,Predicted Compartment,Score
design_1,Extracellular,0.09273673
design_1,Plastid,0.052356336
design_1,Cytoplasm,0.029592967
design_1,Mitochondrion,0.10996118
design_1,Nucleus,0.011038971
design_1,Endoplasmic.reticulum,0.16455837
design_1,Golgi.apparatus,0.08056339
design_1,Cell.membrane,0.16454975
design_1,Lysosome/Vacuole,0.119747646
design_1,Peroxisome,0.17489477
design_2,Extracellular,0.062096454
design_2,Plastid,0.08714898
design_2,Cytoplasm,0.03456734
design_2,Mitochondrion,0.19769257
design_2,Nucleus,0.03105649
design_2,Endoplasmic.reticulum,0.10870101
design_2,Golgi.apparatus,0.058078144
design_2,Cell.membrane,0.15473877
design_2,Lysosome/Vacuole,0.06988365
design_2,Peroxisome,0.19603658
design_3,Extracellular,0.03715777
design_3,Plastid,0.054463685
design_3,Cytoplasm,0.055984523
design_3,Mitochondrion,0.21858358
design_3,Nucleus,0.057957366
design_3,Endoplasmic.reticulum,0.0898225
design_3,Golgi.apparatus,0.064922795
design_3,Cell.membrane,0.15109548
design_3,Lysosome/Vacuole,0.06384908
design_3,Peroxisome,0.20616315
design_4,Extracellular,0.07413524
design_4,Plastid,0.06129378
design_4,Cytoplasm,0.038994916
design_4,Mitochondrion,0.18301879
design_4,Nucleus,0.037774425
design_4,Endoplasmic.reticulum,0.108184926
design_4,Golgi.apparatus,0.058590576
design_4,Cell.membrane,0.17414019
design_4,Lysosome/Vacuole,0.071690254
design_4,Peroxisome,0.19217688
design_5,Extracellular,0.029024033
design_5,Plastid,0.050160684
design_5,Cytoplasm,0.08668755
design_5,Mitochondrion,0.25243813
design_5,Nucleus,0.059563313
design_5,Endoplasmic.reticulum,0.073596776
design_5,Golgi.apparatus,0.048814148
design_5,Cell.membrane,0.12437477
design_5,Lysosome/Vacuole,0.040666908
design_5,Peroxisome,0.2346737
design_6,Extracellular,0.012288283
design_6,Plastid,0.026466772
design_6,Cytoplasm,0.05292133
design_6,Mitochondrion,0.24283502
design_6,Nucleus,0.03727138
design_6,Endoplasmic.reticulum,0.09774654
design_6,Golgi.apparatus,0.07516582
design_6,Cell.membrane,0.16758938
design_6,Lysosome/Vacuole,0.05612386
design_6,Peroxisome,0.2315916
design_7,Extracellular,0.008991425
design_7,Plastid,0.0281612
design_7,Cytoplasm,0.074693665
design_7,Mitochondrion,0.23643255
design_7,Nucleus,0.04570327
design_7,Endoplasmic.reticulum,0.09593584
design_7,Golgi.apparatus,0.061939836
design_7,Cell.membrane,0.16040374
design_7,Lysosome/Vacuole,0.055721674
design_7,Peroxisome,0.23201677
design_8,Extracellular,0.06411366
design_8,Plastid,0.08835863
design_8,Cytoplasm,0.03532685
design_8,Mitochondrion,0.18728952
design_8,Nucleus,0.032228157
design_8,Endoplasmic.reticulum,0.107779354
design_8,Golgi.apparatus,0.057926547
design_8,Cell.membrane,0.15631087
design_8,Lysosome/Vacuole,0.0759858
design_8,Peroxisome,0.19468066
design_9,Extracellular,0.046946872
design_9,Plastid,0.02917823
design_9,Cytoplasm,0.05957829
design_9,Mitochondrion,0.22144651
design_9,Nucleus,0.059071172
design_9,Endoplasmic.reticulum,0.09370383
design_9,Golgi.apparatus,0.051701978
design_9,Cell.membrane,0.16318582
design_9,Lysosome/Vacuole,0.06139026
design_9,Peroxisome,0.21379705
design_10,Extracellular,0.02498719
design_10,Plastid,0.040399678
design_10,Cytoplasm,0.05888246
design_10,Mitochondrion,0.22101995
design_10,Nucleus,0.060598865
design_10,Endoplasmic.reticulum,0.086195216
design_10,Golgi.apparatus,0.07620114
design_10,Cell.membrane,0.1547132
design_10,Lysosome/Vacuole,0.06049091
design_10,Peroxisome,0.21651138
design_11,Extracellular,0.11660277
design_11,Plastid,0.10283982
design_11,Cytoplasm,0.035016365
design_11,Mitochondrion,0.1302213
design_11,Nucleus,0.020966532
design_11,Endoplasmic.reticulum,0.12721375
design_11,Golgi.apparatus,0.04630325
design_11,Cell.membrane,0.15210249
design_11,Lysosome/Vacuole,0.089064114
design_11,Peroxisome,0.17966959
design_12,Extracellular,0.05746286
design_12,Plastid,0.12670417
design_12,Cytoplasm,0.060966916
design_12,Mitochondrion,0.21884753
design_12,Nucleus,0.054237455
design_12,Endoplasmic.reticulum,0.0700933
design_12,Golgi.apparatus,0.05801953
design_12,Cell.membrane,0.11769198
design_12,Lysosome/Vacuole,0.038682554
design_12,Peroxisome,0.19729373
design_13,Extracellular,0.083980605
design_13,Plastid,0.046465073
design_13,Cytoplasm,0.05788099
design_13,Mitochondrion,0.22009933
design_13,Nucleus,0.05151805
design_13,Endoplasmic.reticulum,0.08848236
design_13,Golgi.apparatus,0.050744995
design_13,Cell.membrane,0.13695689
design_13,Lysosome/Vacuole,0.060663786
design_13,Peroxisome,0.20320791
design_14,Extracellular,0.014430863
design_14,Plastid,0.04826855
design_14,Cytoplasm,0.08157459
design_14,Mitochondrion,0.2487454
design_14,Nucleus,0.049375765
design_14,Endoplasmic.reticulum,0.08360421
design_14,Golgi.apparatus,0.060464595
design_14,Cell.membrane,0.13586994
design_14,Lysosome/Vacuole,0.043379094
design_14,Peroxisome,0.23428701
design_15,Extracellular,0.07966902
design_15,Plastid,0.087030455
design_15,Cytoplasm,0.043300666
design_15,Mitochondrion,0.16310024
design_15,Nucleus,0.048654415
design_15,Endoplasmic.reticulum,0.10468947
design_15,Golgi.apparatus,0.050470803
design_15,Cell.membrane,0.16000389
design_15,Lysosome/Vacuole,0.075796135
design_15,Peroxisome,0.18728495
design_16,Extracellular,0.07978406
design_16,Plastid,0.09078717
design_16,Cytoplasm,0.022957418
design_16,Mitochondrion,0.16492341
design_16,Nucleus,0.017323114
design_16,Endoplasmic.reticulum,0.12841742
design_16,Golgi.apparatus,0.047289684
design_16,Cell.membrane,0.1654431
design_16,Lysosome/Vacuole,0.0944082
design_16,Peroxisome,0.18866643
design_17,Extracellular,0.06989311
design_17,Plastid,0.06608803
design_17,Cytoplasm,0.03156418
design_17,Mitochondrion,0.19494885
design_17,Nucleus,0.032553636
design_17,Endoplasmic.reticulum,0.11052796
design_17,Golgi.apparatus,0.058932435
design_17,Cell.membrane,0.16828139
design_17,Lysosome/Vacuole,0.07592405
design_17,Peroxisome,0.19128631
design_18,Extracellular,0.032450926
design_18,Plastid,0.17136039
design_18,Cytoplasm,0.052849364
design_18,Mitochondrion,0.20293514
design_18,Nucleus,0.029336998
design_18,Endoplasmic.reticulum,0.08728661
design_18,Golgi.apparatus,0.06340692
design_18,Cell.membrane,0.11270886
design_18,Lysosome/Vacuole,0.046829734
design_18,Peroxisome,0.20083508
