ProteinID,nuclear_speckle,p-body,pml-body,post_synaptic_density,stress_granule,chromosome,nucleolus,nuclear_pore_complex,cajal_body,rna_granule,cell_junction,transcriptional
design_1,7.781192e-07,0.04030712,0.00034589347,9.951586e-10,0.0052886354,0.28241557,1.20796585e-05,0.8203977,0.0001833316,2.0763507e-11,1.2828411e-06,1.5508656e-05
design_2,0.00029781077,0.6087887,2.7788488e-05,3.3959175e-08,0.8744476,0.0005083738,1.2653127e-05,0.046112943,0.00025129746,5.3426072e-09,0.00034548662,0.00015699209
design_3,8.853572e-06,0.52553797,2.1792227e-06,4.5394644e-09,0.04141529,4.2840802e-05,8.13272e-08,0.11886078,4.7907424e-06,7.691027e-15,0.15336284,2.503024e-05
design_4,0.14620335,0.007000987,1.4918549e-05,4.660287e-09,0.5678751,2.87988e-06,3.3693698e-06,0.0004415912,0.0015030524,3.0720853e-11,0.03039957,0.00020238246
design_5,8.498258e-05,0.72577363,2.2809281e-05,1.4226343e-08,0.11702526,0.0008624783,1.613398e-05,0.41939437,7.9621364e-05,6.52281e-11,0.0005770318,2.0965555e-05
design_6,0.00045166007,0.9455089,1.4778194e-05,1.3273445e-11,0.7188504,6.650659e-05,6.462957e-06,0.0058500296,1.8153105e-05,4.2114104e-11,1.5921338e-05,9.3292154e-05
design_7,0.00024879497,0.34018657,9.2819397e-07,1.7423903e-11,0.12670147,0.00015938324,1.182156e-06,0.027962597,1.1466362e-05,7.870055e-14,0.0047047916,1.04619285e-05
design_8,0.0057443664,0.8645758,4.9798095e-05,2.8377016e-07,0.57875806,4.8535363e-05,7.5762946e-06,0.03396404,0.0001466708,6.2234357e-10,0.0007452626,0.00038807277
design_9,0.021632846,0.001651389,2.1753917e-06,1.5443393e-07,0.29211998,5.0315634e-06,6.5313094e-07,0.008201299,0.00081321626,9.6796133e-14,0.007951449,1.3303661e-05
design_10,0.021869104,0.76550514,0.00010196093,1.3545558e-05,0.42255282,1.6145489e-06,2.9142743e-06,0.0038751517,0.0005986588,1.5134209e-09,0.053728566,0.0014550678
design_11,0.00090230134,0.040580496,1.4755962e-06,1.03202495e-07,0.02938034,0.00012656614,1.1769291e-05,0.008732439,0.0006243733,7.967968e-12,0.034870267,1.2794391e-05
design_12,0.06172015,0.68802595,3.0385908e-07,5.5963584e-12,0.93135726,2.608078e-09,1.640237e-07,0.000113304806,1.0556025e-05,4.1009265e-15,0.0007446965,5.308849e-05
design_13,0.0017932865,0.2176822,7.054166e-05,1.0817323e-05,0.012269564,0.0001703457,2.898871e-06,0.067705646,7.25219e-05,4.4361533e-12,0.09414468,7.2399525e-05
